Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
"Top of the 1st, Braves Batting, Tied 0-0, Red Sox' Garrett Richards facing 1-2-3","Top of the 1st, Braves Batting, Tied 0-0, Red Sox' Garrett Richards facing 1-2-3","Top of the 1st, Braves Batting, Tied 0-0, Red Sox' Garrett Richards facing 1-2-3","Top of the 1st, Braves Batting, Tied 0-0, Red Sox' Garrett Richards facing 1-2-3","Top of the 1st, Braves Batting, Tied 0-0, Red Sox' Garrett Richards facing 1-2-3","Top of the 1st, Braves Batting, Tied 0-0, Red Sox' Garrett Richards facing 1-2-3","Top of the 1st, Braves Batting, Tied 0-0, Red Sox' Garrett Richards facing 1-2-3","Top of the 1st, Braves Batting, Tied 0-0, Red Sox' Garrett Richards facing 1-2-3","Top of the 1st, Braves Batting, Tied 0-0, Red Sox' Garrett Richards facing 1-2-3","Top of the 1st, Braves Batting, Tied 0-0, Red Sox' Garrett Richards facing 1-2-3","Top of the 1st, Braves Batting, Tied 0-0, Red Sox' Garrett Richards facing 1-2-3","Top of the 1st, Braves Batting, Tied 0-0, Red Sox' Garrett Richards facing 1-2-3"
"Bottom of the 2nd, Red Sox Batting, Ahead 1-0, Braves' Charlie Morton facing 7-8-9","Bottom of the 2nd, Red Sox Batting, Ahead 1-0, Braves' Charlie Morton facing 7-8-9","Bottom of the 2nd, Red Sox Batting, Ahead 1-0, Braves' Charlie Morton facing 7-8-9","Bottom of the 2nd, Red Sox Batting, Ahead 1-0, Braves' Charlie Morton facing 7-8-9","Bottom of the 2nd, Red Sox Batting, Ahead 1-0, Braves' Charlie Morton facing 7-8-9","Bottom of the 2nd, Red Sox Batting, Ahead 1-0, Braves' Charlie Morton facing 7-8-9","Bottom of the 2nd, Red Sox Batting, Ahead 1-0, Braves' Charlie Morton facing 7-8-9","Bottom of the 2nd, Red Sox Batting, Ahead 1-0, Braves' Charlie Morton facing 7-8-9","Bottom of the 2nd, Red Sox Batting, Ahead 1-0, Braves' Charlie Morton facing 7-8-9","Bottom of the 2nd, Red Sox Batting, Ahead 1-0, Braves' Charlie Morton facing 7-8-9","Bottom of the 2nd, Red Sox Batting, Ahead 1-0, Braves' Charlie Morton facing 7-8-9","Bottom of the 2nd, Red Sox Batting, Ahead 1-0, Braves' Charlie Morton facing 7-8-9"
b2,1-0,0,---,"2,(1-0) BX",,BOS,Danny Santana,Charlie Morton,-8%,27%,Triple to RF (Line Drive to Deep RF Line)
b2,1-0,0,--3,"7,(3-2) BBFFF*BB",,BOS,Hunter Renfroe,Charlie Morton,-3%,24%,Walk
b2,1-0,0,1-3,"3,(0-2) FFS",O,BOS,Bobby Dalbec,Charlie Morton,5%,29%,Strikeout Swinging
b2,1-0,1,1-3,"4,(1-2) BSCX",OO,BOS,Enrique Hernandez,Charlie Morton,10%,40%,Ground Ball Double Play: 2B-SS-1B
,,,,,,,,,"0 runs, 1 hit, 0 errors, 1 LOB. Braves 0, Red Sox 1.","0 runs, 1 hit, 0 errors, 1 LOB. Braves 0, Red Sox 1.","0 runs, 1 hit, 0 errors, 1 LOB. Braves 0, Red Sox 1."
"Top of the 3rd, Braves Batting, Behind 0-1, Red Sox' Garrett Richards facing 9-1-2","Top of the 3rd, Braves Batting, Behind 0-1, Red Sox' Garrett Richards facing 9-1-2","Top of the 3rd, Braves Batting, Behind 0-1, Red Sox' Garrett Richards facing 9-1-2","Top of the 3rd, Braves Batting, Behind 0-1, Red Sox' Garrett Richards facing 9-1-2","Top of the 3rd, Braves Batting, Behind 0-1, Red Sox' Garrett Richards facing 9-1-2","Top of the 3rd, Braves Batting, Behind 0-1, Red Sox' Garrett Richards facing 9-1-2","Top of the 3rd, Braves Batting, Behind 0-1, Red Sox' Garrett Richards facing 9-1-2","Top of the 3rd, Braves Batting, Behind 0-1, Red Sox' Garrett Richards facing 9-1-2","Top of the 3rd, Braves Batting, Behind 0-1, Red Sox' Garrett Richards facing 9-1-2","Top of the 3rd, Braves Batting, Behind 0-1, Red Sox' Garrett Richards facing 9-1-2","Top of the 3rd, Braves Batting, Behind 0-1, Red Sox' Garrett Richards facing 9-1-2","Top of the 3rd, Braves Batting, Behind 0-1, Red Sox' Garrett Richards facing 9-1-2"
t3,0-1,0,---,"7,(3-2) BCTBFB*B",,ATL,William Contreras,Garrett Richards,4%,44%,Walk
t3,0-1,0,1--,"1,(0-0) X",O,ATL,Ronald Acuna Jr.,Garrett Richards,-4%,40%,Lineout: CF (Deep CF)
t3,0-1,1,1--,"1,(0-0) X",,ATL,Freddie Freeman,Garrett Richards,4%,44%,Single to CF (Ground Ball thru SS-2B); Contreras to 2B
