Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
"Bottom of the 2nd, Red Sox Batting, Ahead 1-0, Phillies' Ben Lively facing 7-8-9","Bottom of the 2nd, Red Sox Batting, Ahead 1-0, Phillies' Ben Lively facing 7-8-9","Bottom of the 2nd, Red Sox Batting, Ahead 1-0, Phillies' Ben Lively facing 7-8-9","Bottom of the 2nd, Red Sox Batting, Ahead 1-0, Phillies' Ben Lively facing 7-8-9","Bottom of the 2nd, Red Sox Batting, Ahead 1-0, Phillies' Ben Lively facing 7-8-9","Bottom of the 2nd, Red Sox Batting, Ahead 1-0, Phillies' Ben Lively facing 7-8-9","Bottom of the 2nd, Red Sox Batting, Ahead 1-0, Phillies' Ben Lively facing 7-8-9","Bottom of the 2nd, Red Sox Batting, Ahead 1-0, Phillies' Ben Lively facing 7-8-9","Bottom of the 2nd, Red Sox Batting, Ahead 1-0, Phillies' Ben Lively facing 7-8-9","Bottom of the 2nd, Red Sox Batting, Ahead 1-0, Phillies' Ben Lively facing 7-8-9","Bottom of the 2nd, Red Sox Batting, Ahead 1-0, Phillies' Ben Lively facing 7-8-9","Bottom of the 2nd, Red Sox Batting, Ahead 1-0, Phillies' Ben Lively facing 7-8-9"
b2,1-0,0,---,"2,(0-1) CX",,BOS,Jackie Bradley Jr.,Ben Lively,5%,71%,Double to CF (Fly Ball to Deep LF-CF)
b2,1-0,0,-2-,"1,(0-0) X",O,BOS,Josh Rutledge,Ben Lively,-1%,69%,Groundout: 2B-1B; Bradley to 3B
b2,1-0,1,--3,"5,(2-2) CBFBX",R,BOS,Christian Vazquez,Ben Lively,6%,75%,Double to RF (Line Drive to Deep RF Line); Bradley Scores
b2,2-0,1,-2-,"2,(1-0) BX",O,BOS,Mookie Betts,Ben Lively,-3%,73%,Popfly: SS (Weak SS)
b2,2-0,2,-2-,"3,(1-1) BCX",O,BOS,Dustin Pedroia,Ben Lively,-3%,70%,Groundout: SS-1B (SS-3B Hole)
,,,,,,,,,"1 run, 2 hits, 0 errors, 1 LOB. Phillies 0, Red Sox 2.","1 run, 2 hits, 0 errors, 1 LOB. Phillies 0, Red Sox 2.","1 run, 2 hits, 0 errors, 1 LOB. Phillies 0, Red Sox 2."
"Top of the 3rd, Phillies Batting, Behind 0-2, Red Sox' David Price facing 1-2-3","Top of the 3rd, Phillies Batting, Behind 0-2, Red Sox' David Price facing 1-2-3","Top of the 3rd, Phillies Batting, Behind 0-2, Red Sox' David Price facing 1-2-3","Top of the 3rd, Phillies Batting, Behind 0-2, Red Sox' David Price facing 1-2-3","Top of the 3rd, Phillies Batting, Behind 0-2, Red Sox' David Price facing 1-2-3","Top of the 3rd, Phillies Batting, Behind 0-2, Red Sox' David Price facing 1-2-3","Top of the 3rd, Phillies Batting, Behind 0-2, Red Sox' David Price facing 1-2-3","Top of the 3rd, Phillies Batting, Behind 0-2, Red Sox' David Price facing 1-2-3","Top of the 3rd, Phillies Batting, Behind 0-2, Red Sox' David Price facing 1-2-3","Top of the 3rd, Phillies Batting, Behind 0-2, Red Sox' David Price facing 1-2-3","Top of the 3rd, Phillies Batting, Behind 0-2, Red Sox' David Price facing 1-2-3","Top of the 3rd, Phillies Batting, Behind 0-2, Red Sox' David Price facing 1-2-3"
t3,0-2,0,---,"6,(3-2) BBCFBB",,PHI,Odubel Herrera,David Price,-4%,66%,Walk
t3,0-2,0,1--,"6,(2-2) CBBFF1S",O,PHI,Daniel Nava,David Price,4%,70%,Strikeout Swinging
t3,0-2,1,1--,"3,(1-1) CB1>X",RR,PHI,Aaron Altherr,David Price,-17%,53%,Home Run (Fly Ball to Deep LF Line); Herrera Scores
t3,2-2,1,---,"3,(1-1) CBX",O,PHI,Howie Kendrick,David Price,2%,54%,Groundout: SS-1B
t3,2-2,2,---,"6,(2-2) SBFFBC",O,PHI,Tommy Joseph,David Price,1%,56%,Strikeout Looking
,,,,,,,,,"2 runs, 1 hit, 0 errors, 0 LOB. Phillies 2, Red Sox 2.","2 runs, 1 hit, 0 errors, 0 LOB. Phillies 2, Red Sox 2.","2 runs, 1 hit, 0 errors, 0 LOB. Phillies 2, Red Sox 2."
"Bottom of the 3rd, Red Sox Batting, Tied 2-2, Phillies' Ben Lively facing 3-4-5","Bottom of the 3rd, Red Sox Batting, Tied 2-2, Phillies' Ben Lively facing 3-4-5","Bottom of the 3rd, Red Sox Batting, Tied 2-2, Phillies' Ben Lively facing 3-4-5","Bottom of the 3rd, Red Sox Batting, Tied 2-2, Phillies' Ben Lively facing 3-4-5","Bottom of the 3rd, Red Sox Batting, Tied 2-2, Phillies' Ben Lively facing 3-4-5","Bottom of the 3rd, Red Sox Batting, Tied 2-2, Phillies' Ben Lively facing 3-4-5","Bottom of the 3rd, Red Sox Batting, Tied 2-2, Phillies' Ben Lively facing 3-4-5","Bottom of the 3rd, Red Sox Batting, Tied 2-2, Phillies' Ben Lively facing 3-4-5","Bottom of the 3rd, Red Sox Batting, Tied 2-2, Phillies' Ben Lively facing 3-4-5","Bottom of the 3rd, Red Sox Batting, Tied 2-2, Phillies' Ben Lively facing 3-4-5","Bottom of the 3rd, Red Sox Batting, Tied 2-2, Phillies' Ben Lively facing 3-4-5","Bottom of the 3rd, Red Sox Batting, Tied 2-2, Phillies' Ben Lively facing 3-4-5"
b3,2-2,0,---,"3,(0-2) CTX",O,BOS,Xander Bogaerts,Ben Lively,-3%,53%,Flyball: CF (Deep CF-RF)
b3,2-2,1,---,"2,(1-0) BX",R,BOS,Mitch Moreland,Ben Lively,11%,64%,Home Run (Fly Ball to Deep CF-RF)
b3,3-2,1,---,"6,(3-2) BFSBBX",,BOS,Andrew Benintendi,Ben Lively,4%,68%,Double to LF (Fly Ball to Deep LF Line)
b3,3-2,1,-2-,"3,(0-2) CSS",O,BOS,Hanley Ramirez,Ben Lively,-3%,65%,Strikeout Swinging
b3,3-2,2,-2-,"2,(1-0) BX",O,BOS,Jackie Bradley Jr.,Ben Lively,-3%,62%,Flyball: RF
,,,,,,,,,"1 run, 2 hits, 0 errors, 1 LOB. Phillies 2, Red Sox 3.","1 run, 2 hits, 0 errors, 1 LOB. Phillies 2, Red Sox 3.","1 run, 2 hits, 0 errors, 1 LOB. Phillies 2, Red Sox 3."
"Top of the 4th, Phillies Batting, Behind 2-3, Red Sox' David Price facing 6-7-8","Top of the 4th, Phillies Batting, Behind 2-3, Red Sox' David Price facing 6-7-8","Top of the 4th, Phillies Batting, Behind 2-3, Red Sox' David Price facing 6-7-8","Top of the 4th, Phillies Batting, Behind 2-3, Red Sox' David Price facing 6-7-8","Top of the 4th, Phillies Batting, Behind 2-3, Red Sox' David Price facing 6-7-8","Top of the 4th, Phillies Batting, Behind 2-3, Red Sox' David Price facing 6-7-8","Top of the 4th, Phillies Batting, Behind 2-3, Red Sox' David Price facing 6-7-8","Top of the 4th, Phillies Batting, Behind 2-3, Red Sox' David Price facing 6-7-8","Top of the 4th, Phillies Batting, Behind 2-3, Red Sox' David Price facing 6-7-8","Top of the 4th, Phillies Batting, Behind 2-3, Red Sox' David Price facing 6-7-8","Top of the 4th, Phillies Batting, Behind 2-3, Red Sox' David Price facing 6-7-8","Top of the 4th, Phillies Batting, Behind 2-3, Red Sox' David Price facing 6-7-8"
t4,2-3,0,---,"4,(3-0) BBBB",,PHI,Maikel Franco,David Price,-5%,57%,Walk
t4,2-3,0,1--,"2,(0-1) CX",O,PHI,Michael Saunders,David Price,4%,61%,Popfly: 3B
t4,2-3,1,1--,"4,(1-2) *BSSS",O,PHI,Cameron Rupp,David Price,4%,65%,Strikeout Swinging
t4,2-3,2,1--,"2,(1-0) BX",O,PHI,Freddy Galvis,David Price,3%,68%,Lineout: 3B (Weak 3B)
,,,,,,,,,"0 runs, 0 hits, 0 errors, 1 LOB. Phillies 2, Red Sox 3.","0 runs, 0 hits, 0 errors, 1 LOB. Phillies 2, Red Sox 3.","0 runs, 0 hits, 0 errors, 1 LOB. Phillies 2, Red Sox 3."
"Bottom of the 4th, Red Sox Batting, Ahead 3-2, Phillies' Ben Lively facing 8-9-1","Bottom of the 4th, Red Sox Batting, Ahead 3-2, Phillies' Ben Lively facing 8-9-1","Bottom of the 4th, Red Sox Batting, Ahead 3-2, Phillies' Ben Lively facing 8-9-1","Bottom of the 4th, Red Sox Batting, Ahead 3-2, Phillies' Ben Lively facing 8-9-1","Bottom of the 4th, Red Sox Batting, Ahead 3-2, Phillies' Ben Lively facing 8-9-1","Bottom of the 4th, Red Sox Batting, Ahead 3-2, Phillies' Ben Lively facing 8-9-1","Bottom of the 4th, Red Sox Batting, Ahead 3-2, Phillies' Ben Lively facing 8-9-1","Bottom of the 4th, Red Sox Batting, Ahead 3-2, Phillies' Ben Lively facing 8-9-1","Bottom of the 4th, Red Sox Batting, Ahead 3-2, Phillies' Ben Lively facing 8-9-1","Bottom of the 4th, Red Sox Batting, Ahead 3-2, Phillies' Ben Lively facing 8-9-1","Bottom of the 4th, Red Sox Batting, Ahead 3-2, Phillies' Ben Lively facing 8-9-1","Bottom of the 4th, Red Sox Batting, Ahead 3-2, Phillies' Ben Lively facing 8-9-1"
b4,3-2,0,---,"2,(0-1) CX",O,BOS,Josh Rutledge,Ben Lively,-2%,66%,Lineout: RF (RF Line)
b4,3-2,1,---,"6,(3-2) CBCBBB",,BOS,Christian Vazquez,Ben Lively,2%,68%,Walk
b4,3-2,1,1--,"2,(1-0) B1X",OO,BOS,Mookie Betts,Ben Lively,-5%,63%,Ground Ball Double Play: 2B-SS-1B
