Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
"Top of the 1st, Astros Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Astros Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Astros Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Astros Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Astros Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Astros Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Astros Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Astros Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Astros Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Astros Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Astros Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Astros Batting, Tied 0-0, Red Sox' David Price facing 1-2-3"
t1,0-0,0,---,"1,(0-0) X",O,HOU,George Springer,David Price,-2%,48%,Popfly: 2B (Short RF)
t1,0-0,1,---,"5,(2-2) CBBSC",O,HOU,Jose Altuve,David Price,-2%,46%,Strikeout Looking
t1,0-0,2,---,"5,(3-1) CBBBB",,HOU,Alex Bregman,David Price,1%,47%,Walk
t1,0-0,2,1--,"6,(3-2) BCBBF>C",O,HOU,Carlos Correa,David Price,-2%,45%,Strikeout Looking
,,,,,,,,,"0 runs, 0 hits, 0 errors, 1 LOB. Astros 0, Red Sox 0.","0 runs, 0 hits, 0 errors, 1 LOB. Astros 0, Red Sox 0.","0 runs, 0 hits, 0 errors, 1 LOB. Astros 0, Red Sox 0."
"Bottom of the 1st, Red Sox Batting, Tied 0-0, Astros' Gerrit Cole facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Astros' Gerrit Cole facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Astros' Gerrit Cole facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Astros' Gerrit Cole facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Astros' Gerrit Cole facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Astros' Gerrit Cole facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Astros' Gerrit Cole facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Astros' Gerrit Cole facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Astros' Gerrit Cole facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Astros' Gerrit Cole facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Astros' Gerrit Cole facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Astros' Gerrit Cole facing 1-2-3"
b1,0-0,0,---,"2,(0-1) CX",,BOS,Mookie Betts,Gerrit Cole,-3%,42%,Single to CF (Ground Ball)
b1,0-0,0,1--,"5,(3-1) B1BFB>X",,BOS,Andrew Benintendi,Gerrit Cole,-8%,33%,Single to LF (Line Drive to Short LF); Betts to 3B
b1,0-0,0,1-3,"1,(0-0) X",RO,BOS,J.D. Martinez,Gerrit Cole,2%,35%,Flyball: RF/Sacrifice Fly (Deep RF); Betts Scores
b1,1-0,1,1--,"5,(2-2) 1BCS*B>S",OO,BOS,Xander Bogaerts,Gerrit Cole,4%,40%,"Double Play: Strikeout Swinging, Benintendi Caught Stealing 2B (C-SS)"
,,,,,,,,,"1 run, 2 hits, 0 errors, 0 LOB. Astros 0, Red Sox 1.","1 run, 2 hits, 0 errors, 0 LOB. Astros 0, Red Sox 1.","1 run, 2 hits, 0 errors, 0 LOB. Astros 0, Red Sox 1."
