Pitching,IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24
David Price,6.1,2,2,2,2,10,0,3.57,23,101,57,26,9,22,4,7,2,0,69.0,,,0.289,0.93,0.01%,0.03,2.8
"Ryan Brasier, BS (1)",0.2,2,1,1,0,0,0,1.75,4,10,7,4,1,2,2,2,1,0,,2.0,2.0,-0.376,2.83,-0.01%,0.09,-2.1
"Joe Kelly, L (4-2)",1.0,4,3,3,0,1,0,4.13,7,28,17,9,3,5,2,4,2,0,,0.0,0.0,-0.409,1.72,-0.01%,0.06,-2.5
Tyler Thornburg,1.0,2,0,0,0,1,0,5.06,4,13,10,6,1,3,2,1,1,0,,0.0,0.0,0.009,0.2,0.00%,0.01,0.5
Team Totals,9.0,10,6,6,2,12,0,6.0,38,152,91,45,14,32,10,14,6,0,69.0,2.0,2.0,-0.487,1.21,-0.01%,0.04,-1.2
