Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
"Top of the 1st, White Sox Batting, Tied 0-0, Red Sox' Drew Pomeranz facing 1-2-3","Top of the 1st, White Sox Batting, Tied 0-0, Red Sox' Drew Pomeranz facing 1-2-3","Top of the 1st, White Sox Batting, Tied 0-0, Red Sox' Drew Pomeranz facing 1-2-3","Top of the 1st, White Sox Batting, Tied 0-0, Red Sox' Drew Pomeranz facing 1-2-3","Top of the 1st, White Sox Batting, Tied 0-0, Red Sox' Drew Pomeranz facing 1-2-3","Top of the 1st, White Sox Batting, Tied 0-0, Red Sox' Drew Pomeranz facing 1-2-3","Top of the 1st, White Sox Batting, Tied 0-0, Red Sox' Drew Pomeranz facing 1-2-3","Top of the 1st, White Sox Batting, Tied 0-0, Red Sox' Drew Pomeranz facing 1-2-3","Top of the 1st, White Sox Batting, Tied 0-0, Red Sox' Drew Pomeranz facing 1-2-3","Top of the 1st, White Sox Batting, Tied 0-0, Red Sox' Drew Pomeranz facing 1-2-3","Top of the 1st, White Sox Batting, Tied 0-0, Red Sox' Drew Pomeranz facing 1-2-3","Top of the 1st, White Sox Batting, Tied 0-0, Red Sox' Drew Pomeranz facing 1-2-3"
"Bottom of the 2nd, Red Sox Batting, Ahead 2-1, White Sox' James Shields facing 6-7-8","Bottom of the 2nd, Red Sox Batting, Ahead 2-1, White Sox' James Shields facing 6-7-8","Bottom of the 2nd, Red Sox Batting, Ahead 2-1, White Sox' James Shields facing 6-7-8","Bottom of the 2nd, Red Sox Batting, Ahead 2-1, White Sox' James Shields facing 6-7-8","Bottom of the 2nd, Red Sox Batting, Ahead 2-1, White Sox' James Shields facing 6-7-8","Bottom of the 2nd, Red Sox Batting, Ahead 2-1, White Sox' James Shields facing 6-7-8","Bottom of the 2nd, Red Sox Batting, Ahead 2-1, White Sox' James Shields facing 6-7-8","Bottom of the 2nd, Red Sox Batting, Ahead 2-1, White Sox' James Shields facing 6-7-8","Bottom of the 2nd, Red Sox Batting, Ahead 2-1, White Sox' James Shields facing 6-7-8","Bottom of the 2nd, Red Sox Batting, Ahead 2-1, White Sox' James Shields facing 6-7-8","Bottom of the 2nd, Red Sox Batting, Ahead 2-1, White Sox' James Shields facing 6-7-8","Bottom of the 2nd, Red Sox Batting, Ahead 2-1, White Sox' James Shields facing 6-7-8"
b2,2-1,0,---,"5,(2-2) CSBBS",O,BOS,Chris Young,James Shields,-2%,63%,Strikeout Swinging
b2,2-1,1,---,"5,(2-2) CFBBX",,BOS,Mitch Moreland,James Shields,4%,67%,Double to CF (Line Drive to Deep LF-CF)
b2,2-1,1,-2-,"3,(0-2) CFX",O,BOS,Christian Vazquez,James Shields,-3%,64%,Flyball: LF (Deep LF)
b2,2-1,2,-2-,"7,(3-2) CBFBFBX",RR,BOS,Jackie Bradley Jr.,James Shields,15%,79%,Home Run (Fly Ball to Deep RF); Moreland Scores
b2,4-1,2,---,"3,(0-2) FCX",O,BOS,Mookie Betts,James Shields,-1%,78%,Groundout: SS-1B
,,,,,,,,,"2 runs, 2 hits, 0 errors, 0 LOB. White Sox 1, Red Sox 4.","2 runs, 2 hits, 0 errors, 0 LOB. White Sox 1, Red Sox 4.","2 runs, 2 hits, 0 errors, 0 LOB. White Sox 1, Red Sox 4."
"Top of the 3rd, White Sox Batting, Behind 1-4, Red Sox' Drew Pomeranz facing 9-1-2","Top of the 3rd, White Sox Batting, Behind 1-4, Red Sox' Drew Pomeranz facing 9-1-2","Top of the 3rd, White Sox Batting, Behind 1-4, Red Sox' Drew Pomeranz facing 9-1-2","Top of the 3rd, White Sox Batting, Behind 1-4, Red Sox' Drew Pomeranz facing 9-1-2","Top of the 3rd, White Sox Batting, Behind 1-4, Red Sox' Drew Pomeranz facing 9-1-2","Top of the 3rd, White Sox Batting, Behind 1-4, Red Sox' Drew Pomeranz facing 9-1-2","Top of the 3rd, White Sox Batting, Behind 1-4, Red Sox' Drew Pomeranz facing 9-1-2","Top of the 3rd, White Sox Batting, Behind 1-4, Red Sox' Drew Pomeranz facing 9-1-2","Top of the 3rd, White Sox Batting, Behind 1-4, Red Sox' Drew Pomeranz facing 9-1-2","Top of the 3rd, White Sox Batting, Behind 1-4, Red Sox' Drew Pomeranz facing 9-1-2","Top of the 3rd, White Sox Batting, Behind 1-4, Red Sox' Drew Pomeranz facing 9-1-2","Top of the 3rd, White Sox Batting, Behind 1-4, Red Sox' Drew Pomeranz facing 9-1-2"
t3,1-4,0,---,"5,(2-2) BFFBX",O,CHW,Alen Hanson,Drew Pomeranz,2%,81%,Popfly: 2B (Short CF)
t3,1-4,1,---,"6,(1-2) CSFBFS",O,CHW,Tim Anderson,Drew Pomeranz,2%,82%,Strikeout Swinging (C-1B)
t3,1-4,2,---,"2,(1-0) BX",,CHW,Tyler Saladino,Drew Pomeranz,-1%,81%,Reached on E6 (Ground Ball)
t3,1-4,2,1--,"6,(3-2) B*BCBS>X",,CHW,José Abreu,Drew Pomeranz,-2%,79%,Single to LF (Ground Ball thru SS-3B Hole); Saladino to 2B
t3,1-4,2,12-,"4,(1-2) *BFFX",O,CHW,Kevan Smith,Drew Pomeranz,4%,83%,Flyball: RF (Deep RF)
,,,,,,,,,"0 runs, 1 hit, 1 error, 2 LOB. White Sox 1, Red Sox 4.","0 runs, 1 hit, 1 error, 2 LOB. White Sox 1, Red Sox 4.","0 runs, 1 hit, 1 error, 2 LOB. White Sox 1, Red Sox 4."
"Bottom of the 3rd, Red Sox Batting, Ahead 4-1, White Sox' James Shields facing 2-3-4","Bottom of the 3rd, Red Sox Batting, Ahead 4-1, White Sox' James Shields facing 2-3-4","Bottom of the 3rd, Red Sox Batting, Ahead 4-1, White Sox' James Shields facing 2-3-4","Bottom of the 3rd, Red Sox Batting, Ahead 4-1, White Sox' James Shields facing 2-3-4","Bottom of the 3rd, Red Sox Batting, Ahead 4-1, White Sox' James Shields facing 2-3-4","Bottom of the 3rd, Red Sox Batting, Ahead 4-1, White Sox' James Shields facing 2-3-4","Bottom of the 3rd, Red Sox Batting, Ahead 4-1, White Sox' James Shields facing 2-3-4","Bottom of the 3rd, Red Sox Batting, Ahead 4-1, White Sox' James Shields facing 2-3-4","Bottom of the 3rd, Red Sox Batting, Ahead 4-1, White Sox' James Shields facing 2-3-4","Bottom of the 3rd, Red Sox Batting, Ahead 4-1, White Sox' James Shields facing 2-3-4","Bottom of the 3rd, Red Sox Batting, Ahead 4-1, White Sox' James Shields facing 2-3-4","Bottom of the 3rd, Red Sox Batting, Ahead 4-1, White Sox' James Shields facing 2-3-4"
b3,4-1,0,---,"3,(1-1) CBX",O,BOS,Brock Holt,James Shields,-1%,82%,Groundout: 1B-P
