Pitching,IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24,0,1,2,0,1,2
Drew Pomeranz,3.1,4.0,0.0,0.0,1.0,4.0,0.0,3.31,15.0,60.0,39.0,19.0,8.0,12.0,6.0,4.0,3.0,0.0,55.0,,,0.156,1.07,0.15%,1.74,1.6,1.0,Brett Gardner,LF,1.0,Eduardo Nunez,2B
Brandon Workman,1.2,1.0,0.0,0.0,1.0,1.0,0.0,1.46,7.0,32.0,17.0,10.0,1.0,6.0,3.0,2.0,1.0,0.0,,1.0,0.0,0.125,1.29,0.12%,2.1,1.1,2.0,Aaron Hicks,CF,2.0,Mookie Betts,RF
"Matt Barnes, H (21)",0.2,4.0,2.0,2.0,0.0,1.0,1.0,3.51,6.0,25.0,16.0,7.0,3.0,6.0,1.0,4.0,3.0,0.0,,0.0,0.0,-0.189,0.99,-0.18%,1.61,-1.9,3.0,Aaron Judge,RF,3.0,Andrew Benintendi,LF
"Joe Kelly, BS (4)",0.1,2.0,3.0,3.0,1.0,0.0,1.0,2.52,5.0,21.0,12.0,9.0,1.0,2.0,2.0,1.0,0.0,0.0,,2.0,0.0,-0.255,2.56,-0.25%,4.17,-1.6,4.0,Gary Sanchez,DH,4.0,Hanley Ramirez,1B
Heath Hembree,0.1,1.0,1.0,1.0,1.0,1.0,0.0,3.63,3.0,10.0,5.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,,2.0,2.0,-0.21,2.06,-0.21%,3.36,-1.7,5.0,Didi Gregorius,SS,5.0,Chris Young,DH
Robby Scott,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.72,2.0,8.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,2.0,1.0,-0.071,1.48,-0.07%,2.42,-1.4,6.0,Chase Headley,1B,6.0,Xander Bogaerts,SS
"Addison Reed, W (2-3)",1.2,0.0,0.0,0.0,1.0,3.0,0.0,3.05,6.0,30.0,18.0,7.0,7.0,4.0,0.0,2.0,1.0,0.0,,3.0,0.0,0.19,1.52,0.19%,2.48,2.2,7.0,Todd Frazier,3B,7.0,Rafael Devers,3B
"Craig Kimbrel, S (29)",1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.38,3.0,14.0,10.0,4.0,3.0,3.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.038,0.48,0.04%,0.78,0.6,8.0,Ronald Torreyes,2B,8.0,Christian Vazquez,C
Team Totals,9.0,12.0,6.0,6.0,6.0,13.0,2.0,6.0,47.0,200.0,119.0,59.0,24.0,36.0,12.0,14.0,9.0,0.0,55.0,10.0,3.0,-0.216,1.35,-0.21%,2.2,-1.0,9.0,Austin Romine,C,9.0,Jackie Bradley Jr.,CF
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jordan Montgomery,P,,Drew Pomeranz,P
