Batting,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details
Mookie Betts RF,4.0,0.0,0.0,0.0,1.0,0.0,5.0,0.284,0.396,0.466,0.862,22.0,11.0,-0.036,1.09,0.068,-0.104%,-0.02%,1.12,-1.0,3.0,0.0,
Rafael Devers 3B,5.0,1.0,2.0,0.0,0.0,1.0,5.0,0.329,0.389,0.512,0.901,27.0,13.0,0.159,1.09,0.202,-0.043%,0.10%,1.12,0.4,1.0,4.0,3B
Xander Bogaerts SS,5.0,2.0,2.0,1.0,0.0,1.0,5.0,0.289,0.376,0.5,0.876,16.0,14.0,-0.036,1.8,0.121,-0.158%,-0.02%,1.85,0.3,2.0,6.0,2B
J.D. Martinez DH,5.0,1.0,2.0,0.0,0.0,1.0,5.0,0.306,0.388,0.543,0.931,14.0,11.0,-0.012,1.46,0.138,-0.151%,-0.01%,1.5,0.4,,,2·2B
Michael Chavis 2B,4.0,1.0,1.0,1.0,0.0,1.0,4.0,0.279,0.376,0.527,0.903,13.0,11.0,-0.07,0.98,0.062,-0.132%,-0.04%,1.01,-0.6,1.0,1.0,
Brock Holt LF,4.0,0.0,1.0,0.0,0.0,0.0,4.0,0.125,0.222,0.125,0.347,17.0,12.0,0.159,1.17,0.2,-0.041%,0.10%,1.2,1.5,0.0,0.0,
Steve Pearce 1B,4.0,0.0,1.0,1.0,0.0,1.0,4.0,0.182,0.247,0.261,0.509,18.0,15.0,-0.055,0.82,0.044,-0.099%,-0.03%,0.84,-0.1,11.0,1.0,2B
Jackie Bradley Jr. CF,2.0,0.0,0.0,0.0,1.0,0.0,4.0,0.171,0.275,0.278,0.553,17.0,9.0,-0.024,0.65,0.034,-0.058%,-0.01%,0.67,-0.1,0.0,0.0,HBP
Christian Vazquez C,4.0,0.0,1.0,0.0,0.0,2.0,4.0,0.289,0.329,0.486,0.815,19.0,14.0,-0.109,1.15,0.038,-0.147%,-0.07%,1.18,-1.1,9.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,
David Price P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Brandon Workman P,,,,,,,,,,,,,,,,,,,,,0.0,1.0,
Marcus Walden P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Matt Barnes P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Ryan Brasier P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Travis Lakins Sr. P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Team Totals,37.0,5.0,10.0,3.0,2.0,7.0,40.0,0.27,0.325,0.432,0.757,163.0,110.0,-0.024,1.14,0.907,-0.933%,-0.02%,1.18,-0.3,27.0,13.0,
