Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
"Bottom of the 2nd, Red Sox Batting, Tied 0-0, Indians' Zach Plesac facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Tied 0-0, Indians' Zach Plesac facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Tied 0-0, Indians' Zach Plesac facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Tied 0-0, Indians' Zach Plesac facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Tied 0-0, Indians' Zach Plesac facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Tied 0-0, Indians' Zach Plesac facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Tied 0-0, Indians' Zach Plesac facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Tied 0-0, Indians' Zach Plesac facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Tied 0-0, Indians' Zach Plesac facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Tied 0-0, Indians' Zach Plesac facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Tied 0-0, Indians' Zach Plesac facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Tied 0-0, Indians' Zach Plesac facing 4-5-6"
b2,0-0,0,---,"1,(0-0) X",,BOS,J.D. Martinez,Zach Plesac,-6%,39%,Double to CF (Line Drive to Deep LF-CF)
b2,0-0,0,-2-,"3,(0-2) FCX",O,BOS,Michael Chavis,Zach Plesac,4%,43%,Popfly: SS (Short CF)
b2,0-0,1,-2-,"6,(2-2) BBCCFX",,BOS,Brock Holt,Zach Plesac,-5%,38%,Single to 3B (Ground Ball to Weak 3B); Martinez to 3B
b2,0-0,1,1-3,"8,(2-2) CFF*BF1FBX",O,BOS,Steve Pearce,Zach Plesac,7%,45%,Flyball: RF (CF-RF)
b2,0-0,2,1-3,"3,(2-0) BBX",O,BOS,Jackie Bradley Jr.,Zach Plesac,5%,50%,Groundout: 2B-1B
,,,,,,,,,"0 runs, 2 hits, 0 errors, 2 LOB. Indians 0, Red Sox 0.","0 runs, 2 hits, 0 errors, 2 LOB. Indians 0, Red Sox 0.","0 runs, 2 hits, 0 errors, 2 LOB. Indians 0, Red Sox 0."
"Top of the 3rd, Indians Batting, Tied 0-0, Red Sox' David Price facing 8-9-1","Top of the 3rd, Indians Batting, Tied 0-0, Red Sox' David Price facing 8-9-1","Top of the 3rd, Indians Batting, Tied 0-0, Red Sox' David Price facing 8-9-1","Top of the 3rd, Indians Batting, Tied 0-0, Red Sox' David Price facing 8-9-1","Top of the 3rd, Indians Batting, Tied 0-0, Red Sox' David Price facing 8-9-1","Top of the 3rd, Indians Batting, Tied 0-0, Red Sox' David Price facing 8-9-1","Top of the 3rd, Indians Batting, Tied 0-0, Red Sox' David Price facing 8-9-1","Top of the 3rd, Indians Batting, Tied 0-0, Red Sox' David Price facing 8-9-1","Top of the 3rd, Indians Batting, Tied 0-0, Red Sox' David Price facing 8-9-1","Top of the 3rd, Indians Batting, Tied 0-0, Red Sox' David Price facing 8-9-1","Top of the 3rd, Indians Batting, Tied 0-0, Red Sox' David Price facing 8-9-1","Top of the 3rd, Indians Batting, Tied 0-0, Red Sox' David Price facing 8-9-1"
t3,0-0,0,---,"7,(3-2) BCFBBFX",O,CLE,Greg Allen,David Price,-3%,47%,Lineout: 2B
t3,0-0,1,---,"1,(0-0) X",O,CLE,Mike Freeman,David Price,-2%,45%,Groundout: 3B-1B (Weak 3B)
t3,0-0,2,---,"2,(0-1) CX",O,CLE,Francisco Lindor,David Price,-1%,44%,Groundout: 3B-1B (SS-3B Hole)
,,,,,,,,,"0 runs, 0 hits, 0 errors, 0 LOB. Indians 0, Red Sox 0.","0 runs, 0 hits, 0 errors, 0 LOB. Indians 0, Red Sox 0.","0 runs, 0 hits, 0 errors, 0 LOB. Indians 0, Red Sox 0."
"Bottom of the 3rd, Red Sox Batting, Tied 0-0, Indians' Zach Plesac facing 9-1-2","Bottom of the 3rd, Red Sox Batting, Tied 0-0, Indians' Zach Plesac facing 9-1-2","Bottom of the 3rd, Red Sox Batting, Tied 0-0, Indians' Zach Plesac facing 9-1-2","Bottom of the 3rd, Red Sox Batting, Tied 0-0, Indians' Zach Plesac facing 9-1-2","Bottom of the 3rd, Red Sox Batting, Tied 0-0, Indians' Zach Plesac facing 9-1-2","Bottom of the 3rd, Red Sox Batting, Tied 0-0, Indians' Zach Plesac facing 9-1-2","Bottom of the 3rd, Red Sox Batting, Tied 0-0, Indians' Zach Plesac facing 9-1-2","Bottom of the 3rd, Red Sox Batting, Tied 0-0, Indians' Zach Plesac facing 9-1-2","Bottom of the 3rd, Red Sox Batting, Tied 0-0, Indians' Zach Plesac facing 9-1-2","Bottom of the 3rd, Red Sox Batting, Tied 0-0, Indians' Zach Plesac facing 9-1-2","Bottom of the 3rd, Red Sox Batting, Tied 0-0, Indians' Zach Plesac facing 9-1-2","Bottom of the 3rd, Red Sox Batting, Tied 0-0, Indians' Zach Plesac facing 9-1-2"
b3,0-0,0,---,"1,(0-0) X",,BOS,Christian Vazquez,Zach Plesac,-4%,40%,Single to RF (Line Drive to Deep CF-RF)
b3,0-0,0,1--,"5,(2-2) BBFCX",O,BOS,Mookie Betts,Zach Plesac,4%,44%,Flyball: CF (Deep CF)
b3,0-0,1,1--,"1,(1-0) B1",O,BOS,Rafael Devers,Zach Plesac,5%,49%,Vazquez Picked off 1B (P-1B)
b3,0-0,2,---,"5,(3-1) B1.FBBX",O,BOS,Rafael Devers,Zach Plesac,1%,50%,Groundout: 2B-1B
,,,,,,,,,"0 runs, 1 hit, 0 errors, 0 LOB. Indians 0, Red Sox 0.","0 runs, 1 hit, 0 errors, 0 LOB. Indians 0, Red Sox 0.","0 runs, 1 hit, 0 errors, 0 LOB. Indians 0, Red Sox 0."
"Top of the 4th, Indians Batting, Tied 0-0, Red Sox' David Price facing 2-3-4","Top of the 4th, Indians Batting, Tied 0-0, Red Sox' David Price facing 2-3-4","Top of the 4th, Indians Batting, Tied 0-0, Red Sox' David Price facing 2-3-4","Top of the 4th, Indians Batting, Tied 0-0, Red Sox' David Price facing 2-3-4","Top of the 4th, Indians Batting, Tied 0-0, Red Sox' David Price facing 2-3-4","Top of the 4th, Indians Batting, Tied 0-0, Red Sox' David Price facing 2-3-4","Top of the 4th, Indians Batting, Tied 0-0, Red Sox' David Price facing 2-3-4","Top of the 4th, Indians Batting, Tied 0-0, Red Sox' David Price facing 2-3-4","Top of the 4th, Indians Batting, Tied 0-0, Red Sox' David Price facing 2-3-4","Top of the 4th, Indians Batting, Tied 0-0, Red Sox' David Price facing 2-3-4","Top of the 4th, Indians Batting, Tied 0-0, Red Sox' David Price facing 2-3-4","Top of the 4th, Indians Batting, Tied 0-0, Red Sox' David Price facing 2-3-4"
t4,0-0,0,---,"3,(0-2) FFX",,CLE,Oscar Mercado,David Price,4%,54%,Single to LF (Line Drive to LF-CF)
t4,0-0,0,1--,"6,(2-2) CFFBBX",OO,CLE,Carlos Santana,David Price,-9%,45%,Ground Ball Double Play: SS-1B (SS-2B)
t4,0-0,2,---,"5,(2-2) BFBCX",O,CLE,Jordan Luplow,David Price,-1%,44%,Groundout: SS-1B
,,,,,,,,,"0 runs, 1 hit, 0 errors, 0 LOB. Indians 0, Red Sox 0.","0 runs, 1 hit, 0 errors, 0 LOB. Indians 0, Red Sox 0.","0 runs, 1 hit, 0 errors, 0 LOB. Indians 0, Red Sox 0."
"Bottom of the 4th, Red Sox Batting, Tied 0-0, Indians' Zach Plesac facing 3-4-5","Bottom of the 4th, Red Sox Batting, Tied 0-0, Indians' Zach Plesac facing 3-4-5","Bottom of the 4th, Red Sox Batting, Tied 0-0, Indians' Zach Plesac facing 3-4-5","Bottom of the 4th, Red Sox Batting, Tied 0-0, Indians' Zach Plesac facing 3-4-5","Bottom of the 4th, Red Sox Batting, Tied 0-0, Indians' Zach Plesac facing 3-4-5","Bottom of the 4th, Red Sox Batting, Tied 0-0, Indians' Zach Plesac facing 3-4-5","Bottom of the 4th, Red Sox Batting, Tied 0-0, Indians' Zach Plesac facing 3-4-5","Bottom of the 4th, Red Sox Batting, Tied 0-0, Indians' Zach Plesac facing 3-4-5","Bottom of the 4th, Red Sox Batting, Tied 0-0, Indians' Zach Plesac facing 3-4-5","Bottom of the 4th, Red Sox Batting, Tied 0-0, Indians' Zach Plesac facing 3-4-5","Bottom of the 4th, Red Sox Batting, Tied 0-0, Indians' Zach Plesac facing 3-4-5","Bottom of the 4th, Red Sox Batting, Tied 0-0, Indians' Zach Plesac facing 3-4-5"
b4,0-0,0,---,"2,(0-1) CX",O,BOS,Xander Bogaerts,Zach Plesac,3%,46%,Flyball: RF (Deep RF)
b4,0-0,1,---,"5,(2-2) CFBBX",O,BOS,J.D. Martinez,Zach Plesac,2%,49%,Groundout: 2B-1B (Deep 2B)
b4,0-0,2,---,"3,(0-2) FSX",O,BOS,Michael Chavis,Zach Plesac,1%,50%,Popfly: 2B (Deep 2B)
,,,,,,,,,"0 runs, 0 hits, 0 errors, 0 LOB. Indians 0, Red Sox 0.","0 runs, 0 hits, 0 errors, 0 LOB. Indians 0, Red Sox 0.","0 runs, 0 hits, 0 errors, 0 LOB. Indians 0, Red Sox 0."
"Top of the 5th, Indians Batting, Tied 0-0, Red Sox' David Price facing 5-6-7","Top of the 5th, Indians Batting, Tied 0-0, Red Sox' David Price facing 5-6-7","Top of the 5th, Indians Batting, Tied 0-0, Red Sox' David Price facing 5-6-7","Top of the 5th, Indians Batting, Tied 0-0, Red Sox' David Price facing 5-6-7","Top of the 5th, Indians Batting, Tied 0-0, Red Sox' David Price facing 5-6-7","Top of the 5th, Indians Batting, Tied 0-0, Red Sox' David Price facing 5-6-7","Top of the 5th, Indians Batting, Tied 0-0, Red Sox' David Price facing 5-6-7","Top of the 5th, Indians Batting, Tied 0-0, Red Sox' David Price facing 5-6-7","Top of the 5th, Indians Batting, Tied 0-0, Red Sox' David Price facing 5-6-7","Top of the 5th, Indians Batting, Tied 0-0, Red Sox' David Price facing 5-6-7","Top of the 5th, Indians Batting, Tied 0-0, Red Sox' David Price facing 5-6-7","Top of the 5th, Indians Batting, Tied 0-0, Red Sox' David Price facing 5-6-7"
t5,0-0,0,---,"6,(3-2) CFBBBX",,CLE,Jose Ramirez,David Price,5%,55%,Single to SS (Ground Ball to SS-3B Hole)
t5,0-0,0,1--,"4,(1-2) SBCS",O,CLE,Roberto Perez,David Price,-4%,50%,Strikeout Swinging
t5,0-0,1,1--,"1,(0-0) C",,CLE,Jake Bauers,David Price,2%,52%,Ramirez Steals 2B
t5,0-0,1,-2-,"5,(2-2) C.CBBX",O,CLE,Jake Bauers,David Price,-5%,47%,Foul Popfly: C (Behind Home)
t5,0-0,2,-2-,"7,(3-2) BFBFBFX",O,CLE,Greg Allen,David Price,-5%,43%,Lineout: RF
,,,,,,,,,"0 runs, 1 hit, 0 errors, 1 LOB. Indians 0, Red Sox 0.","0 runs, 1 hit, 0 errors, 1 LOB. Indians 0, Red Sox 0.","0 runs, 1 hit, 0 errors, 1 LOB. Indians 0, Red Sox 0."
"Bottom of the 5th, Red Sox Batting, Tied 0-0, Indians' Zach Plesac facing 6-7-8","Bottom of the 5th, Red Sox Batting, Tied 0-0, Indians' Zach Plesac facing 6-7-8","Bottom of the 5th, Red Sox Batting, Tied 0-0, Indians' Zach Plesac facing 6-7-8","Bottom of the 5th, Red Sox Batting, Tied 0-0, Indians' Zach Plesac facing 6-7-8","Bottom of the 5th, Red Sox Batting, Tied 0-0, Indians' Zach Plesac facing 6-7-8","Bottom of the 5th, Red Sox Batting, Tied 0-0, Indians' Zach Plesac facing 6-7-8","Bottom of the 5th, Red Sox Batting, Tied 0-0, Indians' Zach Plesac facing 6-7-8","Bottom of the 5th, Red Sox Batting, Tied 0-0, Indians' Zach Plesac facing 6-7-8","Bottom of the 5th, Red Sox Batting, Tied 0-0, Indians' Zach Plesac facing 6-7-8","Bottom of the 5th, Red Sox Batting, Tied 0-0, Indians' Zach Plesac facing 6-7-8","Bottom of the 5th, Red Sox Batting, Tied 0-0, Indians' Zach Plesac facing 6-7-8","Bottom of the 5th, Red Sox Batting, Tied 0-0, Indians' Zach Plesac facing 6-7-8"
b5,0-0,0,---,"4,(1-2) CCBX",O,BOS,Brock Holt,Zach Plesac,3%,46%,Flyball: LF (Short LF)
b5,0-0,1,---,"2,(0-1) FX",O,BOS,Steve Pearce,Zach Plesac,2%,48%,Groundout: 3B-1B (Weak 3B)
b5,0-0,2,---,"7,(3-2) BBBCSFB",,BOS,Jackie Bradley Jr.,Zach Plesac,-2%,47%,Walk
b5,0-0,2,1--,"6,(1-2) CFFBFS",O,BOS,Christian Vazquez,Zach Plesac,3%,50%,Strikeout Swinging
,,,,,,,,,"0 runs, 0 hits, 0 errors, 1 LOB. Indians 0, Red Sox 0.","0 runs, 0 hits, 0 errors, 1 LOB. Indians 0, Red Sox 0.","0 runs, 0 hits, 0 errors, 1 LOB. Indians 0, Red Sox 0."
"Top of the 6th, Indians Batting, Tied 0-0, Red Sox' David Price facing 9-1-2","Top of the 6th, Indians Batting, Tied 0-0, Red Sox' David Price facing 9-1-2","Top of the 6th, Indians Batting, Tied 0-0, Red Sox' David Price facing 9-1-2","Top of the 6th, Indians Batting, Tied 0-0, Red Sox' David Price facing 9-1-2","Top of the 6th, Indians Batting, Tied 0-0, Red Sox' David Price facing 9-1-2","Top of the 6th, Indians Batting, Tied 0-0, Red Sox' David Price facing 9-1-2","Top of the 6th, Indians Batting, Tied 0-0, Red Sox' David Price facing 9-1-2","Top of the 6th, Indians Batting, Tied 0-0, Red Sox' David Price facing 9-1-2","Top of the 6th, Indians Batting, Tied 0-0, Red Sox' David Price facing 9-1-2","Top of the 6th, Indians Batting, Tied 0-0, Red Sox' David Price facing 9-1-2","Top of the 6th, Indians Batting, Tied 0-0, Red Sox' David Price facing 9-1-2","Top of the 6th, Indians Batting, Tied 0-0, Red Sox' David Price facing 9-1-2"
t6,0-0,0,---,"4,(1-2) CBCS",O,CLE,Mike Freeman,David Price,-4%,46%,Strikeout Swinging
t6,0-0,1,---,"7,(3-2) CCBFBBB",,CLE,Francisco Lindor,David Price,4%,50%,Walk
t6,0-0,1,1--,"3,(2-0) B1BX",O,CLE,Oscar Mercado,David Price,-3%,47%,Groundout: 3B-1B (Weak SS); Lindor to 2B
t6,0-0,2,-2-,"4,(1-2) FFBC",O,CLE,Carlos Santana,David Price,-5%,42%,Strikeout Looking
