Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
"Top of the 1st, Indians Batting, Tied 0-0, Red Sox' Nathan Eovaldi facing 1-2-3","Top of the 1st, Indians Batting, Tied 0-0, Red Sox' Nathan Eovaldi facing 1-2-3","Top of the 1st, Indians Batting, Tied 0-0, Red Sox' Nathan Eovaldi facing 1-2-3","Top of the 1st, Indians Batting, Tied 0-0, Red Sox' Nathan Eovaldi facing 1-2-3","Top of the 1st, Indians Batting, Tied 0-0, Red Sox' Nathan Eovaldi facing 1-2-3","Top of the 1st, Indians Batting, Tied 0-0, Red Sox' Nathan Eovaldi facing 1-2-3","Top of the 1st, Indians Batting, Tied 0-0, Red Sox' Nathan Eovaldi facing 1-2-3","Top of the 1st, Indians Batting, Tied 0-0, Red Sox' Nathan Eovaldi facing 1-2-3","Top of the 1st, Indians Batting, Tied 0-0, Red Sox' Nathan Eovaldi facing 1-2-3","Top of the 1st, Indians Batting, Tied 0-0, Red Sox' Nathan Eovaldi facing 1-2-3","Top of the 1st, Indians Batting, Tied 0-0, Red Sox' Nathan Eovaldi facing 1-2-3","Top of the 1st, Indians Batting, Tied 0-0, Red Sox' Nathan Eovaldi facing 1-2-3"
t1,0-0,0,---,"4,(2-1) CBBX",O,CLE,Francisco Lindor,Nathan Eovaldi,-2%,48%,Foul Popfly: 3B (3B into Foul Terr.)
t1,0-0,1,---,"2,(0-1) FX",O,CLE,Michael Brantley,Nathan Eovaldi,-2%,46%,Groundout: P-1B
t1,0-0,2,---,"3,(0-2) CCX",O,CLE,Jose Ramirez,Nathan Eovaldi,-1%,45%,Groundout: P-1B
,,,,,,,,,"0 runs, 0 hits, 0 errors, 0 LOB. Indians 0, Red Sox 0.","0 runs, 0 hits, 0 errors, 0 LOB. Indians 0, Red Sox 0.","0 runs, 0 hits, 0 errors, 0 LOB. Indians 0, Red Sox 0."
"Bottom of the 1st, Red Sox Batting, Tied 0-0, Indians' Shane Bieber facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Indians' Shane Bieber facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Indians' Shane Bieber facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Indians' Shane Bieber facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Indians' Shane Bieber facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Indians' Shane Bieber facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Indians' Shane Bieber facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Indians' Shane Bieber facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Indians' Shane Bieber facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Indians' Shane Bieber facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Indians' Shane Bieber facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Indians' Shane Bieber facing 1-2-3"
b1,0-0,0,---,"8,(3-2) CSBFBBFC",O,BOS,Mookie Betts,Shane Bieber,2%,47%,Strikeout Looking
b1,0-0,1,---,"5,(2-2) BBCFX",O,BOS,Andrew Benintendi,Shane Bieber,2%,49%,Groundout: 2B-1B
b1,0-0,2,---,"8,(3-2) CBBSFBFC",O,BOS,J.D. Martinez,Shane Bieber,1%,50%,Strikeout Looking
,,,,,,,,,"0 runs, 0 hits, 0 errors, 0 LOB. Indians 0, Red Sox 0.","0 runs, 0 hits, 0 errors, 0 LOB. Indians 0, Red Sox 0.","0 runs, 0 hits, 0 errors, 0 LOB. Indians 0, Red Sox 0."
