Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
"Top of the 1st, Nationals Batting, Tied 0-0, Red Sox' Martin Perez facing 1-2-3","Top of the 1st, Nationals Batting, Tied 0-0, Red Sox' Martin Perez facing 1-2-3","Top of the 1st, Nationals Batting, Tied 0-0, Red Sox' Martin Perez facing 1-2-3","Top of the 1st, Nationals Batting, Tied 0-0, Red Sox' Martin Perez facing 1-2-3","Top of the 1st, Nationals Batting, Tied 0-0, Red Sox' Martin Perez facing 1-2-3","Top of the 1st, Nationals Batting, Tied 0-0, Red Sox' Martin Perez facing 1-2-3","Top of the 1st, Nationals Batting, Tied 0-0, Red Sox' Martin Perez facing 1-2-3","Top of the 1st, Nationals Batting, Tied 0-0, Red Sox' Martin Perez facing 1-2-3","Top of the 1st, Nationals Batting, Tied 0-0, Red Sox' Martin Perez facing 1-2-3","Top of the 1st, Nationals Batting, Tied 0-0, Red Sox' Martin Perez facing 1-2-3","Top of the 1st, Nationals Batting, Tied 0-0, Red Sox' Martin Perez facing 1-2-3","Top of the 1st, Nationals Batting, Tied 0-0, Red Sox' Martin Perez facing 1-2-3"
"Bottom of the 2nd, Red Sox Batting, Tied 0-0, Nationals' Max Scherzer facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Tied 0-0, Nationals' Max Scherzer facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Tied 0-0, Nationals' Max Scherzer facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Tied 0-0, Nationals' Max Scherzer facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Tied 0-0, Nationals' Max Scherzer facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Tied 0-0, Nationals' Max Scherzer facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Tied 0-0, Nationals' Max Scherzer facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Tied 0-0, Nationals' Max Scherzer facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Tied 0-0, Nationals' Max Scherzer facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Tied 0-0, Nationals' Max Scherzer facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Tied 0-0, Nationals' Max Scherzer facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Tied 0-0, Nationals' Max Scherzer facing 4-5-6"
b2,0-0,0,---,"2,(0-1) CX",,BOS,Xander Bogaerts,Max Scherzer,-4%,41%,Single to LF (Line Drive to Short LF)
b2,0-0,0,1--,"5,(3-1) BBBCX",,BOS,Mitch Moreland,Max Scherzer,-5%,36%,Single to RF (Line Drive); Bogaerts to 2B
b2,0-0,0,12-,"4,(2-1) B*BFX",O,BOS,Christian Vazquez,Max Scherzer,3%,38%,Flyball: RF (Deep RF); Bogaerts to 3B
b2,0-0,1,1-3,"3,(1-1) BFX",OO,BOS,Kevin Pillar,Max Scherzer,12%,50%,Double Play: Lineout: P; Moreland out at 1B/P-1B
,,,,,,,,,"0 runs, 2 hits, 0 errors, 1 LOB. Nationals 0, Red Sox 0.","0 runs, 2 hits, 0 errors, 1 LOB. Nationals 0, Red Sox 0.","0 runs, 2 hits, 0 errors, 1 LOB. Nationals 0, Red Sox 0."
"Top of the 3rd, Nationals Batting, Tied 0-0, Red Sox' Martin Perez facing 7-8-9","Top of the 3rd, Nationals Batting, Tied 0-0, Red Sox' Martin Perez facing 7-8-9","Top of the 3rd, Nationals Batting, Tied 0-0, Red Sox' Martin Perez facing 7-8-9","Top of the 3rd, Nationals Batting, Tied 0-0, Red Sox' Martin Perez facing 7-8-9","Top of the 3rd, Nationals Batting, Tied 0-0, Red Sox' Martin Perez facing 7-8-9","Top of the 3rd, Nationals Batting, Tied 0-0, Red Sox' Martin Perez facing 7-8-9","Top of the 3rd, Nationals Batting, Tied 0-0, Red Sox' Martin Perez facing 7-8-9","Top of the 3rd, Nationals Batting, Tied 0-0, Red Sox' Martin Perez facing 7-8-9","Top of the 3rd, Nationals Batting, Tied 0-0, Red Sox' Martin Perez facing 7-8-9","Top of the 3rd, Nationals Batting, Tied 0-0, Red Sox' Martin Perez facing 7-8-9","Top of the 3rd, Nationals Batting, Tied 0-0, Red Sox' Martin Perez facing 7-8-9","Top of the 3rd, Nationals Batting, Tied 0-0, Red Sox' Martin Perez facing 7-8-9"
t3,0-0,0,---,"6,(3-2) BCBBCX",,WSN,Josh Harrison,Martin Perez,4%,54%,Single to CF (Ground Ball thru SS-2B)
t3,0-0,0,1--,"5,(2-2) CCBBX",O,WSN,Michael A. Taylor,Martin Perez,-4%,50%,Groundout: 3B-2B/Forceout at 2B; Taylor to 1B
t3,0-0,1,1--,"4,(2-1) 1BBSX",,WSN,Victor Robles,Martin Perez,9%,59%,Double to LF (Line Drive to Deep LF Line); Taylor to 3B
t3,0-0,1,-23,"3,(2-0) BBX",RR,WSN,Trea Turner,Martin Perez,12%,71%,Double to LF (Ground Ball); Taylor Scores; Robles Scores
t3,2-0,1,-2-,"4,(3-0) BBBX",RR,WSN,Juan Soto,Martin Perez,12%,83%,Home Run (Fly Ball to Deep RF); Turner Scores
t3,4-0,1,---,"5,(3-1) BBBFX",R,WSN,Howie Kendrick,Martin Perez,5%,88%,Home Run (Line Drive to Deep LF)
t3,5-0,1,---,"4,(0-2) CFFX",O,WSN,Asdrubal Cabrera,Martin Perez,-1%,88%,Groundout: SS-1B (Deep SS)
t3,5-0,2,---,"5,(2-2) CBSBX",,WSN,Kurt Suzuki,Martin Perez,1%,89%,Double to LF (Fly Ball to Deep LF)
