Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
"Top of the 1st, Yankees Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Yankees Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Yankees Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Yankees Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Yankees Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Yankees Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Yankees Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Yankees Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Yankees Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Yankees Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Yankees Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Yankees Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3"
t3,1-1,2,---,"4,(1-2) FFBX",O,NYY,Edwin Encarnacion,Eduardo Rodriguez,1%,56%,Groundout: 1B-P (2B-1B)
,,,,,,,,,"0 runs, 1 hit, 0 errors, 0 LOB. Yankees 1, Red Sox 1.","0 runs, 1 hit, 0 errors, 0 LOB. Yankees 1, Red Sox 1.","0 runs, 1 hit, 0 errors, 0 LOB. Yankees 1, Red Sox 1."
"Bottom of the 3rd, Red Sox Batting, Tied 1-1, Yankees' CC Sabathia facing 8-9-1","Bottom of the 3rd, Red Sox Batting, Tied 1-1, Yankees' CC Sabathia facing 8-9-1","Bottom of the 3rd, Red Sox Batting, Tied 1-1, Yankees' CC Sabathia facing 8-9-1","Bottom of the 3rd, Red Sox Batting, Tied 1-1, Yankees' CC Sabathia facing 8-9-1","Bottom of the 3rd, Red Sox Batting, Tied 1-1, Yankees' CC Sabathia facing 8-9-1","Bottom of the 3rd, Red Sox Batting, Tied 1-1, Yankees' CC Sabathia facing 8-9-1","Bottom of the 3rd, Red Sox Batting, Tied 1-1, Yankees' CC Sabathia facing 8-9-1","Bottom of the 3rd, Red Sox Batting, Tied 1-1, Yankees' CC Sabathia facing 8-9-1","Bottom of the 3rd, Red Sox Batting, Tied 1-1, Yankees' CC Sabathia facing 8-9-1","Bottom of the 3rd, Red Sox Batting, Tied 1-1, Yankees' CC Sabathia facing 8-9-1","Bottom of the 3rd, Red Sox Batting, Tied 1-1, Yankees' CC Sabathia facing 8-9-1","Bottom of the 3rd, Red Sox Batting, Tied 1-1, Yankees' CC Sabathia facing 8-9-1"
b3,1-1,0,---,"3,(1-1) CBX",O,BOS,Michael Chavis,CC Sabathia,-3%,53%,Single to LF (Line Drive to LF Line); Chavis out at 2B/LF-2B
,,,,,,,,,Tag play Challenged by BOS manager (Alex Cora): Original call upheld upon review.,Tag play Challenged by BOS manager (Alex Cora): Original call upheld upon review.,Tag play Challenged by BOS manager (Alex Cora): Original call upheld upon review.
b3,1-1,1,---,"3,(2-0) BBX",O,BOS,Jackie Bradley Jr.,CC Sabathia,-2%,51%,Lineout: RF (Deep CF-RF)
b3,1-1,2,---,"4,(1-2) SSBX",O,BOS,Mookie Betts,CC Sabathia,-1%,50%,Lineout: LF
,,,,,,,,,"0 runs, 1 hit, 0 errors, 0 LOB. Yankees 1, Red Sox 1.","0 runs, 1 hit, 0 errors, 0 LOB. Yankees 1, Red Sox 1.","0 runs, 1 hit, 0 errors, 0 LOB. Yankees 1, Red Sox 1."
"Top of the 4th, Yankees Batting, Tied 1-1, Red Sox' Eduardo Rodriguez facing 4-5-6","Top of the 4th, Yankees Batting, Tied 1-1, Red Sox' Eduardo Rodriguez facing 4-5-6","Top of the 4th, Yankees Batting, Tied 1-1, Red Sox' Eduardo Rodriguez facing 4-5-6","Top of the 4th, Yankees Batting, Tied 1-1, Red Sox' Eduardo Rodriguez facing 4-5-6","Top of the 4th, Yankees Batting, Tied 1-1, Red Sox' Eduardo Rodriguez facing 4-5-6","Top of the 4th, Yankees Batting, Tied 1-1, Red Sox' Eduardo Rodriguez facing 4-5-6","Top of the 4th, Yankees Batting, Tied 1-1, Red Sox' Eduardo Rodriguez facing 4-5-6","Top of the 4th, Yankees Batting, Tied 1-1, Red Sox' Eduardo Rodriguez facing 4-5-6","Top of the 4th, Yankees Batting, Tied 1-1, Red Sox' Eduardo Rodriguez facing 4-5-6","Top of the 4th, Yankees Batting, Tied 1-1, Red Sox' Eduardo Rodriguez facing 4-5-6","Top of the 4th, Yankees Batting, Tied 1-1, Red Sox' Eduardo Rodriguez facing 4-5-6","Top of the 4th, Yankees Batting, Tied 1-1, Red Sox' Eduardo Rodriguez facing 4-5-6"
t4,1-1,0,---,"2,(1-0) BX",,NYY,Luke Voit,Eduardo Rodriguez,-7%,43%,Double to LF (Line Drive to Deep LF Line)
