Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
"Top of the 1st, Rays Batting, Tied 0-0, Red Sox' Hector Velazquez facing 1-2-3","Top of the 1st, Rays Batting, Tied 0-0, Red Sox' Hector Velazquez facing 1-2-3","Top of the 1st, Rays Batting, Tied 0-0, Red Sox' Hector Velazquez facing 1-2-3","Top of the 1st, Rays Batting, Tied 0-0, Red Sox' Hector Velazquez facing 1-2-3","Top of the 1st, Rays Batting, Tied 0-0, Red Sox' Hector Velazquez facing 1-2-3","Top of the 1st, Rays Batting, Tied 0-0, Red Sox' Hector Velazquez facing 1-2-3","Top of the 1st, Rays Batting, Tied 0-0, Red Sox' Hector Velazquez facing 1-2-3","Top of the 1st, Rays Batting, Tied 0-0, Red Sox' Hector Velazquez facing 1-2-3","Top of the 1st, Rays Batting, Tied 0-0, Red Sox' Hector Velazquez facing 1-2-3","Top of the 1st, Rays Batting, Tied 0-0, Red Sox' Hector Velazquez facing 1-2-3","Top of the 1st, Rays Batting, Tied 0-0, Red Sox' Hector Velazquez facing 1-2-3","Top of the 1st, Rays Batting, Tied 0-0, Red Sox' Hector Velazquez facing 1-2-3"
t1,0-0,0,---,"3,(0-2) CFX",O,TBR,Mallex Smith,Hector Velazquez,-2%,48%,Groundout: 2B-1B
t1,0-0,1,---,"4,(1-2) CFBX",O,TBR,Matt Duffy,Hector Velazquez,-2%,46%,Groundout: SS-1B (SS-3B Hole)
t1,0-0,2,---,"5,(3-1) BBBCB",,TBR,Jake Bauers,Hector Velazquez,1%,47%,Walk
t1,0-0,2,1--,"6,(2-2) BFSBFS",O,TBR,Tommy Pham,Hector Velazquez,-2%,45%,Strikeout Swinging
,,,,,,,,,"0 runs, 0 hits, 0 errors, 1 LOB. Rays 0, Red Sox 0.","0 runs, 0 hits, 0 errors, 1 LOB. Rays 0, Red Sox 0.","0 runs, 0 hits, 0 errors, 1 LOB. Rays 0, Red Sox 0."
"Bottom of the 1st, Red Sox Batting, Tied 0-0, Rays' Diego Castillo facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Rays' Diego Castillo facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Rays' Diego Castillo facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Rays' Diego Castillo facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Rays' Diego Castillo facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Rays' Diego Castillo facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Rays' Diego Castillo facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Rays' Diego Castillo facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Rays' Diego Castillo facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Rays' Diego Castillo facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Rays' Diego Castillo facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Rays' Diego Castillo facing 1-2-3"
b1,0-0,0,---,"3,(1-1) BCX",O,BOS,Mookie Betts,Diego Castillo,2%,47%,Groundout: 2B-1B (SS-2B)
b1,0-0,1,---,"2,(0-1) CX",O,BOS,Andrew Benintendi,Diego Castillo,2%,49%,Groundout: 1B unassisted
b1,0-0,2,---,"6,(3-2) BCBBCX",O,BOS,Steve Pearce,Diego Castillo,1%,50%,Lineout: CF (Deep LF-CF)
,,,,,,,,,"0 runs, 0 hits, 0 errors, 0 LOB. Rays 0, Red Sox 0.","0 runs, 0 hits, 0 errors, 0 LOB. Rays 0, Red Sox 0.","0 runs, 0 hits, 0 errors, 0 LOB. Rays 0, Red Sox 0."
"Top of the 2nd, Rays Batting, Tied 0-0, Red Sox' Hector Velazquez facing 5-6-7","Top of the 2nd, Rays Batting, Tied 0-0, Red Sox' Hector Velazquez facing 5-6-7","Top of the 2nd, Rays Batting, Tied 0-0, Red Sox' Hector Velazquez facing 5-6-7","Top of the 2nd, Rays Batting, Tied 0-0, Red Sox' Hector Velazquez facing 5-6-7","Top of the 2nd, Rays Batting, Tied 0-0, Red Sox' Hector Velazquez facing 5-6-7","Top of the 2nd, Rays Batting, Tied 0-0, Red Sox' Hector Velazquez facing 5-6-7","Top of the 2nd, Rays Batting, Tied 0-0, Red Sox' Hector Velazquez facing 5-6-7","Top of the 2nd, Rays Batting, Tied 0-0, Red Sox' Hector Velazquez facing 5-6-7","Top of the 2nd, Rays Batting, Tied 0-0, Red Sox' Hector Velazquez facing 5-6-7","Top of the 2nd, Rays Batting, Tied 0-0, Red Sox' Hector Velazquez facing 5-6-7","Top of the 2nd, Rays Batting, Tied 0-0, Red Sox' Hector Velazquez facing 5-6-7","Top of the 2nd, Rays Batting, Tied 0-0, Red Sox' Hector Velazquez facing 5-6-7"
t2,0-0,0,---,"4,(2-1) BBCX",R,TBR,Joey Wendle,Hector Velazquez,10%,60%,Home Run (Line Drive to Deep CF-RF)
t2,1-0,0,---,"1,(0-0) X",O,TBR,C.J. Cron,Hector Velazquez,-2%,58%,Groundout: SS-1B (Weak SS)
t2,1-0,1,---,"3,(1-1) CBX",,TBR,Ji-Man Choi,Hector Velazquez,2%,60%,Single to CF (Ground Ball thru SS-2B)
t2,1-0,1,1--,"5,(2-2) B1SFBH",,TBR,Brandon Lowe,Hector Velazquez,3%,64%,Hit By Pitch; Choi to 2B
t2,1-0,1,12-,"5,(3-1) BFBBX",OO,TBR,Jesus Sucre,Hector Velazquez,-8%,55%,Ground Ball Double Play: SS-2B-1B
,,,,,,,,,"1 run, 2 hits, 0 errors, 1 LOB. Rays 1, Red Sox 0.","1 run, 2 hits, 0 errors, 1 LOB. Rays 1, Red Sox 0.","1 run, 2 hits, 0 errors, 1 LOB. Rays 1, Red Sox 0."
"Bottom of the 2nd, Red Sox Batting, Behind 0-1, Rays' Diego Castillo facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Behind 0-1, Rays' Diego Castillo facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Behind 0-1, Rays' Diego Castillo facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Behind 0-1, Rays' Diego Castillo facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Behind 0-1, Rays' Diego Castillo facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Behind 0-1, Rays' Diego Castillo facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Behind 0-1, Rays' Diego Castillo facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Behind 0-1, Rays' Diego Castillo facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Behind 0-1, Rays' Diego Castillo facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Behind 0-1, Rays' Diego Castillo facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Behind 0-1, Rays' Diego Castillo facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Behind 0-1, Rays' Diego Castillo facing 4-5-6"
b2,0-1,0,---,"2,(1-0) BX",O,BOS,J.D. Martinez,Diego Castillo,3%,58%,Popfly: 1B (Deep 2B-1B)
b2,0-1,1,---,"3,(1-1) BCX",,BOS,Xander Bogaerts,Diego Castillo,-4%,54%,Double to LF (Line Drive to Deep LF Line)
b2,0-1,1,-2-,"3,(0-2) CCX",O,BOS,Eduardo Nunez,Diego Castillo,3%,57%,Groundout: 2B-1B; Bogaerts to 3B
,,,,,,,,,Jalen Beeks replaces Diego Castillo pitching,Jalen Beeks replaces Diego Castillo pitching,Jalen Beeks replaces Diego Castillo pitching
b2,0-1,2,--3,"6,(3-2) .*BCFBBS",O,BOS,Brock Holt,Jalen Beeks,4%,61%,Strikeout Swinging
,,,,,,,,,"0 runs, 1 hit, 0 errors, 1 LOB. Rays 1, Red Sox 0.","0 runs, 1 hit, 0 errors, 1 LOB. Rays 1, Red Sox 0.","0 runs, 1 hit, 0 errors, 1 LOB. Rays 1, Red Sox 0."
"Top of the 3rd, Rays Batting, Ahead 1-0, Red Sox' Hector Velazquez facing 1-2-3","Top of the 3rd, Rays Batting, Ahead 1-0, Red Sox' Hector Velazquez facing 1-2-3","Top of the 3rd, Rays Batting, Ahead 1-0, Red Sox' Hector Velazquez facing 1-2-3","Top of the 3rd, Rays Batting, Ahead 1-0, Red Sox' Hector Velazquez facing 1-2-3","Top of the 3rd, Rays Batting, Ahead 1-0, Red Sox' Hector Velazquez facing 1-2-3","Top of the 3rd, Rays Batting, Ahead 1-0, Red Sox' Hector Velazquez facing 1-2-3","Top of the 3rd, Rays Batting, Ahead 1-0, Red Sox' Hector Velazquez facing 1-2-3","Top of the 3rd, Rays Batting, Ahead 1-0, Red Sox' Hector Velazquez facing 1-2-3","Top of the 3rd, Rays Batting, Ahead 1-0, Red Sox' Hector Velazquez facing 1-2-3","Top of the 3rd, Rays Batting, Ahead 1-0, Red Sox' Hector Velazquez facing 1-2-3","Top of the 3rd, Rays Batting, Ahead 1-0, Red Sox' Hector Velazquez facing 1-2-3","Top of the 3rd, Rays Batting, Ahead 1-0, Red Sox' Hector Velazquez facing 1-2-3"
t3,1-0,0,---,"1,(0-0) X",O,TBR,Mallex Smith,Hector Velazquez,-2%,59%,Groundout: 1B unassisted (2B-1B)
t3,1-0,1,---,"3,(1-1) CBX",,TBR,Matt Duffy,Hector Velazquez,2%,61%,Single to LF (Ground Ball)
t3,1-0,1,1--,"1,(0-0) X",O,TBR,Jake Bauers,Hector Velazquez,-3%,58%,Flyball: LF (Deep LF-CF)
t3,1-0,2,1--,"2,(0-1) C1X",O,TBR,Tommy Pham,Hector Velazquez,-2%,56%,Groundout: 2B-1B (SS-2B)
,,,,,,,,,"0 runs, 1 hit, 0 errors, 1 LOB. Rays 1, Red Sox 0.","0 runs, 1 hit, 0 errors, 1 LOB. Rays 1, Red Sox 0.","0 runs, 1 hit, 0 errors, 1 LOB. Rays 1, Red Sox 0."
