Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
Arizona Diamondbacks,25,27.4,5.28,77,85,0.475,4.84,162,162,156,6,10,1,45,1456.1,1580,856,783,193,537,43,1038,62,5,58,6402,91,4.55,1.454,9.8,1.2,3.3,6.4,1.93,1177
Atlanta Braves,26,28.6,4.16,90,72,0.556,3.98,162,162,154,8,12,3,38,1443.2,1487,674,639,145,520,52,929,32,5,42,6186,107,4.19,1.39,9.3,0.9,3.2,5.8,1.79,1181
Chicago Cubs,22,28.2,4.41,79,83,0.488,4.19,162,162,154,8,10,2,39,1440.0,1357,714,671,186,576,48,1256,50,7,57,6185,105,4.26,1.342,8.5,1.2,3.6,7.9,2.18,1151
Cincinnati Reds,22,28.9,5.45,73,89,0.451,5.15,163,163,161,2,1,0,31,1433.0,1657,889,820,219,492,47,955,80,3,53,6397,83,4.87,1.5,10.4,1.4,3.1,6.0,1.94,1209
Colorado Rockies,27,27.3,5.32,67,95,0.414,5.13,162,162,158,4,4,1,37,1418.2,1600,862,808,175,604,54,981,84,6,65,6385,94,4.7,1.554,10.2,1.1,3.8,6.2,1.62,1267
Florida Marlins,27,29.5,4.52,83,79,0.512,4.16,162,162,148,14,15,8,42,1442.1,1459,732,666,116,563,57,1125,65,3,45,6236,96,3.81,1.402,9.1,0.7,3.5,7.0,2.0,1177
Houston Astros,17,30.3,3.74,89,73,0.549,3.51,163,163,157,6,11,2,45,1443.0,1336,609,563,155,440,29,1164,59,8,38,6023,121,3.84,1.231,8.3,1.0,2.7,7.3,2.65,1085
Los Angeles Dodgers,20,28.5,4.66,71,91,0.438,4.38,162,162,156,6,9,4,40,1427.1,1434,755,695,182,471,34,1004,64,6,36,6113,94,4.4,1.335,9.0,1.1,3.0,6.3,2.13,1076
Milwaukee Brewers,19,28.0,4.3,81,81,0.5,3.97,162,162,155,7,6,2,46,1438.0,1382,697,635,169,569,52,1173,45,8,66,6208,108,4.2,1.357,8.6,1.1,3.6,7.3,2.06,1197
New York Mets,22,31.9,4.0,83,79,0.512,3.76,162,162,154,8,11,3,38,1435.2,1390,648,599,135,491,43,1012,56,4,32,6121,109,3.98,1.31,8.7,0.8,3.1,6.3,2.06,1166
Philadelphia Phillies,19,29.7,4.48,88,74,0.543,4.21,162,162,158,4,6,0,40,1435.0,1379,726,672,189,487,51,1159,72,9,36,6119,105,4.29,1.3,8.6,1.2,3.1,7.3,2.38,1088
Pittsburgh Pirates,19,28.7,4.75,67,95,0.414,4.42,162,162,158,4,14,3,35,1436.0,1456,769,706,162,612,65,958,65,4,53,6264,95,4.57,1.44,9.1,1.0,3.8,6.0,1.57,1187
San Diego Padres,23,31.0,4.48,82,80,0.506,4.13,162,162,158,4,8,3,45,1455.1,1452,726,668,146,503,45,1133,46,3,36,6253,94,3.9,1.343,9.0,0.9,3.1,7.0,2.25,1161
San Francisco Giants,24,30.0,4.6,75,87,0.463,4.33,162,162,158,4,8,0,46,1444.1,1456,745,695,151,592,42,972,42,3,38,6280,99,4.35,1.418,9.1,0.9,3.7,6.1,1.64,1202
St. Louis Cardinals,20,29.7,3.91,100,62,0.617,3.49,162,162,147,15,14,7,48,1445.2,1399,634,560,153,443,27,974,60,5,41,6047,122,4.09,1.274,8.7,1.0,2.8,6.1,2.2,1076
Washington Nationals,25,28.9,4.15,81,81,0.5,3.87,162,162,158,4,9,1,51,1458.0,1456,673,627,140,539,77,997,72,8,49,6286,106,4.16,1.368,9.0,0.9,3.3,6.2,1.85,1239
League Average,21,29.2,4.51,80,82,0.496,4.22,162,162,156,6,9,2,42,1441.0,1455,732,675,164,527,48,1052,60,5,47,6219,101,4.26,1.376,9.1,1.0,3.3,6.6,1.99,1165
,341,29.2,4.51,1286,1306,0.496,4.22,2594,2594,2490,104,148,40,666,23052.1,23280,11709,10807,2616,8439,766,16830,954,87,745,99505,101,4.26,1.376,9.1,1.0,3.3,6.6,1.99,18639
