Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
Arizona Diamondbacks,24,27.7,4.83,70,92,0.432,4.42,162,162,158,4,12,1,36,1447.2,1470,782,711,168,525,27,1158,53,2,79,6267,101,4.2,1.378,9.1,1.0,3.3,7.2,2.21,1142
Atlanta Braves,21,28.9,3.96,86,76,0.531,3.57,162,162,159,3,10,0,38,1462.2,1399,641,581,119,530,59,1232,49,6,40,6208,116,3.66,1.319,8.6,0.7,3.3,7.6,2.32,1179
Chicago Cubs,24,28.4,4.17,83,78,0.516,3.84,161,161,158,3,8,2,40,1445.1,1329,672,616,160,586,46,1272,59,6,60,6177,116,4.11,1.325,8.3,1.0,3.6,7.9,2.17,1169
Cincinnati Reds,22,29.0,4.46,78,84,0.481,4.18,162,162,156,6,12,4,41,1458.1,1420,723,677,188,577,36,1069,65,1,45,6253,101,4.63,1.369,8.8,1.2,3.6,6.6,1.85,1155
Colorado Rockies,25,28.5,4.41,92,70,0.568,4.22,162,162,157,5,7,2,45,1438.1,1427,715,675,141,528,51,1154,46,5,48,6171,112,3.96,1.359,8.9,0.9,3.3,7.2,2.19,1141
Florida Marlins,27,26.3,4.73,87,75,0.537,4.29,162,162,157,5,5,1,45,1446.1,1425,766,690,160,601,60,1248,45,5,59,6299,100,4.15,1.401,8.9,1.0,3.7,7.8,2.08,1194
Houston Astros,22,31.2,4.75,74,88,0.457,4.54,162,162,157,5,10,1,39,1430.0,1521,770,722,176,546,56,1144,50,4,43,6237,91,4.35,1.445,9.6,1.1,3.4,7.2,2.1,1177
Los Angeles Dodgers,25,27.8,3.77,95,67,0.586,3.41,162,162,161,1,9,1,44,1473.1,1265,611,558,127,584,68,1272,57,2,76,6182,118,3.8,1.255,7.7,0.8,3.6,7.8,2.18,1151
Milwaukee Brewers,23,30.0,5.05,80,82,0.494,4.83,162,162,161,1,8,0,44,1435.0,1498,818,770,207,607,60,1104,65,1,61,6352,85,4.84,1.467,9.4,1.3,3.8,6.9,1.82,1229
New York Mets,24,29.2,4.67,70,92,0.432,4.45,162,162,159,3,12,2,39,1426.0,1452,757,705,158,616,60,1031,55,10,41,6284,92,4.5,1.45,9.2,1.0,3.9,6.5,1.67,1249
Philadelphia Phillies,22,31.2,4.38,93,69,0.574,4.16,162,162,154,8,9,5,44,1455.2,1479,709,673,189,489,31,1153,75,2,28,6263,101,4.36,1.352,9.1,1.2,3.0,7.1,2.36,1187
Pittsburgh Pirates,26,26.3,4.77,62,99,0.385,4.59,161,161,156,5,7,2,28,1418.1,1491,768,723,152,563,37,919,47,3,52,6144,91,4.48,1.448,9.5,1.0,3.6,5.8,1.63,1121
San Diego Padres,33,26.8,4.75,75,87,0.463,4.37,162,162,160,2,9,1,45,1450.2,1422,769,704,167,603,58,1187,45,8,52,6273,87,4.3,1.396,8.8,1.0,3.7,7.4,1.97,1152
San Francisco Giants,21,28.7,3.77,88,74,0.543,3.55,162,162,151,11,18,3,41,1446.0,1268,611,571,140,584,49,1302,41,3,71,6103,120,3.85,1.281,7.9,0.9,3.6,8.1,2.23,1154
St. Louis Cardinals,20,30.1,3.95,91,71,0.562,3.66,162,162,154,8,11,4,43,1440.2,1407,640,586,123,460,23,1049,53,5,43,6087,112,3.82,1.296,8.8,0.8,2.9,6.6,2.28,1125
Washington Nationals,30,27.4,5.4,59,103,0.364,5.0,162,162,156,6,3,1,33,1424.1,1533,874,791,173,629,59,911,48,5,74,6349,85,4.82,1.518,9.7,1.1,4.0,5.8,1.45,1200
League Average,23,28.6,4.49,80,82,0.495,4.19,162,162,157,5,9,2,40,1444.0,1425,727,672,159,564,49,1138,53,4,54,6228,101,4.24,1.378,8.9,1.0,3.5,7.1,2.02,1170
,370,28.6,4.49,1283,1307,0.495,4.19,2590,2590,2514,76,150,30,645,23098.2,22806,11626,10753,2548,9028,780,18205,853,68,872,99649,101,4.24,1.378,8.9,1.0,3.5,7.1,2.02,18725
