Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
Anaheim Angels,16,29.0,4.53,92,70,0.568,4.28,162,162,160,2,11,2,50,1454.1,1476,734,692,170,502,27,1164,44,7,61,6246,104,4.09,1.36,9.1,1.1,3.1,7.2,2.32,1149
Baltimore Orioles,22,27.4,5.12,78,84,0.481,4.7,162,162,154,8,10,4,27,1455.1,1488,830,760,159,687,43,1090,62,9,68,6459,97,4.52,1.495,9.2,1.0,4.2,6.7,1.59,1263
Boston Red Sox,26,32.5,4.74,98,64,0.605,4.18,162,162,158,4,12,1,36,1451.1,1430,768,674,159,447,28,1132,92,1,39,6222,116,4.03,1.293,8.9,1.0,2.8,7.0,2.53,1100
Chicago White Sox,22,28.2,5.13,83,79,0.512,4.91,162,162,154,8,8,2,34,1432.1,1505,831,782,224,527,36,1013,48,3,43,6189,96,4.87,1.419,9.5,1.4,3.3,6.4,1.92,1061
Cleveland Indians,30,27.3,5.29,80,82,0.494,4.81,162,162,154,8,8,3,32,1466.2,1553,857,784,201,579,47,1115,62,6,43,6450,91,4.62,1.454,9.5,1.2,3.6,6.8,1.93,1193
Detroit Tigers,18,27.5,5.21,72,90,0.444,4.93,162,162,155,7,9,4,35,1439.2,1542,844,788,190,530,33,995,54,6,71,6296,91,4.6,1.439,9.6,1.2,3.3,6.2,1.88,1133
Kansas City Royals,25,27.4,5.59,58,104,0.358,5.15,162,162,156,6,3,2,25,1420.1,1638,905,813,208,518,49,887,56,10,60,6320,93,4.92,1.518,10.4,1.3,3.3,5.6,1.71,1154
Minnesota Twins,18,28.2,4.41,92,70,0.568,4.03,162,162,158,4,9,4,48,1476.0,1523,715,661,167,431,27,1123,54,1,45,6269,117,3.98,1.324,9.3,1.0,2.6,6.8,2.61,1126
New York Yankees,23,32.9,4.99,101,61,0.623,4.69,162,162,161,1,5,0,59,1443.2,1532,808,752,182,445,32,1058,60,4,57,6240,96,4.27,1.369,9.6,1.1,2.8,6.6,2.38,1101
Oakland Athletics,18,28.4,4.58,91,71,0.562,4.17,162,162,152,10,8,3,35,1471.1,1466,742,682,164,544,49,1034,68,5,39,6313,109,4.34,1.366,9.0,1.0,3.3,6.3,1.9,1157
Seattle Mariners,23,30.4,5.08,63,99,0.389,4.76,162,162,155,7,7,2,28,1459.1,1498,823,772,212,575,32,1036,72,7,45,6389,95,4.85,1.421,9.2,1.3,3.5,6.4,1.8,1188
Tampa Bay Devil Rays,24,27.5,5.23,70,91,0.435,4.81,161,161,158,3,5,0,35,1417.0,1459,842,757,192,580,35,923,93,7,55,6261,94,4.93,1.439,9.3,1.2,3.7,5.9,1.59,1168
Texas Rangers,30,30.6,4.9,89,73,0.549,4.53,162,162,157,5,9,2,52,1439.2,1536,794,724,182,547,29,979,81,11,34,6345,111,4.64,1.447,9.6,1.1,3.4,6.1,1.79,1232
Toronto Blue Jays,25,28.6,5.11,67,94,0.416,4.91,161,161,155,6,11,4,37,1421.0,1505,823,775,181,608,47,956,58,11,60,6281,98,4.77,1.487,9.5,1.1,3.9,6.1,1.57,1195
League Average,22,29.0,4.99,81,81,0.5,4.63,162,162,156,6,8,2,38,1446.0,1511,808,744,185,537,37,1036,65,6,51,6306,100,4.53,1.416,9.4,1.2,3.3,6.4,1.93,1159
,311,29.0,4.99,1134,1132,0.5,4.63,2266,2266,2187,79,115,33,533,20248.0,21151,11316,10416,2591,7520,514,14505,904,88,720,88280,100,4.53,1.416,9.4,1.2,3.3,6.4,1.93,16220
