Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
Anaheim Angels,19,29.0,4.59,77,85,0.475,4.28,162,162,157,5,9,2,39,1431.1,1444,743,680,190,486,38,980,76,3,53,6161,103,4.57,1.348,9.1,1.2,3.1,6.2,2.02,1124
Baltimore Orioles,20,29.2,5.03,71,91,0.438,4.76,163,163,154,9,3,1,41,1449.2,1579,820,767,198,526,43,981,80,4,42,6366,95,4.71,1.452,9.8,1.2,3.3,6.1,1.87,1197
Boston Red Sox,26,31.2,4.99,95,67,0.586,4.48,162,162,157,5,6,0,36,1464.2,1503,809,729,153,488,41,1141,76,0,44,6355,104,3.99,1.359,9.2,0.9,3.0,7.0,2.34,1152
Chicago White Sox,20,27.9,4.41,86,76,0.531,4.17,162,162,150,12,4,0,36,1431.0,1364,715,663,162,518,30,1056,53,4,39,6067,111,4.22,1.315,8.6,1.0,3.3,6.6,2.04,1059
Cleveland Indians,29,26.3,4.8,68,94,0.42,4.21,162,162,157,5,7,2,34,1459.1,1477,778,682,179,501,37,943,64,7,49,6254,105,4.49,1.355,9.1,1.1,3.1,5.8,1.88,1098
Detroit Tigers,20,25.3,5.73,43,119,0.265,5.3,162,162,159,3,5,0,27,1438.2,1616,928,847,195,557,35,764,56,5,52,6376,81,5.01,1.51,10.1,1.2,3.5,4.8,1.37,1132
Kansas City Royals,29,28.0,5.35,83,79,0.512,5.05,162,162,155,7,10,3,36,1438.2,1569,867,808,190,566,33,865,66,9,60,6366,97,4.86,1.484,9.8,1.2,3.5,5.4,1.53,1183
Minnesota Twins,20,29.7,4.68,90,72,0.556,4.41,162,162,155,7,8,3,45,1462.0,1526,758,716,187,402,35,997,50,9,62,6246,103,4.26,1.319,9.4,1.2,2.5,6.1,2.48,1102
New York Yankees,23,33.7,4.39,101,61,0.623,4.02,163,163,155,8,12,3,49,1462.0,1512,716,653,145,375,36,1119,49,0,33,6209,110,3.66,1.291,9.3,0.9,2.3,6.9,2.98,1107
Oakland Athletics,18,27.4,3.97,96,66,0.593,3.63,162,162,146,16,14,5,48,1441.2,1336,643,582,140,499,42,1018,54,10,41,6078,123,4.03,1.273,8.3,0.9,3.1,6.4,2.04,1110
Seattle Mariners,18,29.8,3.93,93,69,0.574,3.76,162,162,154,8,15,3,38,1441.0,1340,637,602,173,466,24,1001,54,4,35,6025,115,4.28,1.253,8.4,1.1,2.9,6.3,2.15,1065
Tampa Bay Devil Rays,24,26.4,5.26,63,99,0.389,4.93,162,162,155,7,7,3,30,1436.2,1454,852,787,196,639,37,877,95,9,65,6340,90,5.12,1.457,9.1,1.2,4.0,5.5,1.37,1178
Texas Rangers,27,28.1,5.98,71,91,0.438,5.67,162,162,158,4,3,2,43,1433.1,1625,969,903,208,603,45,1009,63,8,51,6413,89,4.9,1.554,10.2,1.3,3.8,6.3,1.67,1144
Toronto Blue Jays,22,29.0,5.1,86,76,0.531,4.69,162,162,148,14,6,4,35,1435.0,1560,826,748,184,485,46,984,57,2,56,6270,101,4.46,1.425,9.8,1.2,3.0,6.2,2.03,1139
League Average,21,28.6,4.87,80,82,0.495,4.52,162,162,154,8,8,2,38,1445.0,1493,790,726,179,508,37,981,64,5,49,6252,101,4.47,1.385,9.3,1.1,3.2,6.1,1.93,1128
,300,28.6,4.87,1123,1145,0.495,4.52,2270,2270,2160,110,109,31,537,20225.0,20905,11061,10167,2500,7111,522,13735,893,74,682,87526,101,4.47,1.385,9.3,1.1,3.2,6.1,1.93,15790
