Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
Arizona Diamondbacks,34,28.5,4.7,84,78,0.519,4.47,162,162,161,1,9,1,44,1435.1,1375,761,713,197,525,13,1351,48,8,40,6100,98,4.35,1.324,8.6,1.2,3.3,8.5,2.57,1050
Atlanta Braves,32,29.9,4.42,104,58,0.642,4.14,162,162,161,1,15,1,52,1440.0,1341,716,662,187,534,14,1516,70,8,56,6135,108,4.1,1.302,8.4,1.2,3.3,9.5,2.84,1112
Chicago Cubs,27,29.6,4.46,83,79,0.512,4.08,162,162,161,1,13,1,35,1435.1,1328,723,651,179,513,5,1377,64,6,57,6085,110,4.16,1.283,8.3,1.1,3.2,8.6,2.68,1073
Cincinnati Reds,40,27.7,5.07,82,80,0.506,4.83,162,162,162,0,6,0,53,1439.1,1426,821,772,222,613,13,1381,81,7,48,6310,95,4.79,1.417,8.9,1.4,3.8,8.6,2.25,1189
Colorado Rockies,34,29.7,5.91,59,103,0.364,5.67,162,162,162,0,6,0,32,1414.0,1599,957,891,234,586,13,1129,86,7,51,6316,89,5.24,1.545,10.2,1.5,3.7,7.2,1.93,1129
Los Angeles Dodgers,39,28.1,4.31,100,62,0.617,4.06,162,162,162,0,15,0,44,1446.1,1284,699,652,200,454,20,1388,73,4,49,6018,108,4.23,1.202,8.0,1.2,2.8,8.6,3.06,1000
Miami Marlins,32,27.6,4.46,84,78,0.519,4.21,162,162,159,3,9,1,43,1435.1,1340,723,672,191,514,20,1490,71,9,38,6091,107,4.13,1.292,8.4,1.2,3.2,9.3,2.9,1081
Milwaukee Brewers,34,29.3,3.99,92,70,0.568,3.71,162,162,161,1,16,1,46,1443.0,1218,647,595,198,493,7,1425,60,8,54,5990,116,4.21,1.186,7.6,1.2,3.1,8.9,2.89,1036
New York Mets,37,31.9,4.5,75,87,0.463,4.3,162,162,161,1,7,0,34,1416.1,1331,729,676,190,595,13,1397,85,8,59,6115,99,4.47,1.36,8.5,1.2,3.8,8.9,2.35,1147
Philadelphia Phillies,26,29.8,4.41,90,72,0.556,4.03,162,162,161,1,4,1,45,1442.1,1318,715,646,185,470,6,1454,54,7,35,6074,107,4.0,1.24,8.2,1.2,2.9,9.1,3.09,1056
Pittsburgh Pirates,30,27.6,4.88,76,86,0.469,4.6,162,162,160,2,10,2,47,1430.0,1380,790,731,179,596,25,1363,81,7,57,6238,97,4.4,1.382,8.7,1.1,3.8,8.6,2.29,1171
San Diego Padres,30,30.7,4.0,82,80,0.506,3.73,162,162,162,0,16,0,36,1441.0,1270,648,598,174,557,14,1445,76,7,48,6082,110,4.14,1.268,7.9,1.1,3.5,9.0,2.59,1131
San Francisco Giants,24,30.0,4.44,79,83,0.488,4.02,162,162,158,4,11,2,50,1434.2,1395,719,641,173,403,22,1359,71,12,60,6039,105,3.92,1.253,8.8,1.1,2.5,8.5,3.37,1038
St. Louis Cardinals,28,29.7,5.12,71,91,0.438,4.79,162,162,162,0,10,0,36,1428.1,1549,829,760,179,530,6,1215,63,7,62,6273,90,4.43,1.456,9.8,1.1,3.3,7.7,2.29,1172
Washington Nationals,28,28.0,5.22,71,91,0.438,5.02,162,162,162,0,3,0,42,1428.1,1512,845,797,245,592,25,1225,66,8,54,6285,86,5.15,1.473,9.5,1.5,3.7,7.7,2.07,1167
League Average,30,29.2,4.66,82,80,0.507,4.38,162,162,161,1,10,1,43,1434.0,1378,755,697,196,532,14,1368,70,8,51,6143,101,4.38,1.332,8.6,1.2,3.3,8.6,2.57,1103
,456,29.2,4.66,1232,1198,0.507,4.38,2430,2430,2415,15,150,10,639,21509.2,20666,11322,10457,2933,7975,216,20515,1049,113,768,92151,101,4.38,1.332,8.6,1.2,3.3,8.6,2.57,16552
