Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
Arizona Diamondbacks,22,29.2,4.23,84,78,0.519,3.84,162,162,155,7,11,5,42,1455.0,1379,685,621,150,526,53,1291,72,9,52,6230,122,3.83,1.309,8.5,0.9,3.3,8.0,2.45,1180
Atlanta Braves,17,31.1,4.57,101,61,0.623,4.1,162,162,158,4,7,1,51,1456.1,1425,740,663,147,555,69,992,42,4,53,6247,105,4.21,1.36,8.8,0.9,3.4,6.1,1.79,1138
Chicago Cubs,17,28.2,4.22,88,74,0.543,3.83,162,162,149,13,14,6,36,1456.1,1304,683,619,143,617,36,1404,71,3,63,6227,114,3.8,1.319,8.1,0.9,3.8,8.7,2.28,1175
Cincinnati Reds,30,28.0,5.47,69,93,0.426,5.09,162,162,158,4,5,1,38,1446.1,1578,886,818,209,590,61,932,48,3,46,6423,81,4.94,1.499,9.8,1.3,3.7,5.8,1.58,1198
Colorado Rockies,23,28.0,5.51,74,88,0.457,5.2,162,162,159,3,4,0,34,1420.0,1629,892,821,200,552,51,866,84,8,48,6364,95,4.99,1.536,10.3,1.3,3.5,5.5,1.57,1212
Florida Marlins,22,26.3,4.27,91,71,0.562,4.04,162,162,155,7,11,2,36,1445.1,1415,692,648,128,530,40,1132,40,11,51,6165,105,3.8,1.346,8.8,0.8,3.3,7.0,2.14,1137
Houston Astros,23,27.6,4.18,87,75,0.537,3.86,162,162,161,1,5,0,50,1450.0,1350,677,622,161,565,53,1139,74,4,40,6176,114,4.23,1.321,8.4,1.0,3.5,7.1,2.02,1149
Los Angeles Dodgers,19,31.2,3.43,85,77,0.525,3.16,162,162,159,3,17,3,58,1457.2,1254,556,511,127,526,35,1289,40,5,50,6001,128,3.56,1.221,7.7,0.8,3.2,8.0,2.45,1072
Milwaukee Brewers,23,27.6,5.39,68,94,0.42,5.02,162,162,157,5,3,1,44,1452.0,1590,873,810,219,575,43,1034,61,8,57,6459,86,4.88,1.491,9.9,1.4,3.6,6.4,1.8,1230
Montreal Expos,25,26.7,4.42,83,79,0.512,4.01,162,162,147,15,10,2,42,1437.2,1467,716,640,181,463,51,1028,71,4,71,6171,113,4.35,1.342,9.2,1.1,2.9,6.4,2.22,1142
New York Mets,25,31.6,4.68,66,95,0.41,4.48,161,161,158,3,10,3,38,1413.1,1497,754,704,168,576,71,907,45,7,45,6204,94,4.61,1.467,9.5,1.1,3.7,5.8,1.57,1210
Philadelphia Phillies,20,29.0,4.3,86,76,0.531,4.04,162,162,153,9,13,7,33,1443.2,1386,697,648,142,536,51,1060,77,4,53,6195,99,4.12,1.331,8.6,0.9,3.3,6.6,1.98,1167
Pittsburgh Pirates,23,28.3,4.94,75,87,0.463,4.64,162,162,155,7,10,3,44,1444.1,1527,801,744,178,502,58,926,61,2,50,6293,95,4.52,1.405,9.5,1.1,3.1,5.8,1.84,1159
San Diego Padres,27,27.8,5.13,64,98,0.395,4.87,162,162,160,2,10,0,31,1431.1,1458,831,774,208,611,52,1091,62,3,64,6303,82,4.8,1.446,9.2,1.3,3.8,6.9,1.79,1178
San Francisco Giants,21,28.6,3.96,100,61,0.621,3.73,161,161,154,7,10,4,43,1437.1,1349,638,595,136,546,34,1006,43,8,68,6090,113,4.09,1.318,8.4,0.9,3.4,6.3,1.84,1140
St. Louis Cardinals,24,31.2,4.91,85,77,0.525,4.6,162,162,153,9,10,3,41,1463.2,1544,796,748,210,508,36,969,65,1,53,6375,90,4.75,1.402,9.5,1.3,3.1,6.0,1.91,1188
League Average,22,28.8,4.6,82,80,0.504,4.28,162,162,156,6,9,3,41,1444.0,1447,745,687,169,549,50,1067,60,5,54,6245,101,4.34,1.382,9.0,1.1,3.4,6.6,1.94,1167
,345,28.8,4.6,1306,1284,0.504,4.28,2590,2590,2491,99,150,41,661,23110.1,23152,11917,10986,2707,8778,794,17066,956,84,864,99923,101,4.34,1.382,9.0,1.1,3.4,6.6,1.94,18675
