Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
Baltimore Orioles,27,29.0,5.36,69,93,0.426,5.17,162,162,158,4,9,1,30,1438.2,1491,868,827,161,696,37,1087,72,8,55,6418,89,4.79,1.52,9.3,1.0,4.4,6.8,1.56,1234
Boston Red Sox,20,31.1,4.06,96,66,0.593,3.87,162,162,157,5,13,3,45,1438.2,1350,657,618,151,482,20,1149,62,0,33,6071,123,4.14,1.273,8.4,0.9,3.0,7.2,2.38,1098
Chicago White Sox,21,27.7,5.18,72,90,0.444,4.77,162,162,153,9,9,4,42,1440.2,1556,839,763,174,499,50,1015,59,0,45,6293,99,4.56,1.426,9.7,1.1,3.1,6.3,2.03,1132
Cleveland Indians,21,29.4,4.35,96,66,0.593,4.05,162,162,153,9,9,4,49,1462.2,1519,704,658,146,410,42,1047,56,2,42,6206,112,4.06,1.319,9.3,0.9,2.5,6.4,2.55,1114
Detroit Tigers,25,28.5,4.92,88,74,0.543,4.57,162,162,161,1,9,1,44,1447.1,1498,797,735,174,566,41,1047,68,8,75,6345,100,4.67,1.426,9.3,1.1,3.5,6.5,1.85,1206
Kansas City Royals,23,27.1,4.8,69,93,0.426,4.48,162,162,160,2,6,0,36,1437.1,1547,778,716,168,520,54,993,41,4,56,6253,102,4.55,1.438,9.7,1.1,3.3,6.2,1.91,1163
Los Angeles Angels of Anaheim,18,28.4,4.51,94,68,0.58,4.23,162,162,157,5,9,3,43,1435.0,1480,731,674,151,477,22,1156,51,5,69,6161,107,4.1,1.364,9.3,0.9,3.0,7.3,2.42,1125
Minnesota Twins,19,27.4,4.48,79,83,0.488,4.15,162,162,157,5,8,3,38,1436.2,1505,725,663,185,420,33,1094,51,5,46,6133,103,4.37,1.34,9.4,1.2,2.6,6.9,2.6,1098
New York Yankees,28,31.4,4.8,94,68,0.58,4.49,162,162,161,1,5,0,34,1450.2,1498,777,724,150,578,33,1009,60,6,59,6308,101,4.51,1.431,9.3,0.9,3.6,6.3,1.75,1179
Oakland Athletics,24,26.9,4.68,76,86,0.469,4.28,162,162,158,4,9,1,36,1448.0,1468,758,689,138,530,60,1036,43,4,52,6247,99,4.24,1.38,9.1,0.9,3.3,6.4,1.95,1145
Seattle Mariners,23,28.1,5.02,88,74,0.543,4.73,162,162,156,6,12,4,43,1434.1,1578,813,754,147,546,39,1020,62,10,59,6313,92,4.42,1.481,9.9,0.9,3.4,6.4,1.87,1197
Tampa Bay Devil Rays,24,27.0,5.83,66,96,0.407,5.53,162,162,160,2,2,1,28,1429.2,1649,944,879,199,568,31,1194,63,2,55,6403,82,4.7,1.551,10.4,1.3,3.6,7.5,2.1,1170
Texas Rangers,25,27.7,5.21,75,87,0.463,4.75,162,162,162,0,6,0,42,1430.0,1525,844,755,155,668,38,976,70,4,66,6389,96,4.83,1.534,9.6,1.0,4.2,6.1,1.46,1255
Toronto Blue Jays,23,27.3,4.31,83,79,0.512,4.0,162,162,151,11,9,2,44,1448.2,1383,699,644,157,479,34,1067,55,3,42,6108,112,4.28,1.285,8.6,1.0,3.0,6.6,2.23,1063
League Average,22,28.4,4.82,82,80,0.505,4.5,162,162,157,5,8,2,40,1441.0,1503,781,721,161,531,38,1064,58,4,54,6261,100,4.44,1.412,9.4,1.0,3.3,6.6,2.0,1156
,311,28.4,4.82,1145,1123,0.505,4.5,2268,2268,2204,64,115,27,554,20178.1,21047,10934,10099,2256,7439,534,14890,813,61,754,87648,100,4.44,1.412,9.4,1.0,3.3,6.6,2.0,16179
