Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
Arizona Diamondbacks,29,26.4,5.49,69,93,0.426,5.09,162,162,160,2,7,2,31,1451.1,1563,890,821,202,603,57,1318,57,7,69,6437,88,4.5,1.492,9.7,1.3,3.7,8.2,2.19,1193
Atlanta Braves,35,26.4,4.84,68,93,0.422,4.51,161,161,160,1,9,1,39,1447.2,1414,779,725,177,547,55,1227,70,4,83,6250,92,4.32,1.355,8.8,1.1,3.4,7.6,2.24,1128
Chicago Cubs,26,29.9,3.43,103,58,0.64,3.15,162,162,157,5,15,2,38,1459.2,1125,556,511,163,495,24,1441,63,0,80,5933,133,3.77,1.11,6.9,1.0,3.1,8.9,2.91,998
Cincinnati Reds,32,27.1,5.27,68,94,0.42,4.91,162,162,160,2,8,1,28,1442.0,1457,854,786,258,636,31,1241,78,12,61,6348,87,5.24,1.451,9.1,1.6,4.0,7.7,1.95,1168
Colorado Rockies,25,27.7,5.31,75,87,0.463,4.91,162,162,160,2,9,2,37,1429.1,1532,860,779,181,547,38,1223,70,5,72,6289,99,4.38,1.455,9.6,1.1,3.4,7.7,2.24,1141
Los Angeles Dodgers,31,28.9,3.94,91,71,0.562,3.7,162,162,159,3,15,3,47,1453.0,1266,638,598,165,464,51,1510,53,5,58,6014,109,3.61,1.191,7.8,1.0,2.9,9.4,3.25,1017
Miami Marlins,31,28.0,4.24,79,82,0.491,4.05,161,161,161,0,12,0,55,1435.0,1358,682,646,152,595,62,1379,61,3,66,6164,98,3.97,1.361,8.5,1.0,3.7,8.6,2.32,1177
Milwaukee Brewers,27,28.1,4.52,73,89,0.451,4.08,162,162,162,0,7,0,46,1434.1,1450,733,650,178,532,33,1175,66,2,48,6188,105,4.37,1.382,9.1,1.1,3.3,7.4,2.21,1152
New York Mets,22,28.4,3.81,87,75,0.537,3.57,162,162,161,1,13,1,55,1447.0,1397,617,574,152,439,39,1396,35,7,50,6067,113,3.56,1.269,8.7,0.9,2.7,8.7,3.18,1109
Philadelphia Phillies,27,26.3,4.91,71,91,0.438,4.63,162,162,158,4,12,3,43,1437.0,1468,796,739,213,466,30,1299,51,9,57,6164,91,4.34,1.346,9.2,1.3,2.9,8.1,2.79,1057
Pittsburgh Pirates,32,28.6,4.68,78,83,0.484,4.21,162,162,157,5,5,1,51,1450.2,1490,758,679,180,533,28,1232,68,7,71,6292,99,4.3,1.395,9.2,1.1,3.3,7.6,2.31,1182
San Diego Padres,32,28.1,4.75,68,94,0.42,4.43,162,162,161,1,9,0,35,1440.0,1425,770,708,183,569,44,1222,53,3,67,6228,90,4.4,1.385,8.9,1.1,3.6,7.6,2.15,1138
San Francisco Giants,25,30.0,3.9,87,75,0.537,3.65,162,162,152,10,11,3,43,1460.1,1334,631,593,158,439,30,1309,46,6,40,6049,109,3.76,1.214,8.2,1.0,2.7,8.1,2.98,1037
St. Louis Cardinals,21,28.0,4.4,86,76,0.531,4.08,162,162,160,2,10,2,38,1448.1,1432,712,656,159,475,35,1290,52,1,50,6164,100,3.88,1.317,8.9,1.0,3.0,8.0,2.72,1107
Washington Nationals,24,29.1,3.78,95,67,0.586,3.51,162,162,161,1,12,0,46,1459.2,1272,612,570,155,468,43,1476,57,4,47,6036,122,3.58,1.192,7.8,1.0,2.9,9.1,3.15,1044
League Average,27,28.1,4.48,80,82,0.494,4.16,162,162,159,3,10,1,42,1446.0,1399,726,669,178,521,40,1316,59,5,61,6175,101,4.13,1.327,8.7,1.1,3.2,8.2,2.53,1110
,398,28.1,4.48,1198,1228,0.494,4.16,2428,2428,2389,39,154,21,632,21695.1,20983,10888,10035,2676,7808,600,19738,880,75,919,92623,101,4.13,1.327,8.7,1.1,3.2,8.2,2.53,16648
