Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
Baltimore Orioles,27,28.2,5.31,69,93,0.426,4.89,162,162,159,3,7,1,32,1446.2,1568,860,786,210,535,42,1044,45,4,32,6332,86,4.67,1.454,9.8,1.3,3.3,6.5,1.95,1132
Boston Red Sox,27,30.3,4.55,90,72,0.556,4.2,162,162,160,2,13,1,36,1457.1,1366,737,680,156,540,11,1213,90,7,58,6242,103,4.05,1.308,8.4,1.0,3.3,7.5,2.25,1133
Chicago White Sox,22,28.5,4.36,79,83,0.488,4.1,162,162,156,6,14,4,42,1460.0,1463,706,665,147,439,50,1220,44,4,55,6188,106,3.66,1.303,9.0,0.9,2.7,7.5,2.78,1102
Cleveland Indians,22,26.7,4.69,80,82,0.494,4.23,162,162,160,2,4,0,38,1453.1,1482,760,683,153,463,34,1024,60,3,42,6235,93,4.06,1.338,9.2,0.9,2.9,6.3,2.21,1115
Detroit Tigers,26,27.8,4.39,95,67,0.586,4.04,162,162,158,4,14,2,52,1440.0,1406,711,647,149,492,34,1115,52,5,69,6108,103,3.95,1.318,8.8,0.9,3.1,7.0,2.27,1077
Kansas City Royals,23,26.4,4.7,71,91,0.438,4.44,162,162,160,2,6,0,37,1451.1,1487,762,716,163,557,42,1080,58,7,69,6280,92,4.27,1.408,9.2,1.0,3.5,6.7,1.94,1164
Los Angeles Angels of Anaheim,21,28.4,3.91,86,76,0.531,3.57,162,162,150,12,11,6,39,1465.0,1388,633,581,142,476,34,1058,36,4,55,6124,106,3.89,1.272,8.5,0.9,2.9,6.5,2.22,1096
Minnesota Twins,24,28.5,4.96,63,99,0.389,4.58,162,162,155,7,8,3,32,1421.2,1564,804,724,161,480,37,940,54,5,47,6210,89,4.3,1.438,9.9,1.0,3.0,6.0,1.96,1141
New York Yankees,28,31.0,4.06,97,65,0.599,3.73,162,162,157,5,8,3,47,1458.1,1423,657,605,152,507,43,1222,58,3,67,6216,116,3.87,1.323,8.8,0.9,3.1,7.5,2.41,1184
Oakland Athletics,26,27.4,4.19,74,88,0.457,3.71,162,162,156,6,12,1,39,1447.2,1380,679,597,136,519,24,1160,41,3,53,6159,109,3.8,1.312,8.6,0.8,3.2,7.2,2.24,1137
Seattle Mariners,21,26.8,4.17,67,95,0.414,3.9,162,162,150,12,10,3,39,1433.0,1369,675,621,145,436,27,1088,51,6,68,6014,97,3.84,1.26,8.6,0.9,2.7,6.8,2.5,1040
Tampa Bay Rays,21,27.8,3.79,91,71,0.562,3.58,162,162,147,15,13,5,32,1449.0,1263,614,577,161,504,38,1143,46,3,45,6010,105,4.03,1.219,7.8,1.0,3.1,7.1,2.27,1049
Texas Rangers,25,28.8,4.18,96,66,0.593,3.79,162,162,152,10,19,7,38,1441.1,1327,677,607,170,461,21,1179,46,6,43,6021,117,3.98,1.241,8.3,1.1,2.9,7.4,2.56,1020
Toronto Blue Jays,30,27.6,4.7,81,81,0.5,4.32,162,162,155,7,10,3,33,1458.2,1433,761,700,179,540,28,1169,77,3,73,6286,99,4.29,1.353,8.8,1.1,3.3,7.2,2.16,1149
League Average,23,28.2,4.43,81,81,0.502,4.08,162,162,155,7,11,3,38,1449.0,1423,717,656,159,496,33,1118,54,4,55,6173,101,4.05,1.325,8.8,1.0,3.1,6.9,2.25,1110
,325,28.2,4.43,1139,1129,0.502,4.08,2268,2268,2175,93,149,39,536,20283.1,19919,10036,9189,2224,6949,465,15655,758,63,776,86425,101,4.05,1.325,8.8,1.0,3.1,6.9,2.25,15539
