Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
Baltimore Orioles,27,28.1,5.41,64,98,0.395,5.15,162,162,160,2,3,0,31,1429.0,1633,876,817,218,546,45,933,51,7,31,6359,89,5.03,1.525,10.3,1.4,3.4,5.9,1.71,1196
Boston Red Sox,27,29.8,4.54,95,67,0.586,4.35,162,162,154,8,11,2,41,1436.2,1494,736,695,167,530,24,1230,68,5,42,6283,107,4.14,1.409,9.4,1.0,3.3,7.7,2.32,1237
Chicago White Sox,24,29.5,4.52,79,83,0.488,4.14,162,162,158,4,11,1,36,1439.2,1438,732,663,169,507,41,1119,41,5,55,6155,113,4.21,1.351,9.0,1.1,3.2,7.0,2.21,1104
Cleveland Indians,29,27.8,5.34,65,97,0.401,5.06,162,162,157,5,6,2,25,1434.0,1570,865,806,183,598,31,986,45,7,49,6354,84,4.73,1.512,9.9,1.1,3.8,6.2,1.65,1187
Detroit Tigers,23,26.6,4.57,86,77,0.528,4.29,163,163,159,4,9,1,42,1447.0,1449,745,690,182,594,42,1102,41,6,48,6240,104,4.53,1.412,9.0,1.1,3.7,6.9,1.86,1154
Kansas City Royals,23,28.7,5.2,65,97,0.401,4.83,162,162,152,10,9,5,34,1426.0,1486,842,765,166,600,28,1153,51,6,89,6265,92,4.36,1.463,9.4,1.0,3.8,7.3,1.92,1145
Los Angeles Angels of Anaheim,25,28.6,4.7,97,65,0.599,4.45,162,162,153,9,13,6,51,1445.0,1513,761,715,180,523,35,1062,58,2,67,6252,99,4.45,1.409,9.4,1.1,3.3,6.6,2.03,1156
Minnesota Twins,24,27.9,4.69,87,76,0.534,4.5,163,163,159,4,7,1,48,1453.0,1542,765,726,185,466,20,1052,58,3,43,6274,98,4.39,1.382,9.6,1.1,2.9,6.5,2.26,1150
New York Yankees,24,29.3,4.65,103,59,0.636,4.26,162,162,159,3,8,1,51,1450.0,1386,753,687,181,574,28,1260,71,5,66,6247,108,4.32,1.352,8.6,1.1,3.6,7.8,2.2,1144
Oakland Athletics,26,25.7,4.7,75,87,0.463,4.26,162,162,160,2,10,2,38,1447.1,1486,761,685,156,523,30,1124,36,2,43,6243,103,4.1,1.388,9.2,1.0,3.3,7.0,2.15,1140
Seattle Mariners,20,27.4,4.27,85,77,0.525,3.87,162,162,158,4,10,2,49,1452.2,1359,692,625,172,534,13,1043,43,5,61,6159,110,4.39,1.303,8.4,1.1,3.3,6.5,1.95,1109
Tampa Bay Rays,21,28.4,4.65,84,78,0.519,4.33,162,162,159,3,5,3,41,1427.1,1421,754,686,183,515,22,1125,46,5,46,6146,100,4.37,1.356,9.0,1.2,3.2,7.1,2.18,1110
Texas Rangers,23,27.7,4.57,87,75,0.537,4.38,162,162,154,8,11,3,45,1434.2,1432,740,698,171,531,14,1016,70,8,45,6172,106,4.49,1.368,9.0,1.1,3.3,6.4,1.91,1128
Toronto Blue Jays,24,28.4,4.76,75,87,0.463,4.47,162,162,152,10,10,4,25,1451.0,1509,771,720,181,551,26,1181,58,4,43,6281,100,4.35,1.42,9.4,1.1,3.4,7.3,2.14,1157
League Average,23,28.1,4.75,82,80,0.505,4.45,162,162,157,5,9,2,40,1441.0,1480,771,713,178,542,28,1099,53,5,52,6245,100,4.42,1.403,9.2,1.1,3.4,6.9,2.03,1151
,327,28.1,4.75,1147,1123,0.505,4.45,2270,2270,2194,76,123,33,557,20173.1,20718,10793,9978,2494,7592,399,15386,737,70,728,87430,100,4.42,1.403,9.2,1.1,3.4,6.9,2.03,16117
