Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
Baltimore Orioles,24,27.9,5.55,70,92,0.432,5.35,162,162,157,5,9,1,35,1419.0,1579,899,843,216,613,26,1016,48,4,59,6327,85,5.09,1.545,10.0,1.4,3.9,6.4,1.66,1171
Boston Red Sox,28,31.1,5.09,86,76,0.531,4.83,162,162,159,3,6,1,46,1441.1,1570,825,773,181,509,25,1070,68,3,52,6292,99,4.5,1.442,9.8,1.1,3.2,6.7,2.1,1143
Chicago White Sox,18,27.9,4.9,90,72,0.556,4.61,162,162,157,5,11,2,46,1449.0,1534,794,743,200,433,59,1012,58,1,51,6232,103,4.56,1.357,9.5,1.2,2.7,6.3,2.34,1091
Cleveland Indians,23,28.6,4.83,78,84,0.481,4.41,162,162,149,13,13,6,24,1423.1,1583,782,698,166,429,35,948,51,2,46,6190,101,4.34,1.414,10.0,1.0,2.7,6.0,2.21,1138
Detroit Tigers,19,28.8,4.17,95,67,0.586,3.84,162,162,159,3,16,1,46,1448.0,1420,675,618,160,489,35,1003,53,2,44,6145,118,4.32,1.318,8.8,1.0,3.0,6.2,2.05,1126
Kansas City Royals,31,27.7,5.99,62,100,0.383,5.65,162,162,159,3,5,2,35,1426.1,1648,971,896,213,637,45,904,60,9,85,6434,83,5.29,1.602,10.4,1.3,4.0,5.7,1.42,1184
Los Angeles Angels of Anaheim,18,27.9,4.52,89,73,0.549,4.04,162,162,157,5,12,3,50,1452.2,1410,732,652,158,471,27,1164,50,3,85,6149,112,4.03,1.295,8.7,1.0,2.9,7.2,2.47,1059
Minnesota Twins,17,26.9,4.22,96,66,0.593,3.95,162,162,161,1,6,0,40,1439.1,1490,683,632,182,356,25,1164,36,3,40,6066,114,3.99,1.283,9.3,1.1,2.2,7.3,3.27,1065
New York Yankees,25,32.5,4.73,97,65,0.599,4.41,162,162,157,5,8,1,43,1443.2,1463,767,708,170,496,41,1019,59,7,46,6215,103,4.42,1.357,9.1,1.1,3.1,6.4,2.05,1117
Oakland Athletics,21,27.0,4.49,93,69,0.574,4.21,162,162,157,5,11,2,54,1451.2,1525,727,679,162,529,47,1003,55,4,43,6279,106,4.42,1.415,9.5,1.0,3.3,6.2,1.9,1197
Seattle Mariners,25,28.0,4.89,78,84,0.481,4.6,162,162,156,6,6,2,47,1446.2,1500,792,739,183,560,50,1067,53,6,47,6294,97,4.59,1.424,9.3,1.1,3.5,6.6,1.91,1162
Tampa Bay Devil Rays,25,27.0,5.28,61,101,0.377,4.96,162,162,159,3,7,2,33,1420.1,1600,856,782,180,606,39,979,63,8,70,6374,92,4.83,1.553,10.1,1.1,3.8,6.2,1.62,1257
Texas Rangers,26,28.3,4.84,80,82,0.494,4.6,162,162,159,3,8,1,42,1431.1,1558,784,731,162,496,18,972,66,4,34,6237,101,4.44,1.435,9.8,1.0,3.1,6.1,1.96,1159
Toronto Blue Jays,21,28.1,4.65,87,75,0.537,4.37,162,162,156,6,6,1,42,1428.1,1447,754,694,185,504,56,1076,59,13,53,6151,105,4.51,1.366,9.1,1.2,3.2,6.8,2.13,1112
League Average,22,28.4,4.87,83,79,0.512,4.56,162,162,157,5,9,2,42,1437.0,1523,789,728,180,509,38,1028,56,5,54,6242,100,4.52,1.414,9.5,1.1,3.2,6.4,2.02,1142
,315,28.4,4.87,1162,1106,0.512,4.56,2268,2268,2202,66,124,25,583,20121.0,21327,11041,10188,2518,7128,528,14397,779,69,755,87385,100,4.52,1.414,9.5,1.1,3.2,6.4,2.02,15981
