Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
Arizona Diamondbacks,20,29.4,4.36,82,80,0.506,3.98,162,162,156,6,9,2,39,1434.2,1403,706,635,147,451,41,1229,68,3,59,6119,116,3.84,1.292,8.8,0.9,2.8,7.7,2.73,1109
Atlanta Braves,28,28.6,4.8,72,90,0.444,4.46,162,162,160,2,7,1,26,1440.2,1439,778,714,156,586,80,1076,42,5,42,6244,94,4.35,1.406,9.0,1.0,3.7,6.7,1.84,1144
Chicago Cubs,23,28.9,4.17,97,64,0.602,3.87,161,161,159,2,8,1,44,1450.2,1329,671,624,160,548,45,1264,65,7,48,6194,118,4.09,1.294,8.2,1.0,3.4,7.8,2.31,1171
Cincinnati Reds,24,28.7,4.94,74,88,0.457,4.55,162,162,160,2,6,1,34,1442.1,1542,800,729,201,557,40,1227,67,7,52,6352,97,4.54,1.455,9.6,1.3,3.5,7.7,2.2,1225
Colorado Rockies,26,28.5,5.07,74,88,0.457,4.77,162,162,159,3,8,1,36,1446.0,1547,822,766,148,562,49,1041,53,7,61,6338,99,4.3,1.459,9.6,0.9,3.5,6.5,1.85,1178
Florida Marlins,22,26.6,4.76,84,77,0.522,4.43,161,161,159,2,8,1,36,1435.1,1421,767,707,161,586,66,1127,58,4,59,6271,98,4.37,1.398,8.9,1.0,3.7,7.1,1.92,1198
Houston Astros,20,30.9,4.61,86,75,0.534,4.36,161,161,157,4,13,3,48,1425.1,1453,743,691,197,492,53,1095,50,9,22,6125,96,4.53,1.365,9.2,1.2,3.1,6.9,2.23,1106
Los Angeles Dodgers,22,29.5,4.0,84,78,0.519,3.68,162,162,157,5,11,4,35,1447.1,1381,648,591,123,480,58,1205,48,4,47,6127,114,3.67,1.286,8.6,0.8,3.0,7.5,2.51,1137
Milwaukee Brewers,20,29.9,4.25,90,72,0.556,3.85,162,162,150,12,10,6,45,1455.2,1415,689,623,175,528,32,1110,42,5,53,6209,109,4.34,1.335,8.7,1.1,3.3,6.9,2.1,1153
New York Mets,24,29.0,4.41,89,73,0.549,4.07,162,162,157,5,12,2,43,1464.1,1415,715,662,163,590,53,1181,70,4,55,6338,104,4.32,1.369,8.7,1.0,3.6,7.3,2.0,1230
Philadelphia Phillies,18,30.6,4.2,92,70,0.568,3.88,162,162,158,4,11,3,47,1449.2,1444,680,625,160,533,64,1081,57,3,34,6229,112,4.3,1.364,9.0,1.0,3.3,6.7,2.03,1200
Pittsburgh Pirates,26,26.5,5.46,67,95,0.414,5.08,162,162,159,3,7,2,34,1455.0,1631,884,822,176,657,31,963,49,9,64,6528,82,4.84,1.573,10.1,1.1,4.1,6.0,1.47,1279
San Diego Padres,32,30.2,4.72,63,99,0.389,4.41,162,162,159,3,6,0,30,1458.1,1466,764,714,165,561,61,1100,38,4,43,6286,87,4.33,1.39,9.0,1.0,3.5,6.8,1.96,1147
San Francisco Giants,20,27.1,4.69,72,90,0.444,4.38,162,162,158,4,12,2,41,1442.0,1416,759,701,147,652,59,1240,70,7,77,6341,101,4.24,1.434,8.8,0.9,4.1,7.7,1.9,1256
St. Louis Cardinals,24,30.2,4.48,86,76,0.531,4.19,162,162,160,2,7,1,42,1454.0,1517,725,677,163,496,21,957,51,2,50,6264,101,4.4,1.384,9.4,1.0,3.1,5.9,1.93,1177
Washington Nationals,25,27.3,5.12,59,102,0.366,4.66,161,161,159,2,8,0,28,1434.0,1496,825,742,190,588,44,1063,51,8,59,6310,93,4.71,1.453,9.4,1.2,3.7,6.7,1.81,1183
League Average,23,28.9,4.63,79,82,0.491,4.29,162,162,158,4,9,2,38,1446.0,1457,748,689,164,554,50,1122,55,6,52,6267,101,4.32,1.391,9.1,1.0,3.4,7.0,2.03,1181
,362,28.9,4.63,1271,1317,0.491,4.29,2588,2588,2527,61,143,30,608,23135.1,23315,11976,11023,2632,8867,797,17959,879,88,825,100275,101,4.32,1.391,9.1,1.0,3.4,7.0,2.03,18893
