Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
Arizona Diamondbacks,22,30.9,4.18,92,70,0.568,3.87,162,162,150,12,13,5,34,1459.2,1352,677,627,195,461,30,1297,59,6,45,6090,121,4.08,1.242,8.3,1.2,2.8,8.0,2.81,1034
Atlanta Braves,23,31.1,3.97,88,74,0.543,3.59,162,162,157,5,13,5,41,1447.1,1363,643,578,153,499,77,1133,33,8,41,6089,124,3.96,1.287,8.5,1.0,3.1,7.0,2.27,1104
Chicago Cubs,20,29.8,4.33,88,74,0.543,4.03,162,162,154,8,6,2,41,1437.0,1357,701,643,164,550,43,1344,50,5,48,6159,103,3.91,1.327,8.5,1.0,3.4,8.4,2.44,1147
Cincinnati Reds,25,27.4,5.25,66,96,0.407,4.77,162,162,160,2,2,1,35,1442.2,1572,850,765,198,515,46,943,48,4,53,6324,96,4.7,1.447,9.8,1.2,3.2,5.9,1.83,1146
Colorado Rockies,26,28.7,5.59,73,89,0.451,5.29,162,162,154,8,8,4,26,1430.0,1522,906,841,239,598,71,1058,64,1,38,6306,101,5.13,1.483,9.6,1.5,3.8,6.7,1.77,1110
Florida Marlins,23,26.5,4.59,76,86,0.469,4.32,162,162,157,5,11,3,32,1438.0,1397,744,691,151,617,53,1119,70,3,40,6227,98,4.29,1.401,8.7,0.9,3.9,7.0,1.81,1169
Houston Astros,25,28.4,4.75,93,69,0.574,4.37,162,162,155,7,6,1,48,1454.2,1453,769,707,221,486,22,1228,70,3,42,6236,106,4.48,1.333,9.0,1.4,3.0,7.6,2.53,1103
Los Angeles Dodgers,21,30.5,4.59,86,76,0.531,4.25,162,162,159,3,5,1,46,1450.2,1387,744,685,184,524,37,1212,72,11,44,6201,94,4.26,1.317,8.6,1.1,3.3,7.5,2.31,1105
Milwaukee Brewers,24,27.3,4.98,68,94,0.42,4.64,162,162,159,3,8,2,28,1436.1,1452,806,740,197,667,107,1057,72,3,58,6338,92,4.9,1.475,9.1,1.2,4.2,6.6,1.58,1223
Montreal Expos,23,27.4,5.01,68,94,0.42,4.68,162,162,157,5,11,3,28,1431.1,1509,812,745,190,525,40,1103,61,4,55,6250,95,4.46,1.421,9.5,1.2,3.3,6.9,2.1,1144
New York Mets,22,31.1,4.4,82,80,0.506,4.07,162,162,156,6,14,3,48,1445.2,1418,713,654,186,438,60,1191,43,7,53,6107,102,4.07,1.284,8.8,1.2,2.7,7.4,2.72,1057
Philadelphia Phillies,22,28.9,4.44,86,76,0.531,4.15,162,162,154,8,7,3,47,1445.1,1417,719,667,170,527,60,1086,70,6,40,6198,102,4.31,1.345,8.8,1.1,3.3,6.8,2.06,1143
Pittsburgh Pirates,22,28.1,5.3,62,100,0.383,5.05,162,162,154,8,9,2,36,1416.1,1493,858,794,167,549,74,908,80,4,49,6222,90,4.63,1.442,9.5,1.1,3.5,5.8,1.65,1115
San Diego Padres,25,28.7,5.01,79,83,0.488,4.52,162,162,157,5,6,1,46,1440.2,1519,812,724,219,476,54,1088,56,5,46,6278,88,4.62,1.385,9.5,1.4,3.0,6.8,2.29,1144
San Francisco Giants,18,29.2,4.62,90,72,0.556,4.18,162,162,159,3,8,1,47,1463.1,1437,748,680,145,579,49,1080,33,3,50,6294,95,4.12,1.378,8.8,0.9,3.6,6.6,1.87,1156
St. Louis Cardinals,22,29.3,4.22,93,69,0.574,3.93,162,162,154,8,11,4,38,1435.1,1389,684,627,196,526,36,1083,72,6,45,6121,110,4.57,1.334,8.7,1.2,3.3,6.8,2.06,1131
League Average,21,28.9,4.7,81,81,0.498,4.36,162,162,156,6,9,3,39,1442.0,1440,762,698,186,534,54,1121,60,5,47,6215,101,4.4,1.368,9.0,1.2,3.3,7.0,2.1,1127
,338,28.9,4.7,1290,1302,0.498,4.36,2592,2592,2496,96,138,41,621,23074.1,23037,12186,11168,2975,8537,859,17930,953,79,747,99440,101,4.4,1.368,9.0,1.2,3.3,7.0,2.1,18031
