Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
Arizona Diamondbacks,25,29.3,5.55,51,111,0.315,4.98,162,162,157,5,6,2,33,1436.0,1480,899,794,197,668,79,1153,75,8,71,6418,92,4.78,1.496,9.3,1.2,4.2,7.2,1.73,1211
Atlanta Braves,21,30.1,4.12,96,66,0.593,3.74,162,162,158,4,13,1,48,1450.0,1475,668,603,154,523,50,1025,27,6,36,6218,115,4.15,1.378,9.2,1.0,3.2,6.4,1.96,1200
Chicago Cubs,19,29.1,4.1,89,73,0.549,3.81,162,162,159,3,6,2,42,1465.1,1363,665,621,169,545,33,1346,76,9,50,6262,116,3.98,1.302,8.4,1.0,3.3,8.3,2.47,1201
Cincinnati Reds,22,28.5,5.6,76,86,0.469,5.19,162,162,157,5,8,2,47,1443.2,1595,907,832,236,572,55,992,54,3,74,6451,82,5.1,1.501,9.9,1.5,3.6,6.2,1.73,1213
Colorado Rockies,25,28.8,5.7,68,94,0.42,5.54,162,162,159,3,2,0,36,1435.1,1634,923,883,198,697,84,947,71,6,66,6535,89,5.13,1.624,10.2,1.2,4.4,5.9,1.36,1306
Florida Marlins,25,27.8,4.32,83,79,0.512,4.1,162,162,156,6,14,3,53,1439.0,1395,700,655,166,513,61,1116,51,3,35,6110,101,4.17,1.326,8.7,1.0,3.2,7.0,2.18,1093
Houston Astros,23,29.6,4.31,92,70,0.568,4.05,162,162,160,2,13,2,47,1443.0,1416,698,650,174,525,61,1282,68,3,45,6201,107,4.07,1.345,8.8,1.1,3.3,8.0,2.44,1174
Los Angeles Dodgers,22,29.5,4.22,93,69,0.574,4.01,162,162,160,2,6,2,51,1453.1,1386,684,647,178,521,47,1066,54,2,43,6155,103,4.36,1.312,8.6,1.1,3.2,6.6,2.05,1111
Milwaukee Brewers,22,27.2,4.7,67,94,0.416,4.24,161,161,155,6,10,1,42,1442.0,1440,757,679,164,476,27,1098,51,5,59,6204,103,4.1,1.329,9.0,1.0,3.0,6.9,2.31,1121
Montreal Expos,22,26.5,4.75,67,95,0.414,4.33,162,162,151,11,11,4,31,1447.0,1477,769,696,191,582,78,1032,79,2,43,6307,105,4.71,1.423,9.2,1.2,3.6,6.4,1.77,1197
New York Mets,26,32.5,4.51,71,91,0.438,4.09,162,162,160,2,6,2,31,1449.0,1452,731,658,156,592,70,977,49,8,30,6333,105,4.43,1.411,9.0,1.0,3.7,6.1,1.65,1255
Philadelphia Phillies,21,29.8,4.82,86,76,0.531,4.45,162,162,158,4,5,4,43,1462.2,1488,781,724,214,502,60,1070,66,3,40,6308,101,4.65,1.361,9.2,1.3,3.1,6.6,2.13,1139
Pittsburgh Pirates,22,27.7,4.62,72,89,0.447,4.29,161,161,158,3,8,2,46,1428.0,1451,744,680,149,576,64,1079,63,3,45,6197,100,4.24,1.419,9.1,0.9,3.6,6.8,1.87,1169
San Diego Padres,24,30.0,4.35,87,75,0.537,4.03,162,162,159,3,8,2,44,1441.0,1460,705,645,184,422,39,1079,48,2,27,6135,97,4.19,1.306,9.1,1.1,2.6,6.7,2.56,1107
San Francisco Giants,22,30.1,4.75,91,71,0.562,4.29,162,162,154,8,8,5,46,1457.0,1481,770,695,161,548,35,1020,47,2,52,6321,101,4.31,1.393,9.1,1.0,3.4,6.3,1.86,1180
St. Louis Cardinals,20,30.1,4.07,105,57,0.648,3.75,162,162,158,4,12,2,57,1453.2,1378,659,605,169,440,24,1041,67,4,42,6104,113,4.17,1.251,8.5,1.0,2.7,6.4,2.37,1084
League Average,21,29.2,4.66,81,81,0.5,4.3,162,162,157,4,8,2,44,1447.0,1461,754,692,179,544,54,1083,59,4,47,6266,101,4.41,1.386,9.1,1.1,3.4,6.7,1.99,1173
,343,29.2,4.66,1294,1296,0.5,4.3,2590,2590,2519,71,136,36,697,23146.0,23371,12060,11067,2860,8702,867,17323,946,69,758,100259,101,4.41,1.386,9.1,1.1,3.4,6.7,1.99,18761
