0,1,2
1.0,Brett Gardner,LF
2.0,Aaron Hicks,CF
3.0,Aaron Judge,RF
4.0,Didi Gregorius,SS
5.0,Gary Sanchez,C
6.0,Chase Headley,1B
7.0,Todd Frazier,3B
8.0,Tyler Austin,DH
9.0,Ronald Torreyes,2B
,Sonny Gray,P
