Unnamed: 0,Unnamed: 1,1,2,3,4,5,6,7,8,9,10,R,H,E
via Sports Logos.net About logos,Kansas City Royals,0,0,0,4,0,4,0,0,0,0,8,14,1
via Sports Logos.net About logos,Boston Red Sox,0,1,1,2,2,0,1,1,0,1,9,13,3
WP: Matt Barnes (6-2) • LP: Mike Minor (5-3),WP: Matt Barnes (6-2) • LP: Mike Minor (5-3),WP: Matt Barnes (6-2) • LP: Mike Minor (5-3),WP: Matt Barnes (6-2) • LP: Mike Minor (5-3),WP: Matt Barnes (6-2) • LP: Mike Minor (5-3),WP: Matt Barnes (6-2) • LP: Mike Minor (5-3),WP: Matt Barnes (6-2) • LP: Mike Minor (5-3),WP: Matt Barnes (6-2) • LP: Mike Minor (5-3),WP: Matt Barnes (6-2) • LP: Mike Minor (5-3),WP: Matt Barnes (6-2) • LP: Mike Minor (5-3),WP: Matt Barnes (6-2) • LP: Mike Minor (5-3),WP: Matt Barnes (6-2) • LP: Mike Minor (5-3),WP: Matt Barnes (6-2) • LP: Mike Minor (5-3),WP: Matt Barnes (6-2) • LP: Mike Minor (5-3),WP: Matt Barnes (6-2) • LP: Mike Minor (5-3)
Winning Run scored with 2 outs,Winning Run scored with 2 outs,Winning Run scored with 2 outs,Winning Run scored with 2 outs,Winning Run scored with 2 outs,Winning Run scored with 2 outs,Winning Run scored with 2 outs,Winning Run scored with 2 outs,Winning Run scored with 2 outs,Winning Run scored with 2 outs,Winning Run scored with 2 outs,Winning Run scored with 2 outs,Winning Run scored with 2 outs,Winning Run scored with 2 outs,Winning Run scored with 2 outs
