Pitching,IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24
"Marco Gonzales, L (5-2)",4.0,4,4,2,3,3,1,3.18,19,95,61,37,8,16,5,8,2,0,42.0,,,-0.207,0.72,-0.11%,0.66,-1.7
Parker Markel,1.0,3,2,2,1,0,0,18.0,6,24,14,7,3,4,2,3,3,0,,0.0,0.0,-0.104,0.61,-0.06%,0.56,-1.4
Anthony Swarzak,1.0,0,0,0,0,2,0,5.68,3,12,9,5,3,1,0,1,0,0,,0.0,0.0,0.013,0.17,0.01%,0.15,0.6
Dan Altavilla,0.1,1,3,3,4,0,0,40.5,6,31,13,7,1,5,2,0,0,0,,0.0,0.0,-0.031,0.13,-0.02%,0.12,-3.4
Mike Wright Jr.,1.2,4,2,2,0,2,1,8.44,8,27,17,12,3,2,4,2,1,0,,2.0,0.0,0.001,0.01,0.00%,0.01,-0.4
Team Totals,8.0,12,11,9,8,7,2,10.12,42,189,114,68,18,28,13,14,6,0,42.0,2.0,0.0,-0.328,0.45,-0.18%,0.42,-6.3
