Pitching,IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24
Jacob Waguespack,4.2,6,4,4,3,2,1,5.93,21,80,45,23,8,14,8,8,4,0,35.0,,,-0.229,0.99,0.00%,0.0,-1.6
"Justin Shafer, W (1-1)",1.0,1,0,0,1,1,0,2.13,5,18,11,7,1,3,1,2,0,0,,2.0,0.0,0.071,2.29,0.00%,0.0,0.6
"Tim Mayza, H (12)",0.2,1,0,0,0,1,0,4.46,3,16,11,6,3,2,2,0,0,0,,2.0,0.0,0.053,2.31,0.00%,0.0,0.4
"David Phelps, H (3)",1.2,0,0,0,2,1,0,2.84,7,34,18,10,1,7,0,4,1,0,,1.0,0.0,0.22,2.03,0.00%,0.0,1.3
Daniel Hudson,1.0,1,0,0,1,1,0,2.79,5,18,11,7,1,3,1,2,1,0,,0.0,0.0,0.004,0.06,0.00%,0.0,0.6
Team Totals,9.0,9,4,4,7,6,1,4.0,41,166,96,53,14,29,12,16,6,0,35.0,5.0,0.0,0.119,1.31,0.00%,0.0,1.3
