Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
"Top of the 1st, Angels Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Angels Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Angels Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Angels Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Angels Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Angels Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Angels Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Angels Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Angels Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Angels Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Angels Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Angels Batting, Tied 0-0, Red Sox' David Price facing 1-2-3"
t1,0-0,0,---,"1,(0-0) X",O,LAA,Cameron Maybin,David Price,-2%,48%,Groundout: SS-1B
t1,0-0,1,---,"2,(1-0) BX",,LAA,Kole Calhoun,David Price,2%,50%,Single to LF (Ground Ball)
t1,0-0,1,1--,"3,(1-1) CBX",,LAA,Albert Pujols,David Price,3%,54%,Single to LF (Line Drive to LF-CF); Calhoun to 2B
t1,0-0,1,12-,"4,(1-2) SCBT",O,LAA,Andrelton Simmons,David Price,-4%,49%,Strikeout Swinging
t1,0-0,2,12-,"5,(2-2) *BFSBX",R,LAA,Martin Maldonado,David Price,9%,58%,Single to CF (Line Drive); Calhoun Scores; Pujols to 2B
t1,1-0,2,12-,"7,(3-2) BFSBFB>X",O,LAA,Danny Espinosa,David Price,-4%,55%,Lineout: CF (Deep CF)
,,,,,,,,,"1 run, 3 hits, 0 errors, 2 LOB. Angels 1, Red Sox 0.","1 run, 3 hits, 0 errors, 2 LOB. Angels 1, Red Sox 0.","1 run, 3 hits, 0 errors, 2 LOB. Angels 1, Red Sox 0."
"Bottom of the 1st, Red Sox Batting, Behind 0-1, Angels' JC Ramirez facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-1, Angels' JC Ramirez facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-1, Angels' JC Ramirez facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-1, Angels' JC Ramirez facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-1, Angels' JC Ramirez facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-1, Angels' JC Ramirez facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-1, Angels' JC Ramirez facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-1, Angels' JC Ramirez facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-1, Angels' JC Ramirez facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-1, Angels' JC Ramirez facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-1, Angels' JC Ramirez facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-1, Angels' JC Ramirez facing 1-2-3"
b1,0-1,0,---,"6,(3-2) CBBFBX",O,BOS,Mookie Betts,JC Ramirez,2%,57%,Lineout: CF (Deep CF)
b1,0-1,1,---,"5,(2-2) BCBSX",,BOS,Dustin Pedroia,JC Ramirez,-3%,54%,Single to CF (Ground Ball thru SS-2B)
b1,0-1,1,1--,"5,(2-2) BC1*B1SX",OO,BOS,Xander Bogaerts,JC Ramirez,5%,60%,Ground Ball Double Play: 2B-1B
,,,,,,,,,"0 runs, 1 hit, 0 errors, 0 LOB. Angels 1, Red Sox 0.","0 runs, 1 hit, 0 errors, 0 LOB. Angels 1, Red Sox 0.","0 runs, 1 hit, 0 errors, 0 LOB. Angels 1, Red Sox 0."
"Top of the 2nd, Angels Batting, Ahead 1-0, Red Sox' David Price facing 7-8-9","Top of the 2nd, Angels Batting, Ahead 1-0, Red Sox' David Price facing 7-8-9","Top of the 2nd, Angels Batting, Ahead 1-0, Red Sox' David Price facing 7-8-9","Top of the 2nd, Angels Batting, Ahead 1-0, Red Sox' David Price facing 7-8-9","Top of the 2nd, Angels Batting, Ahead 1-0, Red Sox' David Price facing 7-8-9","Top of the 2nd, Angels Batting, Ahead 1-0, Red Sox' David Price facing 7-8-9","Top of the 2nd, Angels Batting, Ahead 1-0, Red Sox' David Price facing 7-8-9","Top of the 2nd, Angels Batting, Ahead 1-0, Red Sox' David Price facing 7-8-9","Top of the 2nd, Angels Batting, Ahead 1-0, Red Sox' David Price facing 7-8-9","Top of the 2nd, Angels Batting, Ahead 1-0, Red Sox' David Price facing 7-8-9","Top of the 2nd, Angels Batting, Ahead 1-0, Red Sox' David Price facing 7-8-9","Top of the 2nd, Angels Batting, Ahead 1-0, Red Sox' David Price facing 7-8-9"
t2,1-0,0,---,"3,(1-1) FBX",O,LAA,Luis Valbuena,David Price,-2%,58%,Groundout: 2B-1B (Deep 2B-1B)
t2,1-0,1,---,"2,(0-1) FX",O,LAA,Eric Young Jr.,David Price,-2%,56%,Flyball: RF (Short RF Line)
t2,1-0,2,---,"3,(0-2) CST",O,LAA,Cliff Pennington,David Price,-1%,55%,Strikeout Swinging
,,,,,,,,,"0 runs, 0 hits, 0 errors, 0 LOB. Angels 1, Red Sox 0.","0 runs, 0 hits, 0 errors, 0 LOB. Angels 1, Red Sox 0.","0 runs, 0 hits, 0 errors, 0 LOB. Angels 1, Red Sox 0."
"Bottom of the 2nd, Red Sox Batting, Behind 0-1, Angels' JC Ramirez facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Behind 0-1, Angels' JC Ramirez facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Behind 0-1, Angels' JC Ramirez facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Behind 0-1, Angels' JC Ramirez facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Behind 0-1, Angels' JC Ramirez facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Behind 0-1, Angels' JC Ramirez facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Behind 0-1, Angels' JC Ramirez facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Behind 0-1, Angels' JC Ramirez facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Behind 0-1, Angels' JC Ramirez facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Behind 0-1, Angels' JC Ramirez facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Behind 0-1, Angels' JC Ramirez facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Behind 0-1, Angels' JC Ramirez facing 4-5-6"
b2,0-1,0,---,"3,(1-1) BCX",R,BOS,Mitch Moreland,JC Ramirez,-10%,45%,Home Run (Fly Ball to Deep LF-CF)
b2,1-1,0,---,"5,(3-1) CBBBX",,BOS,Andrew Benintendi,JC Ramirez,-6%,39%,Single to RF (Line Drive to Deep RF Line); Benintendi to 2B/Adv on E9
b2,1-1,0,-2-,"7,(3-2) BFF*BFBS",O,BOS,Hanley Ramirez,JC Ramirez,4%,43%,Strikeout Swinging
b2,1-1,1,-2-,"3,(0-2) CSH",,BOS,Jackie Bradley Jr.,JC Ramirez,-2%,41%,Hit By Pitch
b2,1-1,1,12-,"2,(0-1) C>X",O,BOS,Christian Vazquez,JC Ramirez,3%,44%,Groundout: SS-1B; Benintendi to 3B; Bradley to 2B
b2,1-1,2,-23,"3,(1-1) BSX",O,BOS,Deven Marrero,JC Ramirez,6%,50%,Groundout: 2B-1B
,,,,,,,,,"1 run, 2 hits, 1 error, 2 LOB. Angels 1, Red Sox 1.","1 run, 2 hits, 1 error, 2 LOB. Angels 1, Red Sox 1.","1 run, 2 hits, 1 error, 2 LOB. Angels 1, Red Sox 1."
