Tm,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary
Baltimore Orioles,,6160,-33,-2,-8,-12,-4,-59,-6.7,227,168,15.4,0.496,0.5,18.0,-2.4,180,"$77,149,000"
Boston Red Sox,,6166,-40,1,3,51,-5,10,0.6,229,239,22.9,0.501,0.502,18.9,4.1,189,"$89,136,000"
Chicago White Sox,,6111,-11,3,-2,8,-7,-9,-1.4,227,218,20.7,0.499,0.5,21.3,-0.7,210,"$118,208,000"
Cleveland Indians,,6195,4,-5,0,-34,-5,-41,-4.8,229,189,17.6,0.497,0.5,22.6,-4.9,223,"$70,672,800"
Detroit Tigers,,6119,12,-11,-8,-30,-7,-44,-5.4,227,183,16.7,0.497,0.501,21.3,-4.7,213,"$118,394,000"
Kansas City Royals,,6149,-61,8,1,9,-4,-48,-5.5,228,181,17.0,0.497,0.499,17.3,-0.2,172,"$55,245,075"
Los Angeles Angels of Anaheim,,6121,108,21,-7,48,-5,166,16.7,226,392,38.8,0.51,0.509,35.1,3.7,344,"$140,112,000"
Minnesota Twins,,6209,-9,4,-3,35,-4,23,2.0,230,253,24.4,0.501,0.503,22.0,2.6,217,"$92,566,000"
New York Yankees,,6231,89,-2,0,-5,-7,75,7.4,229,304,29.7,0.504,0.505,31.7,-2.1,309,"$192,967,425"
Oakland Athletics,,6183,-7,12,4,17,-5,22,1.8,230,252,24.2,0.501,0.502,23.8,0.5,235,"$56,630,000"
Seattle Mariners,,6057,-71,-5,3,21,-3,-55,-6.3,225,170,15.7,0.496,0.499,14.8,1.1,149,"$77,752,000"
Tampa Bay Rays,,6105,-7,-1,-8,18,-3,-1,-0.7,228,226,21.5,0.5,0.502,20.9,0.7,208,"$62,888,000"
Texas Rangers,,6216,37,-10,-1,-2,-5,20,1.5,228,248,23.8,0.501,0.502,25.4,-1.5,250,"$123,638,900"
Toronto Blue Jays,,6094,-48,2,2,52,-6,3,-0.2,227,230,22.0,0.5,0.502,17.9,4.2,178,"$74,784,200"
,0.0,86116,-38,17,-25,176,-70,61,-0.9,3192,3252,310.2,0.5,0.502,311.0,0.3,3076,"$1,350,143,400"
