Tm,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary
Arizona Diamondbacks,,6315,-55,19,1,50,61,76,4.6,193,268,23.4,0.503,0.503,20.3,3.7,218,"$119,116,666"
Atlanta Braves,,6302,-16,5,3,5,59,55,2.6,189,245,21.1,0.502,0.504,22.5,-1.1,240,"$131,711,667"
Chicago Cubs,,6195,6,1,-2,43,62,111,8.2,189,300,26.6,0.505,0.505,24.2,2.9,257,"$207,130,215"
Cincinnati Reds,,6100,-125,-19,-3,18,59,-71,-10.0,187,117,8.3,0.497,0.499,8.3,0.0,98,"$109,737,499"
Colorado Rockies,,6288,-102,6,1,34,59,-2,-3.1,191,189,15.5,0.5,0.502,13.9,2.1,155,"$145,148,500"
Los Angeles Dodgers,,6282,78,5,1,52,60,198,16.8,192,390,35.6,0.508,0.507,32.2,3.3,338,"$166,203,333"
Miami Marlins,,6045,-171,-17,-2,-16,51,-155,-18.4,187,32,-0.1,0.493,0.497,3.3,-3.3,48,"$69,583,643"
Milwaukee Brewers,,6309,-32,3,-5,9,53,28,-0.3,195,223,18.9,0.501,0.501,19.8,-0.6,214,"$120,934,500"
New York Mets,,6290,48,-13,0,-26,59,68,3.8,192,260,22.8,0.503,0.504,27.2,-4.5,286,"$115,979,730"
Philadelphia Phillies,,6261,-77,9,5,51,58,46,1.8,191,237,20.5,0.502,0.502,17.3,3.8,186,"$141,686,962"
Pittsburgh Pirates,,6228,-41,-4,2,-49,53,-40,-6.8,192,152,12.0,0.498,0.5,18.6,-6.4,201,"$68,906,001"
San Diego Padres,,6019,-76,-6,-2,-23,51,-55,-8.3,186,130,9.8,0.498,0.498,13.8,-4.0,153,"$74,081,300"
San Francisco Giants,,6170,-125,-8,0,1,51,-81,-11.0,191,110,7.8,0.497,0.499,9.5,-1.7,109,"$175,450,753"
St. Louis Cardinals,,6167,-29,11,1,58,56,98,7.1,190,288,25.7,0.504,0.504,21.6,4.3,230,"$152,815,167"
Washington Nationals,,6267,27,7,-3,30,64,126,9.6,188,313,28.0,0.505,0.506,26.7,1.7,283,"$196,602,295"
,0.0,93238,-691,0,-1,237,856,402,-3.5,2853,3254,275.7,0.501,0.502,279.2,0.2,3018,"$1,995,088,231"
