Tm,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary
Baltimore Orioles,,6134,15,-4,-7,27,-8,23,2.2,226,249,23.9,0.501,0.503,21.4,2.3,222,"$73,275,833"
Boston Red Sox,,6403,107,1,2,-22,-6,82,8.2,233,315,30.6,0.505,0.505,33.0,-2.5,337,"$123,505,125"
Chicago White Sox,,6146,-50,-5,-1,42,-5,-19,-1.9,228,209,20.0,0.499,0.501,16.1,4.0,167,"$74,860,000"
Cleveland Indians,,6255,94,0,0,51,-4,141,14.1,231,372,36.2,0.509,0.509,31.3,5.1,321,"$41,186,000"
Detroit Tigers,,6136,-4,4,-4,27,-5,17,1.8,228,245,23.7,0.501,0.502,21.1,2.6,218,"$65,752,500"
Kansas City Royals,,6086,-75,7,-2,-116,-7,-192,-19.2,227,36,2.6,0.489,0.494,14.4,-12.0,152,"$33,921,000"
Los Angeles Angels of Anaheim,,6186,-30,6,1,43,-5,16,1.6,228,244,23.5,0.501,0.501,19.4,4.2,201,"$84,400,322"
Minnesota Twins,,6192,-104,-9,-4,32,-3,-88,-8.9,230,142,13.2,0.495,0.498,10.2,3.2,110,"$55,540,000"
New York Yankees,,6406,146,3,7,-109,-7,40,3.7,234,273,26.2,0.502,0.505,37.3,-11.2,382,"$208,306,817"
Oakland Athletics,,6275,-19,8,2,39,-6,23,2.3,230,253,24.4,0.501,0.502,20.7,3.7,214,"$54,025,762"
Seattle Mariners,,6095,-61,1,5,-4,-4,-63,-6.4,225,163,15.3,0.496,0.5,16.0,-0.4,167,"$86,213,334"
Tampa Bay Devil Rays,,6120,-2,15,0,-5,-6,2,0.3,227,229,22.1,0.5,0.501,22.8,-0.7,234,"$28,666,567"
Texas Rangers,,6301,35,14,1,-45,-5,0,-0.1,230,229,22.0,0.5,0.502,26.7,-4.6,274,"$54,877,500"
Toronto Blue Jays,,6233,-46,0,4,62,-8,13,1.4,232,245,23.7,0.501,0.501,17.7,5.9,183,"$45,719,500"
,0.0,86968,6,41,6,22,-78,-5,-1.0,3209,3205,307.2,0.5,0.502,308.1,-0.3,3182,"$1,030,250,260"
