Tm,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary
Arizona Diamondbacks,,6327,-59,1,-1,-13,56,-17,-2.9,185,169,15.1,0.499,0.501,16.7,-1.5,182,"$62,011,166"
Atlanta Braves,,6186,-11,7,-3,58,61,112,10.3,180,292,27.8,0.505,0.505,22.1,6.0,235,"$86,457,302"
Chicago Cubs,,6161,-41,-6,1,3,60,17,0.3,180,197,17.7,0.501,0.501,17.7,0.4,194,"$87,032,933"
Cincinnati Reds,,6321,31,3,1,-45,57,47,3.5,185,233,21.6,0.502,0.503,26.5,-4.7,278,"$61,552,583"
Colorado Rockies,,6238,-99,5,-1,-16,59,-52,-6.6,182,130,11.2,0.498,0.5,13.0,-1.7,146,"$47,839,000"
Florida Marlins,,6214,0,1,-4,-70,59,-14,-2.8,181,168,14.9,0.499,0.499,22.4,-7.4,237,"$60,058,834"
Houston Astros,,6139,-80,-9,4,48,53,16,0.4,180,197,18.0,0.501,0.502,13.2,4.5,148,"$76,779,000"
Los Angeles Dodgers,,6134,-71,-13,-4,4,51,-33,-4.7,180,147,12.8,0.498,0.499,12.6,-0.1,143,"$69,639,000"
Milwaukee Brewers,,6156,-31,-8,-9,-9,58,2,-1.1,179,181,16.4,0.5,0.501,17.6,-1.0,190,"$39,934,833"
New York Mets,,6146,-37,18,2,-25,58,17,0.4,178,195,17.8,0.501,0.502,20.6,-2.7,220,"$100,669,321"
Philadelphia Phillies,,6345,-26,1,8,88,58,129,12.0,184,313,29.9,0.506,0.505,21.1,9.0,224,"$95,522,000"
Pittsburgh Pirates,,6221,-63,-15,3,13,56,-7,-1.9,182,176,15.9,0.5,0.501,14.8,1.4,163,"$37,496,000"
San Diego Padres,,6271,-8,-7,-2,-39,53,-4,-1.6,184,181,16.3,0.5,0.501,20.7,-4.4,220,"$62,623,833"
San Francisco Giants,,6077,-111,-9,-2,-27,54,-96,-11.2,179,82,6.3,0.496,0.498,9.3,-3.1,110,"$90,199,500"
St. Louis Cardinals,,6246,-6,11,5,61,58,129,11.9,181,310,29.5,0.506,0.506,23.4,6.0,250,"$91,346,833"
Washington Nationals,,6142,-90,-20,-2,-3,60,-56,-7.1,179,123,10.4,0.497,0.499,11.1,-0.4,126,"$47,937,000"
,0.0,99324,-701,-40,-6,28,911,191,-1.1,2901,3094,281.5,0.5,0.501,282.7,0.3,3064,"$1,117,099,138"
