Tm,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary
Anaheim Angels,,6327,42,3,9,98,-8,144,14.6,234,378,36.6,0.508,0.508,27.1,9.3,280,"$61,521,667"
Baltimore Orioles,,6096,-69,-1,-1,43,-5,-34,-3.0,227,194,18.4,0.498,0.5,14.5,4.1,151,"$47,704,697"
Boston Red Sox,,6332,50,8,-2,62,-5,113,11.3,234,347,33.3,0.506,0.506,27.5,6.0,285,"$107,311,060"
Chicago White Sox,,6208,53,-3,-3,13,-4,55,5.7,231,287,27.5,0.503,0.503,26.6,1.1,274,"$57,052,833"
Cleveland Indians,,6099,-18,-6,0,-49,-6,-78,-7.7,227,149,13.7,0.495,0.5,18.8,-5.1,198,"$76,903,949"
Detroit Tigers,,5920,-110,-6,-4,-41,-4,-164,-16.0,221,57,4.8,0.49,0.495,9.1,-4.2,98,"$54,830,500"
Kansas City Royals,,6206,-133,5,3,-21,-5,-149,-14.7,231,82,7.1,0.491,0.496,9.4,-2.2,102,"$47,257,000"
Minnesota Twins,,6196,20,-12,5,21,-6,28,3.1,231,259,24.8,0.502,0.503,22.9,1.8,238,"$40,200,000"
New York Yankees,,6377,116,10,-3,-56,-6,60,6.0,231,291,27.8,0.503,0.506,33.5,-5.8,347,"$125,498,583"
Oakland Athletics,,6291,45,6,-1,-6,-10,34,3.6,233,267,25.6,0.502,0.502,26.5,-1.3,273,"$39,781,167"
Seattle Mariners,,6362,63,0,7,5,-8,68,7.0,235,303,29.1,0.504,0.503,28.9,0.1,298,"$80,282,668"
Tampa Bay Devil Rays,,6198,-87,6,4,-8,-2,-87,-8.4,230,143,13.3,0.494,0.498,14.4,-0.7,151,"$33,878,000"
Texas Rangers,,6332,30,9,-7,-22,-8,2,0.3,236,238,22.5,0.5,0.503,25.1,-2.6,260,"$103,359,455"
Toronto Blue Jays,,6230,-32,13,1,-7,-3,-28,-2.5,230,203,19.2,0.498,0.501,20.2,-0.7,210,"$73,064,333"
,0.0,87174,-30,34,8,33,-79,-36,-0.8,3231,3196,303.7,0.5,0.502,304.3,-0.2,3163,"$948,645,912"
