Tm,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary
Arizona Diamondbacks,,6114,-207,-2,-5,-6,56,-164,-18.0,180,16,-0.5,0.493,0.496,0.6,-0.9,22,"$69,450,750"
Atlanta Braves,,6339,-5,0,3,43,60,101,8.7,185,286,26.8,0.504,0.504,22.9,4.1,243,"$90,182,500"
Chicago Cubs,,6281,-5,-9,-2,-16,66,34,2.0,183,217,19.8,0.501,0.502,21.9,-1.8,233,"$90,560,000"
Cincinnati Reds,,6278,-35,-2,-6,7,57,20,0.6,185,205,18.7,0.501,0.503,18.4,0.5,198,"$46,315,250"
Colorado Rockies,,6333,-43,5,-2,-25,58,-8,-2.4,185,177,15.7,0.5,0.501,18.7,-3.0,202,"$56,445,167"
Florida Marlins,,6160,-35,-7,-4,12,60,26,1.2,179,205,18.6,0.501,0.503,17.9,1.0,193,"$41,838,042"
Houston Astros,,6269,-3,5,-6,31,59,87,7.2,183,270,25.1,0.504,0.503,22.4,2.8,239,"$75,397,000"
Los Angeles Dodgers,,6244,1,-3,3,55,59,116,10.2,182,298,28.0,0.505,0.505,22.9,5.1,243,"$81,684,334"
Milwaukee Brewers,,6195,-139,2,-3,-19,62,-97,-11.2,180,83,6.4,0.496,0.497,8.8,-2.1,102,"$27,528,500"
Montreal Expos,,6138,-186,0,1,44,57,-83,-9.8,180,98,7.7,0.496,0.5,3.7,3.9,53,"$40,587,500"
New York Mets,,6209,-100,2,-4,-37,52,-87,-10.2,183,96,7.6,0.496,0.498,11.9,-4.3,133,"$78,844,303"
Philadelphia Phillies,,6456,-8,5,4,16,60,77,6.3,187,264,24.5,0.503,0.504,23.3,1.5,248,"$92,619,167"
Pittsburgh Pirates,,6115,-107,-7,7,-22,56,-73,-8.9,179,105,8.5,0.497,0.499,11.1,-2.8,127,"$32,227,929"
San Diego Padres,,6313,45,1,5,-9,58,99,8.5,183,282,26.4,0.504,0.505,27.8,-1.4,291,"$55,384,833"
San Francisco Giants,,6466,30,-13,-3,-47,63,31,1.1,189,220,19.3,0.501,0.502,24.5,-5.1,266,"$72,569,166"
St. Louis Cardinals,,6297,57,4,0,31,59,152,13.5,184,335,31.4,0.506,0.507,28.7,2.4,304,"$83,840,333"
,0.0,100207,-739,-19,-12,58,941,229,-1.3,2926,3157,283.9,0.501,0.502,285.3,0.0,3097,"$1,035,474,774"
