Tm,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary
Baltimore Orioles,,6089,5,-2,-3,5,-5,0,1.2,215,216,22.1,0.5,0.502,21.5,0.5,210,"$152,714,833"
Boston Red Sox,,6320,96,9,3,52,-3,158,17.5,220,378,38.9,0.51,0.51,33.3,5.7,326,"$209,143,250"
Chicago White Sox,,6131,-6,-12,4,-6,-3,-23,-1.3,216,193,19.8,0.498,0.501,20.3,-0.4,199,"$113,416,000"
Cleveland Indians,,6155,-25,18,-4,16,-4,2,1.3,218,219,22.5,0.5,0.502,20.7,1.9,203,"$94,511,067"
Detroit Tigers,,6127,40,-8,-5,-47,-3,-23,-1.2,217,194,20.0,0.499,0.501,24.7,-4.5,241,"$199,902,000"
Houston Astros,,6204,33,5,-4,49,-6,77,8.9,218,295,30.1,0.504,0.507,24.8,5.1,245,"$87,498,000"
Kansas City Royals,,6052,-80,5,-3,29,-3,-52,-4.2,216,164,16.9,0.497,0.498,13.8,3.3,135,"$121,107,675"
Los Angeles Angels,,6041,8,-5,-3,19,-5,14,2.3,215,229,23.3,0.501,0.503,21.2,2.2,210,"$119,162,000"
Minnesota Twins,,6245,-24,4,6,-71,-2,-88,-7.9,221,134,13.7,0.494,0.498,20.8,-6.9,205,"$93,333,700"
New York Yankees,,6059,-73,7,3,-5,-6,-74,-6.6,216,143,14.5,0.495,0.498,14.8,-0.5,147,"$192,704,050"
Oakland Athletics,,6022,-59,-4,-7,-51,-6,-127,-12.0,215,88,9.0,0.492,0.497,14.1,-5.2,139,"$43,934,067"
Seattle Mariners,,6227,45,-5,-1,-18,-8,14,2.6,221,235,24.1,0.501,0.503,25.8,-2.0,253,"$133,957,100"
Tampa Bay Rays,,6046,-2,-6,5,-8,-4,-15,-0.3,215,200,20.6,0.499,0.501,21.2,-0.6,208,"$46,011,991"
Texas Rangers,,6089,-26,-3,3,-12,-8,-46,-3.7,217,171,17.5,0.497,0.5,18.6,-1.4,183,"$182,632,760"
Toronto Blue Jays,,6233,13,-1,-13,22,-2,19,3.0,219,238,24.3,0.501,0.503,21.9,2.6,216,"$182,175,767"
,0.0,92040,-54,3,-19,-26,-67,-165,-0.5,3259,3096,317.2,0.499,0.502,317.5,-0.3,3121,"$1,972,204,260"
