Tm,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary
Arizona Diamondbacks,,6318,-47,-8,3,-4,60,3,-1.0,184,187,17.2,0.5,0.501,18.0,-0.7,191,"$102,819,999"
Atlanta Braves,,6224,-62,-5,-5,77,55,59,4.7,182,241,22.6,0.503,0.503,15.1,7.8,165,"$90,960,367"
Chicago Cubs,,6242,-50,4,-1,-55,59,-42,-5.8,182,140,12.2,0.498,0.5,18.3,-6.0,195,"$75,487,333"
Cincinnati Reds,,6254,-86,-2,0,1,52,-36,-5.0,184,149,13.2,0.498,0.5,13.5,-0.2,148,"$44,269,890"
Colorado Rockies,,6165,-103,11,-3,34,52,-10,-2.6,182,172,15.3,0.499,0.5,12.1,3.3,138,"$55,201,043"
Florida Marlins,,6263,-36,4,4,-13,53,13,0.0,183,196,18.1,0.501,0.501,19.8,-1.5,209,"$41,777,917"
Houston Astros,,6252,-55,-5,-5,-44,58,-51,-6.8,181,129,11.0,0.498,0.499,16.0,-4.9,173,"$62,698,417"
Los Angeles Dodgers,,6146,-12,-2,-1,44,57,87,7.8,180,267,25.5,0.504,0.503,21.2,4.4,223,"$85,228,453"
Milwaukee Brewers,,6083,-96,-19,-3,-14,53,-79,-9.5,179,100,8.1,0.496,0.499,9.9,-1.7,114,"$46,532,833"
Montreal Expos,,6250,-47,1,-1,-13,62,3,-1.2,180,183,16.5,0.5,0.502,18.3,-1.5,196,"$38,245,500"
New York Mets,,6150,-52,2,-3,-23,52,-24,-3.8,181,158,14.1,0.499,0.499,16.8,-2.7,180,"$91,550,260"
Philadelphia Phillies,,6323,34,-1,2,24,56,115,10.6,183,299,28.6,0.505,0.504,26.6,2.5,275,"$55,004,999"
Pittsburgh Pirates,,6049,-137,-9,7,11,52,-76,-9.4,178,102,8.3,0.496,0.498,7.5,0.8,91,"$38,321,099"
San Diego Padres,,6178,-36,-9,2,-71,53,-62,-7.8,182,120,10.2,0.497,0.499,18.0,-7.9,191,"$41,190,000"
San Francisco Giants,,6298,88,3,-4,38,60,185,17.2,182,367,35.2,0.508,0.507,31.5,3.8,328,"$78,299,835"
St. Louis Cardinals,,6246,12,3,1,49,57,122,11.2,181,303,29.1,0.505,0.504,24.4,4.7,254,"$74,260,875"
,0.0,99441,-686,-32,-7,40,892,207,-1.4,2905,3114,285.0,0.5,0.501,286.6,0.3,3071,"$1,021,848,820"
