Tm,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary
Arizona Diamondbacks,,2238,-30,5,4,-2,1,-22,-1.9,76,54,5.5,0.496,0.5,5.5,0.1,56,"$69,681,667"
Atlanta Braves,,2344,50,-2,1,-9,0,41,4.2,79,119,11.8,0.506,0.503,12.4,-0.6,128,"$130,405,000"
Chicago Cubs,,2214,-20,1,0,11,-1,-8,-0.4,75,68,6.9,0.499,0.5,5.6,1.2,56,"$178,320,000"
Cincinnati Reds,,2123,-43,0,-3,-7,-2,-55,-5.1,72,18,1.9,0.492,0.499,2.4,-0.6,25,"$119,916,165"
Colorado Rockies,,2257,-64,11,1,22,1,-29,-2.5,77,48,4.9,0.495,0.5,2.6,2.5,26,"$109,230,000"
Los Angeles Dodgers,,2316,58,2,-1,22,0,80,8.1,78,158,15.6,0.513,0.504,13.2,2.4,136,"$183,758,333"
Miami Marlins,,2167,-21,0,0,-8,-1,-31,-2.7,74,43,4.4,0.495,0.5,5.0,-0.7,51,"$44,825,000"
Milwaukee Brewers,,2188,-37,-8,-5,-16,0,-66,-6.1,75,9,1.1,0.49,0.497,2.4,-1.4,25,"$94,741,667"
New York Mets,,2279,59,-12,0,-19,1,30,3.2,78,107,10.7,0.504,0.502,12.4,-1.6,126,"$130,278,667"
Philadelphia Phillies,,2223,29,3,0,-34,0,-3,0.0,76,73,7.3,0.499,0.5,10.5,-3.1,107,"$151,398,461"
Pittsburgh Pirates,,2134,-75,-6,0,8,0,-73,-7.0,73,0,0.0,0.488,0.497,-1.0,1.1,-8,"$31,728,500"
San Diego Padres,,2231,50,-3,2,14,0,64,6.5,76,139,13.8,0.509,0.504,12.2,1.6,125,"$122,162,000"
San Francisco Giants,,2259,42,-1,-1,-5,-1,33,3.5,77,110,10.9,0.504,0.502,11.2,-0.4,115,"$116,280,000"
St. Louis Cardinals,,2011,-17,1,2,25,-1,10,1.3,69,79,7.9,0.502,0.501,5.3,2.6,54,"$127,021,167"
Washington Nationals,,2218,16,-2,3,-32,0,-15,-1.3,75,60,5.9,0.497,0.5,8.8,-3.0,92,"$164,862,283"
,0.0,33202,-1,-12,3,-30,-4,-45,-0.1,1129,1085,108.5,0.499,0.501,108.4,0.0,1115,"$1,774,608,910"
