Tm,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary
Arizona Diamondbacks,,6027,-36,17,6,28,1,16,2.5,206,223,21.8,0.501,0.502,18.4,3.6,194,"$78,760,000"
Atlanta Braves,,6082,67,5,1,3,1,76,8.5,205,281,27.8,0.505,0.506,27.0,0.9,278,"$164,475,000"
Chicago Cubs,,6072,-20,0,-2,-7,2,-28,-2.3,207,179,17.2,0.498,0.501,17.4,-0.1,186,"$131,085,000"
Cincinnati Reds,,5978,-132,-12,-4,-23,1,-169,-17.4,204,35,1.8,0.489,0.495,3.7,-1.8,58,"$82,330,000"
Colorado Rockies,,6105,-75,0,-3,8,1,-69,-6.5,208,140,13.2,0.496,0.498,11.7,1.5,132,"$104,743,000"
Los Angeles Dodgers,,6247,82,2,3,28,2,116,12.8,210,326,32.5,0.507,0.508,29.0,3.6,298,"$237,178,666"
Miami Marlins,,5949,-94,-1,-2,12,0,-85,-8.4,203,118,10.8,0.495,0.497,9.1,1.8,106,"$68,100,000"
Milwaukee Brewers,,6122,31,-2,-1,16,3,47,5.6,207,254,25.1,0.503,0.503,22.9,2.5,238,"$125,179,460"
New York Mets,,6176,92,-6,3,-23,-2,65,7.4,208,273,27.0,0.504,0.507,28.9,-2.2,296,"$232,933,333"
Philadelphia Phillies,,6077,49,2,0,-45,1,6,1.4,206,213,20.8,0.5,0.5,25.0,-4.1,258,"$209,288,461"
Pittsburgh Pirates,,5912,-112,3,6,-20,-1,-124,-12.6,202,77,6.5,0.492,0.498,8.0,-1.6,97,"$37,925,000"
San Diego Padres,,6175,44,-3,7,18,1,68,7.7,209,277,27.4,0.504,0.506,25.0,2.5,259,"$151,236,538"
San Francisco Giants,,6117,-11,-3,0,-78,-8,-100,-9.8,209,109,9.8,0.494,0.497,17.5,-8.5,187,"$129,529,667"
St. Louis Cardinals,,6165,104,7,-1,54,-3,162,17.6,210,372,37.3,0.51,0.51,31.1,6.0,318,"$151,864,666"
Washington Nationals,,5998,-4,-13,-4,-47,0,-69,-6.6,204,135,12.6,0.495,0.498,17.0,-4.4,182,"$113,801,666"
,0.0,91202,-15,-6,11,-76,-2,-89,-0.1,3099,3012,291.6,0.5,0.502,291.5,-0.2,3087,"$2,018,430,457"
