Tm,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary
Baltimore Orioles,,6233,-49,-18,2,-20,-4,-90,-8.2,229,139,13.5,0.495,0.497,15.6,-1.9,159,"$69,504,166"
Boston Red Sox,,6344,62,3,-4,-18,-4,39,4.6,233,272,26.6,0.502,0.504,28.5,-1.6,290,"$125,009,499"
Chicago White Sox,,6132,-92,-6,-2,-25,-7,-132,-12.3,228,96,9.3,0.492,0.496,11.9,-2.6,121,"$100,081,000"
Cleveland Indians,,6320,37,0,-2,-22,-5,8,1.5,231,239,23.4,0.5,0.502,25.8,-2.2,261,"$75,224,866"
Detroit Tigers,,6234,-48,-5,1,33,-12,-32,-2.5,231,199,19.4,0.498,0.501,16.3,2.8,166,"$119,510,145"
Kansas City Royals,,6103,-71,-7,-3,-105,-6,-191,-18.1,227,36,3.4,0.489,0.494,13.8,-10.4,141,"$76,006,333"
Los Angeles Angels of Anaheim,,6305,72,9,0,71,-5,147,15.3,232,379,37.3,0.509,0.508,30.4,7.1,308,"$118,169,000"
Minnesota Twins,,6346,32,8,1,-45,-4,-9,-0.3,233,224,21.8,0.499,0.501,26.4,-4.4,269,"$66,914,266"
New York Yankees,,6449,125,7,4,-24,-5,106,11.2,236,341,33.5,0.506,0.507,36.0,-2.5,365,"$206,330,039"
Oakland Athletics,,6247,-58,7,-3,-30,-9,-93,-8.4,231,138,13.5,0.495,0.498,16.6,-3.2,168,"$61,635,000"
Seattle Mariners,,6113,-73,-8,0,76,-6,-11,-0.3,225,215,21.0,0.499,0.502,13.5,7.6,139,"$98,919,166"
Tampa Bay Rays,,6223,43,12,0,44,-5,94,10.0,231,326,31.9,0.505,0.507,27.6,4.4,281,"$65,663,434"
Texas Rangers,,6127,-42,4,4,5,-4,-32,-2.4,227,195,19.0,0.498,0.5,18.6,0.6,190,"$69,170,548"
Toronto Blue Jays,,6362,15,7,-3,59,-4,74,8.1,231,305,29.9,0.504,0.504,24.2,6.0,246,"$82,733,700"
,0.0,87538,-48,15,-7,-1,-79,-122,-1.8,3225,3104,303.5,0.499,0.502,305.2,-0.2,3104,"$1,334,871,162"
