Tm,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary
Baltimore Orioles,,6264,-42,-5,3,1,-5,-50,-4.4,231,182,17.6,0.497,0.499,17.6,0.0,180,"$85,650,252"
Boston Red Sox,,6426,56,2,-1,10,-6,60,6.3,238,299,29.0,0.503,0.504,28.1,0.8,289,"$133,526,214"
Chicago White Sox,,6103,-114,-11,-6,-67,-6,-204,-19.6,228,24,2.2,0.488,0.494,8.7,-6.7,91,"$108,671,833"
Cleveland Indians,,6367,6,-3,4,1,-5,3,0.8,235,238,23.1,0.5,0.501,23.1,0.0,237,"$61,289,667"
Detroit Tigers,,6364,57,3,0,36,-4,93,9.5,235,327,31.8,0.505,0.506,28.3,3.5,291,"$93,085,369"
Kansas City Royals,,6140,-104,8,-1,40,-7,-64,-5.8,228,164,15.9,0.496,0.498,12.1,3.7,124,"$66,917,500"
Los Angeles Angels of Anaheim,,6198,-10,2,4,5,-6,-4,0.0,229,225,21.8,0.5,0.502,21.3,0.4,220,"$108,868,833"
Minnesota Twins,,6161,-46,11,2,14,-4,-23,-1.9,228,205,19.9,0.499,0.501,18.6,1.3,191,"$70,649,500"
New York Yankees,,6528,153,10,15,-15,-4,159,15.8,239,398,38.5,0.509,0.509,40.0,-1.4,412,"$206,659,045"
Oakland Athletics,,6365,22,-2,-10,20,-5,26,3.0,237,262,25.5,0.501,0.502,23.6,2.0,242,"$79,366,940"
Seattle Mariners,,6209,39,-7,1,-52,-7,-25,-2.0,230,205,19.9,0.499,0.499,25.1,-5.3,257,"$105,080,833"
Tampa Bay Devil Rays,,6280,25,12,3,-68,-3,-31,-2.7,233,201,19.4,0.498,0.501,26.2,-6.5,269,"$24,123,500"
Texas Rangers,,6214,-24,12,-4,-7,-8,-32,-2.7,231,199,19.2,0.498,0.5,20.0,-1.0,206,"$67,937,675"
Toronto Blue Jays,,6197,-45,-2,-6,90,-7,31,3.5,230,261,25.5,0.502,0.503,16.6,8.8,171,"$81,061,300"
,0.0,87816,-26,30,3,8,-77,-63,-0.2,3251,3190,309.3,0.5,0.502,309.3,-0.3,3180,"$1,292,888,461"
