Tm,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary
Arizona Diamondbacks,,6183,-51,-14,-4,25,55,9,-0.4,181,191,17.2,0.5,0.501,14.8,2.6,166,"$52,868,166"
Atlanta Braves,,6252,17,-1,-4,11,56,78,6.9,181,260,24.4,0.503,0.503,23.5,1.1,248,"$84,021,166"
Chicago Cubs,,6140,-71,-3,0,-41,55,-60,-7.7,180,120,9.7,0.497,0.499,14.3,-4.5,161,"$145,784,002"
Cincinnati Reds,,6285,53,-2,0,32,58,142,13.6,183,325,31.3,0.506,0.505,28.1,3.4,293,"$71,455,542"
Colorado Rockies,,6265,-69,9,1,30,54,25,1.2,183,208,19.0,0.501,0.502,16.1,3.0,179,"$84,674,000"
Florida Marlins,,6194,-64,8,0,-22,54,-23,-3.9,181,158,13.6,0.499,0.5,16.2,-2.3,180,"$57,454,719"
Houston Astros,,6005,-135,1,-4,-28,52,-115,-13.3,177,63,3.7,0.495,0.498,6.9,-3.0,90,"$92,400,500"
Los Angeles Dodgers,,6140,-50,-2,-4,-61,56,-61,-7.8,180,119,9.7,0.497,0.499,16.3,-6.5,180,"$94,953,516"
Milwaukee Brewers,,6304,36,-5,3,8,57,99,9.1,182,281,26.6,0.505,0.503,26.0,1.1,273,"$80,708,278"
New York Mets,,6144,-81,6,3,26,55,8,-0.4,180,188,16.9,0.5,0.502,14.4,2.7,162,"$132,753,942"
Philadelphia Phillies,,6291,-11,13,5,-6,60,61,5.0,181,241,22.4,0.503,0.503,23.3,-0.5,247,"$141,928,379"
Pittsburgh Pirates,,5974,-113,-11,0,-80,50,-155,-17.8,176,22,-0.8,0.493,0.497,7.9,-8.6,101,"$35,033,000"
San Diego Padres,,6148,-51,-9,9,64,52,64,5.6,181,245,23.0,0.503,0.503,16.5,6.5,181,"$37,799,300"
San Francisco Giants,,6143,-17,1,-10,30,55,59,4.9,180,239,22.3,0.503,0.503,19.4,2.9,209,"$98,186,333"
St. Louis Cardinals,,6241,0,3,-1,32,57,90,8.1,182,272,25.7,0.504,0.505,22.5,3.3,240,"$93,540,751"
Washington Nationals,,6100,-68,-8,-1,-3,46,-35,-5.0,180,146,12.4,0.498,0.5,13.0,-1.0,149,"$63,900,000"
,0.0,98809,-675,-16,-7,17,870,188,-1.9,2887,3078,277.0,0.5,0.501,279.1,0.3,3059,"$1,367,461,594"
