Tm,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary
Arizona Diamondbacks,,6156,-112,4,1,-31,57,-81,-10.3,181,100,7.1,0.496,0.499,10.9,-3.6,131,"$66,202,712"
Atlanta Braves,,6368,4,-6,1,30,53,83,6.0,188,271,24.1,0.503,0.503,21.8,2.6,241,"$101,975,683"
Chicago Cubs,,6384,17,-3,2,-25,59,50,2.9,186,236,20.7,0.502,0.502,23.9,-2.9,261,"$120,345,833"
Cincinnati Reds,,6188,-96,-9,7,-23,52,-70,-9.2,183,113,8.2,0.497,0.499,11.3,-2.8,136,"$69,100,195"
Colorado Rockies,,6312,-80,19,-2,-32,59,-37,-5.8,185,149,11.9,0.498,0.5,15.9,-3.5,181,"$68,655,500"
Florida Marlins,,6206,-35,1,1,10,53,31,0.9,182,212,18.4,0.501,0.502,18.0,0.3,202,"$19,441,500"
Houston Astros,,6051,-47,-9,4,13,54,15,-0.6,178,193,16.5,0.501,0.501,16.0,0.8,180,"$87,556,807"
Los Angeles Dodgers,,6194,-54,9,-3,-12,61,1,-2.1,182,183,15.2,0.5,0.5,17.2,-1.5,195,"$102,578,135"
Milwaukee Brewers,,6252,-2,2,4,38,61,103,8.4,184,286,26.1,0.505,0.504,23.0,3.6,248,"$76,687,499"
New York Mets,,6388,7,11,3,16,58,95,7.4,184,279,25.1,0.504,0.504,24.2,1.0,263,"$129,984,376"
Philadelphia Phillies,,6273,-19,16,3,74,57,131,11.1,183,314,28.5,0.506,0.505,21.8,6.9,240,"$94,302,380"
Pittsburgh Pirates,,6278,-59,2,0,-17,57,-17,-3.9,185,168,13.7,0.499,0.5,16.2,-2.0,185,"$48,286,283"
San Diego Padres,,6244,-19,-5,0,-2,52,26,0.5,185,211,18.2,0.501,0.502,19.1,-0.6,213,"$72,286,416"
San Francisco Giants,,6145,-136,-13,2,-20,53,-114,-13.7,181,68,3.7,0.495,0.498,6.4,-2.7,88,"$74,094,500"
St. Louis Cardinals,,6370,47,-3,-3,61,57,159,13.8,187,346,31.7,0.507,0.507,26.3,5.6,285,"$91,476,449"
Washington Nationals,,6192,-103,-10,0,-6,48,-71,-9.4,183,112,8.2,0.497,0.499,9.5,-1.3,118,"$54,511,000"
,0.0,100001,-690,6,20,74,892,302,-4.1,2938,3241,277.2,0.501,0.502,281.5,0.0,3166,"$1,277,485,268"
