Tm,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary
Arizona Diamondbacks,,6334,-37,-11,-4,56,54,58,5.2,193,251,24.3,0.503,0.504,18.1,6.5,195,"$78,042,000"
Atlanta Braves,,6133,-2,-3,-2,23,55,72,6.7,186,258,25.2,0.504,0.503,22.7,2.5,235,"$93,993,750"
Chicago Cubs,,6079,-67,-5,-1,4,52,-17,-3.2,185,169,15.1,0.499,0.499,14.8,0.4,164,"$56,804,000"
Cincinnati Reds,,6293,-14,-2,-2,13,58,54,4.6,187,241,23.0,0.503,0.504,21.7,1.5,228,"$101,955,535"
Colorado Rockies,,6152,-72,13,3,-16,51,-22,-3.9,190,169,15.0,0.499,0.501,16.8,-1.7,184,"$73,278,000"
Los Angeles Dodgers,,6145,25,-8,1,38,54,110,10.8,188,299,29.5,0.505,0.504,25.4,4.2,261,"$252,506,000"
Miami Marlins,,6021,-195,-5,-1,7,51,-143,-17.6,184,42,0.6,0.493,0.496,0.0,0.9,34,"$24,271,900"
Milwaukee Brewers,,6064,-51,-7,5,5,49,1,-1.2,186,187,17.2,0.5,0.501,16.7,0.5,182,"$75,472,000"
New York Mets,,6207,-65,10,5,-15,51,-14,-3.0,188,174,15.6,0.499,0.501,17.4,-1.8,189,"$43,925,860"
Philadelphia Phillies,,6014,-66,8,-1,-79,48,-89,-11.3,185,96,7.0,0.496,0.498,16.1,-9.3,175,"$150,860,000"
Pittsburgh Pirates,,6135,2,-10,2,20,52,66,6.0,188,254,24.6,0.503,0.504,22.4,2.1,234,"$94,637,000"
San Diego Padres,,6122,-16,3,6,-14,45,24,1.3,187,211,19.8,0.501,0.502,21.6,-2.3,225,"$63,509,200"
San Francisco Giants,,6168,-3,2,3,-4,54,52,4.5,188,241,23.2,0.502,0.503,23.8,-0.4,245,"$139,845,667"
St. Louis Cardinals,,6202,8,-1,-8,-25,56,30,1.9,187,217,20.4,0.501,0.503,23.4,-3.0,242,"$90,583,000"
Washington Nationals,,6047,-52,3,2,5,52,10,-0.3,184,195,17.9,0.5,0.502,17.5,0.4,189,"$112,002,250"
,0.0,92116,-604,-11,8,18,782,193,0.4,2807,3002,278.3,0.501,0.502,278.2,0.3,2982,"$1,451,686,162"
