Tm,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary
Baltimore Orioles,,6211,0,-17,2,-2,-3,-20,-0.3,228,209,21.6,0.499,0.502,21.1,0.8,211,"$59,804,580"
Boston Red Sox,,6402,51,-2,-2,21,-6,62,7.9,235,297,30.5,0.504,0.505,27.7,2.7,276,"$125,390,035"
Chicago White Sox,,6231,5,-5,-10,-32,-4,-45,-2.9,230,184,19.2,0.497,0.498,21.8,-2.4,216,"$120,796,832"
Cleveland Indians,,6299,30,4,-2,25,-6,52,6.8,232,283,29.0,0.503,0.504,25.8,3.2,258,"$78,970,066"
Detroit Tigers,,6331,37,-5,-4,-56,-6,-34,-1.7,233,199,20.7,0.498,0.5,25.6,-5.0,255,"$136,343,696"
Kansas City Royals,,6118,-74,-4,-2,-71,-4,-155,-14.0,227,72,7.9,0.491,0.493,14.3,-6.5,143,"$58,970,500"
Los Angeles Angels of Anaheim,,6155,-48,4,-3,9,-6,-44,-2.9,229,185,19.1,0.497,0.499,17.5,1.6,176,"$109,716,333"
Minnesota Twins,,6331,13,3,0,-30,-5,-19,-0.3,233,215,22.1,0.499,0.5,24.5,-2.3,244,"$56,932,766"
New York Yankees,,6257,9,7,0,-39,-6,-29,-1.3,230,201,20.8,0.498,0.5,24.1,-3.2,240,"$211,496,041"
Oakland Athletics,,6138,-90,5,-1,43,-8,-51,-3.4,228,178,18.6,0.497,0.5,13.5,4.9,135,"$47,967,126"
Seattle Mariners,,6176,-68,-5,0,16,-4,-62,-4.7,226,164,17.0,0.496,0.5,14.7,2.4,148,"$117,276,482"
Tampa Bay Rays,,6312,20,1,5,23,-8,41,5.8,230,272,27.9,0.502,0.503,24.9,2.7,248,"$44,569,897"
Texas Rangers,,6478,115,9,2,-44,-7,75,9.2,235,311,31.8,0.504,0.504,35.5,-3.9,354,"$67,316,996"
Toronto Blue Jays,,6191,-28,-1,-7,40,-7,-3,1.4,230,227,23.5,0.5,0.502,18.8,4.7,186,"$97,390,000"
,0.0,87630,-27,-6,-20,-97,-81,-232,-0.2,3226,2995,309.6,0.499,0.501,309.8,-0.5,3091,"$1,332,941,350"
