Tm,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary
Baltimore Orioles,,5983,-71,-3,-4,-34,-4,-117,-10.7,204,87,9.1,0.493,0.498,12.2,-3.0,121,"$14,375,000"
Boston Red Sox,,6122,39,1,3,-10,-2,32,4.3,207,239,24.5,0.502,0.503,25.1,-0.5,249,"$143,595,000"
Chicago White Sox,,6084,61,0,-2,-34,-4,21,3.2,205,226,23.2,0.501,0.502,26.2,-3.1,260,"$115,346,333"
Cleveland Indians,,5907,-45,16,2,-8,-4,-39,-2.7,200,162,16.7,0.498,0.501,17.2,-0.4,170,"$38,425,500"
Detroit Tigers,,5979,-30,0,-5,-71,-4,-111,-10.0,203,92,9.7,0.493,0.497,16.6,-6.8,163,"$78,490,500"
Houston Astros,,6291,99,-11,-5,60,-4,140,15.3,211,351,35.8,0.508,0.508,29.4,6.5,291,"$157,300,000"
Kansas City Royals,,5993,-86,7,3,26,-4,-54,-4.3,203,149,15.5,0.497,0.499,12.4,2.9,123,"$85,820,000"
Los Angeles Angels,,6016,-69,1,3,-67,-3,-134,-12.4,205,70,7.1,0.492,0.497,13.5,-6.2,137,"$188,308,595"
Minnesota Twins,,6078,18,3,-2,15,-5,29,4.1,207,236,24.2,0.502,0.502,22.3,1.9,221,"$120,058,333"
New York Yankees,,6060,-3,-5,-16,-50,-4,-77,-6.6,205,127,13.4,0.495,0.499,18.0,-4.5,177,"$200,074,047"
Oakland Athletics,,6104,28,8,3,-14,-7,19,3.1,205,224,23.1,0.501,0.502,24.1,-1.3,238,"$83,455,834"
Seattle Mariners,,6010,-50,-14,3,-3,-5,-69,-5.7,203,135,14.1,0.496,0.5,14.0,0.0,137,"$63,155,500"
Tampa Bay Rays,,6213,87,4,8,43,-7,136,15.0,211,347,35.4,0.508,0.506,30.7,4.6,303,"$50,887,166"
Texas Rangers,,5943,-128,5,3,67,-3,-57,-4.6,202,145,15.1,0.496,0.5,8.0,7.2,78,"$53,557,666"
Toronto Blue Jays,,6070,91,-2,1,21,-6,104,11.6,204,308,31.5,0.506,0.508,29.0,2.3,286,"$112,919,071"
,0.0,90853,-58,11,-7,-59,-66,-179,-0.4,3073,2895,298.2,0.499,0.501,298.5,-0.5,2953,"$1,505,768,545"
