Tm,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary
Baltimore Orioles,,2242,5,-5,0,-1,1,0,-0.2,76,76,7.2,0.5,0.5,7.4,-0.2,77,"$46,540,000"
Boston Red Sox,,2304,8,1,-1,6,2,16,1.4,78,94,9.0,0.503,0.501,8.5,0.6,88,"$105,163,000"
Chicago White Sox,,2267,34,1,0,20,0,56,5.3,76,132,12.7,0.509,0.503,10.8,1.8,112,"$118,966,333"
Cleveland Indians,,2247,-34,-3,-1,20,0,-17,-2.1,75,58,5.3,0.497,0.5,3.5,1.9,38,"$84,491,668"
Detroit Tigers,,2076,-26,-3,-2,-10,-1,-42,-4.4,71,29,2.5,0.493,0.499,3.6,-1.3,39,"$88,185,000"
Houston Astros,,2229,-13,-3,3,11,1,-2,-0.4,76,73,7.0,0.5,0.501,6.0,1.0,63,"$212,900,000"
Kansas City Royals,,2200,-26,1,2,-5,-1,-29,-3.1,75,46,4.2,0.495,0.499,4.8,-0.8,50,"$68,500,000"
Los Angeles Angels,,2308,18,1,-2,-26,1,-8,-1.1,77,69,6.4,0.498,0.5,9.1,-2.7,95,"$168,488,095"
Minnesota Twins,,2168,6,0,0,12,0,18,1.7,74,92,8.9,0.503,0.501,7.7,1.1,80,"$134,638,333"
New York Yankees,,2210,54,7,-3,-11,0,47,4.4,75,122,11.7,0.507,0.502,12.9,-1.3,133,"$207,835,714"
Oakland Athletics,,2201,1,5,0,-8,1,-1,-0.3,75,73,7.0,0.5,0.501,7.9,-0.9,82,"$85,583,333"
Seattle Mariners,,2181,-23,2,0,4,0,-16,-1.9,74,58,5.4,0.497,0.5,5.1,0.3,54,"$58,700,000"
Tampa Bay Rays,,2261,31,4,2,28,-1,65,6.2,77,142,13.8,0.509,0.503,11.1,2.5,114,"$47,426,667"
Texas Rangers,,2147,-61,4,0,15,0,-42,-4.4,73,31,2.8,0.493,0.499,1.4,1.4,16,"$116,466,667"
Toronto Blue Jays,,2263,27,0,-1,-34,1,-7,-0.9,77,70,6.6,0.499,0.5,10.1,-3.4,104,"$70,378,572"
,0.0,33304,1,12,-3,21,4,36,0.1,1130,1166,110.4,0.5,0.501,109.8,-0.1,1145,"$1,614,263,382"
