Tm,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary
Baltimore Orioles,,6140,-1,1,-4,-5,-6,-15,-1.0,218,203,20.1,0.499,0.501,20.5,-0.6,208,"$160,429,833"
Boston Red Sox,,6338,-67,6,2,47,-3,-15,-0.7,222,208,20.7,0.499,0.501,15.9,4.9,161,"$176,229,750"
Chicago White Sox,,6059,-22,0,-1,-20,-4,-47,-4.2,216,169,16.6,0.497,0.499,18.6,-1.9,188,"$97,306,000"
Cleveland Indians,,6234,25,10,3,29,-5,62,6.9,221,283,28.1,0.503,0.505,25.2,2.9,254,"$113,888,067"
Detroit Tigers,,6150,-14,-5,-1,-88,-6,-115,-11.0,219,104,10.2,0.493,0.495,18.9,-9.0,192,"$118,375,600"
Houston Astros,,6271,190,-6,-5,-2,-6,171,17.6,221,392,38.9,0.51,0.509,39.1,-0.5,394,"$155,656,400"
Kansas City Royals,,6027,-62,6,-4,-46,-3,-109,-10.4,215,105,10.4,0.493,0.498,14.9,-4.5,152,"$127,555,817"
Los Angeles Angels,,6073,-60,6,-3,52,-3,-8,-0.3,216,208,20.5,0.499,0.501,15.2,5.5,156,"$180,048,000"
Minnesota Twins,,6261,29,8,5,25,-5,62,7.0,221,284,28.4,0.504,0.503,25.8,2.5,259,"$100,087,500"
New York Yankees,,6354,61,2,1,11,-3,73,7.9,225,297,29.6,0.504,0.506,28.4,1.2,286,"$182,424,700"
Oakland Athletics,,6126,34,-2,-10,-42,-3,-24,-1.7,218,194,19.4,0.499,0.5,23.6,-4.1,236,"$51,020,000"
Seattle Mariners,,6166,23,-4,1,20,-3,37,4.3,218,255,25.3,0.502,0.503,23.3,2.0,235,"$165,044,700"
Tampa Bay Rays,,6147,-18,0,7,9,-4,-7,0.1,219,213,21.2,0.5,0.501,20.2,0.9,203,"$75,927,733"
Texas Rangers,,6122,-75,8,2,3,-4,-66,-6.1,218,152,15.0,0.496,0.498,14.7,0.2,149,"$153,841,914"
Toronto Blue Jays,,6154,-71,-6,-8,-1,-3,-89,-8.5,219,130,12.6,0.495,0.497,12.7,0.0,131,"$157,271,367"
,0.0,92622,-27,26,-17,-8,-62,-89,-0.2,3284,3196,316.9,0.5,0.501,316.9,-0.3,3203,"$2,015,107,381"
