Tm,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary
Arizona Diamondbacks,,6269,-80,3,7,4,56,-9,-2.1,184,174,15.9,0.5,0.501,15.4,0.7,170,"$75,920,666"
Atlanta Braves,,6335,-22,-10,-3,-11,60,14,0.2,185,199,18.3,0.501,0.501,19.4,-0.8,210,"$97,788,166"
Chicago Cubs,,6244,-81,-11,-5,-23,58,-62,-7.6,182,120,10.3,0.497,0.498,12.6,-2.2,143,"$139,652,000"
Cincinnati Reds,,6187,-105,-4,3,20,56,-29,-4.1,182,153,13.6,0.499,0.5,11.4,2.3,133,"$78,159,000"
Colorado Rockies,,6241,-33,0,-2,7,58,29,2.0,183,213,20.0,0.501,0.502,19.1,0.8,206,"$72,835,200"
Florida Marlins,,6312,-19,2,7,-53,53,-10,-2.2,186,176,16.0,0.499,0.5,21.4,-5.5,229,"$38,879,000"
Houston Astros,,6040,-81,4,-5,-1,55,-29,-4.1,178,149,13.4,0.499,0.501,13.4,0.1,150,"$105,804,414"
Los Angeles Dodgers,,6385,41,2,0,14,60,117,11.0,187,304,29.4,0.505,0.505,27.9,1.8,290,"$101,711,592"
Milwaukee Brewers,,6296,26,-6,0,2,58,80,7.1,183,264,25.1,0.504,0.504,24.7,0.5,262,"$81,384,502"
New York Mets,,6159,-36,5,0,-2,52,19,1.0,181,201,18.9,0.501,0.501,18.9,-0.2,203,"$151,192,237"
Philadelphia Phillies,,6338,28,5,5,17,61,117,10.8,183,299,28.7,0.505,0.505,26.9,2.0,282,"$114,679,046"
Pittsburgh Pirates,,6058,-100,-2,5,26,58,-13,-2.4,176,163,14.8,0.499,0.5,12.0,3.1,137,"$51,112,500"
San Diego Padres,,6179,-44,-5,-5,-14,51,-17,-2.9,183,166,15.1,0.499,0.501,16.4,-1.2,180,"$49,722,800"
San Francisco Giants,,6057,-150,7,0,9,57,-77,-9.1,178,101,8.3,0.496,0.499,7.3,1.1,92,"$79,483,950"
St. Louis Cardinals,,6168,-17,7,0,23,61,74,6.5,180,255,24.2,0.503,0.504,21.6,2.8,232,"$90,128,409"
Washington Nationals,,6273,-30,-11,0,-52,52,-40,-5.2,185,144,12.9,0.498,0.5,18.0,-5.2,197,"$58,553,000"
,0.0,99541,-701,-14,7,-34,906,164,-1.0,2916,3080,284.9,0.5,0.501,286.3,0.2,3114,"$1,387,006,482"
