Tm,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary
Arizona Diamondbacks,,6144,-105,3,4,-49,56,-91,-11.0,200,109,8.7,0.496,0.498,14.3,-5.4,158,"$77,591,667"
Atlanta Braves,,6056,-28,-1,4,5,56,36,1.8,194,230,21.1,0.501,0.503,21.2,0.0,225,"$124,030,000"
Chicago Cubs,,5972,-47,1,-7,17,51,15,-0.2,195,210,19.0,0.501,0.501,17.9,1.3,193,"$142,860,500"
Cincinnati Reds,,6162,-45,-12,-6,-42,59,-46,-6.4,199,154,13.3,0.498,0.5,18.1,-4.8,195,"$115,109,881"
Colorado Rockies,,6007,-122,9,7,67,56,17,0.1,195,212,19.5,0.501,0.501,13.2,6.7,145,"$79,475,000"
Los Angeles Dodgers,,6239,1,-3,1,-4,61,57,3.9,200,256,23.7,0.502,0.503,24.8,-1.1,260,"$246,083,334"
Miami Marlins,,5929,-149,1,5,29,54,-61,-7.9,193,132,11.2,0.497,0.499,8.8,2.7,103,"$33,050,000"
Milwaukee Brewers,,6099,-55,0,1,29,55,31,1.4,198,229,21.0,0.501,0.501,18.6,2.5,200,"$85,417,626"
New York Mets,,5856,-44,-11,-2,3,52,-2,-1.9,191,189,17.0,0.5,0.5,17.3,-0.2,185,"$178,275,167"
Philadelphia Phillies,,6089,-35,10,3,-58,55,-25,-4.4,197,172,15.2,0.499,0.5,21.7,-6.4,230,"$185,086,962"
Pittsburgh Pirates,,5983,-138,-11,7,-4,50,-96,-11.6,195,99,7.7,0.496,0.499,8.6,-0.7,103,"$35,605,000"
San Diego Padres,,6119,10,8,0,14,50,83,6.6,200,283,26.5,0.503,0.503,25.7,1.1,269,"$148,484,286"
San Francisco Giants,,6196,56,2,-2,-4,51,102,8.7,202,304,28.7,0.504,0.503,29.7,-1.4,308,"$150,063,778"
St. Louis Cardinals,,6001,-4,10,0,67,55,128,11.5,194,322,30.7,0.506,0.506,24.4,6.5,255,"$155,129,667"
Washington Nationals,,6113,63,-17,-8,-1,57,94,7.8,196,290,27.2,0.504,0.503,28.0,-0.5,291,"$171,970,147"
,0.0,90965,-642,-10,8,69,817,242,-1.6,2948,3191,290.4,0.501,0.501,292.2,0.3,3121,"$1,928,233,015"
