Tm,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary
Arizona Diamondbacks,,6260,-64,17,3,-12,55,-1,-1.7,190,189,16.7,0.5,0.501,18.1,-1.3,201,"$78,399,500"
Atlanta Braves,,6192,-84,-2,-1,-21,55,-52,-6.9,188,136,11.3,0.498,0.5,13.6,-1.9,157,"$66,660,000"
Chicago Cubs,,6335,32,2,9,57,63,162,15.1,189,351,33.4,0.507,0.506,27.7,5.8,294,"$174,554,333"
Cincinnati Reds,,6094,-75,-3,-3,-4,55,-30,-4.6,187,157,13.5,0.499,0.5,14.1,-0.3,161,"$76,314,061"
Colorado Rockies,,6236,-33,3,-1,12,57,38,2.3,188,227,20.5,0.502,0.503,19.5,1.3,215,"$88,688,000"
Los Angeles Dodgers,,6164,-27,5,0,18,50,47,3.3,189,237,21.7,0.502,0.503,20.0,1.6,219,"$219,332,096"
Miami Marlins,,6134,-18,0,-1,1,53,35,2.0,188,223,20.3,0.501,0.502,20.4,0.0,221,"$70,976,000"
Milwaukee Brewers,,6061,-70,-1,-1,-12,54,-30,-4.7,186,156,13.4,0.499,0.5,14.9,-1.1,168,"$50,550,100"
New York Mets,,6115,-27,-10,-4,-14,53,-2,-1.7,187,185,16.4,0.5,0.5,18.1,-1.6,199,"$154,675,032"
Philadelphia Phillies,,5992,-130,-3,1,-13,51,-95,-11.3,184,90,6.5,0.496,0.498,8.0,-1.6,103,"$66,467,500"
Pittsburgh Pirates,,6261,-17,-11,2,-31,49,-9,-2.4,192,184,16.2,0.5,0.501,19.6,-3.6,215,"$81,187,933"
San Diego Padres,,6001,-102,6,5,7,53,-31,-4.7,184,153,13.1,0.499,0.5,12.5,0.9,147,"$41,479,900"
San Francisco Giants,,6271,-22,-2,7,41,61,85,7.4,191,276,25.8,0.504,0.503,21.7,4.4,235,"$177,021,333"
St. Louis Cardinals,,6223,41,-9,1,-26,51,58,4.5,191,249,23.0,0.502,0.502,26.0,-2.9,275,"$138,669,500"
Washington Nationals,,6201,-45,5,4,4,61,29,1.3,189,218,19.6,0.501,0.501,19.4,0.5,214,"$152,448,000"
,0.0,92540,-640,-3,19,7,822,205,-1.9,2824,3030,271.4,0.501,0.501,273.6,0.2,3022,"$1,637,423,288"
