Tm,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary
Arizona Diamondbacks,,6096,-24,2,5,44,54,80,8.2,179,259,25.9,0.504,0.504,20.5,5.7,215,"$53,639,833"
Atlanta Braves,,6169,-77,-10,0,3,53,-31,-4.0,179,148,13.6,0.498,0.5,12.7,1.1,145,"$87,188,132"
Chicago Cubs,,6130,-36,-5,-1,-29,47,-25,-3.3,179,155,14.4,0.499,0.5,17.0,-2.8,184,"$125,047,329"
Cincinnati Reds,,6329,-8,-5,2,42,50,80,8.1,185,265,26.4,0.504,0.503,21.2,5.5,223,"$76,547,134"
Colorado Rockies,,6275,-87,-1,1,17,52,-18,-2.7,184,166,15.4,0.499,0.501,13.0,2.5,149,"$88,148,071"
Florida Marlins,,6232,-55,-2,1,-71,51,-77,-8.9,183,106,9.2,0.496,0.499,16.3,-7.0,177,"$57,694,000"
Houston Astros,,6150,-81,2,2,17,48,-12,-1.9,180,169,15.9,0.499,0.501,13.4,2.5,152,"$69,524,500"
Los Angeles Dodgers,,6094,-45,4,5,-2,52,14,0.8,179,193,18.5,0.501,0.502,18.1,0.6,195,"$103,785,477"
Milwaukee Brewers,,6113,14,0,0,7,53,75,7.3,179,254,25.2,0.503,0.503,23.9,1.6,247,"$85,022,333"
New York Mets,,6335,23,3,1,-62,49,14,0.9,185,199,19.1,0.501,0.501,25.3,-6.1,261,"$100,252,602"
Philadelphia Phillies,,6279,-26,6,11,-45,58,4,-0.2,181,186,17.6,0.5,0.5,22.0,-3.9,231,"$172,148,379"
Pittsburgh Pirates,,6064,-71,-14,-1,-34,49,-71,-8.4,178,107,9.1,0.497,0.499,12.3,-3.2,141,"$44,180,000"
San Diego Padres,,6074,-102,10,2,25,46,-19,-2.6,179,160,15.1,0.499,0.5,11.7,3.4,135,"$45,040,240"
San Francisco Giants,,6091,-60,-4,1,7,50,-5,-1.2,179,174,16.5,0.5,0.5,15.1,1.3,166,"$118,198,333"
St. Louis Cardinals,,6242,76,-5,-11,-21,52,91,9.3,183,273,27.3,0.504,0.504,29.1,-1.7,295,"$98,746,072"
Washington Nationals,,6090,-77,4,3,6,47,-17,-2.6,179,161,15.2,0.499,0.501,14.0,1.1,155,"$66,192,928"
,0.0,98763,-636,-15,20,-96,812,85,-1.1,2889,2976,284.3,0.5,0.501,285.5,0.7,3070,"$1,391,355,363"
