Tm,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary
Baltimore Orioles,,6130,25,-13,-1,52,-4,59,8.7,216,276,29.8,0.504,0.504,23.1,6.9,224,"$104,720,000"
Boston Red Sox,,6226,-67,0,-6,43,-5,-36,-1.9,220,184,19.4,0.498,0.5,13.6,5.8,141,"$134,628,929"
Chicago White Sox,,6077,20,-12,0,-41,-6,-39,-2.3,216,178,18.6,0.497,0.5,22.3,-3.6,218,"$82,375,500"
Cleveland Indians,,6222,-24,6,-3,-47,-5,-72,-6.0,220,148,15.3,0.495,0.499,19.5,-4.1,194,"$72,949,399"
Detroit Tigers,,6202,87,-3,-6,-45,-4,29,5.3,220,249,26.5,0.502,0.503,30.6,-3.9,294,"$164,355,500"
Houston Astros,,6055,-39,5,-2,-10,-5,-51,-3.7,214,163,17.1,0.497,0.498,17.2,-0.1,173,"$40,984,800"
Kansas City Royals,,6058,-66,7,1,36,-5,-27,-0.8,216,189,20.2,0.498,0.5,15.2,5.0,153,"$84,594,075"
Los Angeles Angels of Anaheim,,6285,83,1,6,-13,-6,72,9.9,222,294,31.4,0.504,0.506,31.9,-0.4,307,"$128,166,250"
Minnesota Twins,,6233,1,3,1,-63,-4,-62,-4.7,220,158,16.7,0.496,0.5,22.7,-5.8,221,"$85,462,500"
New York Yankees,,6082,-45,4,-1,-17,-2,-61,-4.6,216,156,16.3,0.496,0.497,17.3,-0.6,172,"$233,673,207"
Oakland Athletics,,6245,8,5,-2,25,-5,31,5.6,222,253,27.1,0.502,0.502,23.4,3.8,228,"$87,653,400"
Seattle Mariners,,5977,-36,3,-1,8,-8,-34,-1.9,213,179,18.8,0.498,0.501,17.0,1.6,171,"$95,471,000"
Tampa Bay Rays,,6205,-23,6,0,-21,-7,-45,-2.8,219,174,18.5,0.497,0.499,19.8,-1.5,195,"$77,314,100"
Texas Rangers,,6026,-59,2,-2,-32,-5,-97,-8.7,214,118,12.0,0.493,0.498,14.6,-2.5,150,"$126,289,377"
Toronto Blue Jays,,6167,59,3,2,-18,-4,41,6.5,217,258,27.6,0.502,0.504,28.6,-0.8,276,"$128,427,700"
,0.0,92190,-76,17,-14,-143,-74,-291,-1.6,3266,2976,315.2,0.499,0.501,316.6,-0.3,3118,"$1,647,065,737"
