Unnamed: 0_level_0,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning
Tm,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%
Anaheim Angels,0.346,103,0.312,0.147,2.6%,15.0%,7.2%,18.9%,43.9%,27.2%,0.82,27.6%,54.1%,18.3%,2.2,3.8%,41.1,34%,76%,40%
Baltimore Orioles,0.349,105,0.309,0.15,2.6%,14.8%,8.2%,19.0%,42.6%,28.5%,0.77,33.9%,47.3%,18.8%,-4.1,-1.4%,35.5,32%,71%,41%
Boston Red Sox,0.368,111,0.319,0.19,3.4%,18.3%,10.1%,18.2%,40.8%,31.4%,0.7,32.4%,51.0%,16.6%,8.6,8.5%,127.1,33%,69%,34%
Chicago White Sox,0.35,102,0.288,0.189,3.9%,16.6%,8.1%,18.1%,40.3%,28.2%,0.71,27.2%,54.1%,18.7%,6.1,1.1%,64.3,34%,60%,45%
Cleveland Indians,0.354,113,0.305,0.168,2.9%,15.6%,9.4%,17.2%,43.7%,29.2%,0.8,28.4%,53.8%,17.7%,4.1,1.2%,65.7,32%,63%,43%
Detroit Tigers,0.346,108,0.308,0.177,3.2%,18.2%,8.2%,19.1%,41.7%,28.6%,0.75,30.4%,52.2%,17.4%,-2.2,-1.3%,40.7,33%,63%,44%
Kansas City Royals,0.324,86,0.293,0.139,2.4%,17.2%,7.5%,18.3%,44.9%,26.6%,0.84,28.0%,53.8%,18.2%,-10.4,-0.2%,-84.4,31%,58%,41%
Minnesota Twins,0.339,93,0.29,0.166,3.0%,15.6%,8.2%,15.5%,45.7%,29.4%,0.87,29.4%,52.7%,17.9%,-3.1,-2.8%,-41.8,31%,72%,42%
New York Yankees,0.363,115,0.285,0.189,3.8%,15.4%,10.5%,17.6%,45.0%,28.6%,0.84,29.3%,54.5%,16.3%,13.4,6.0%,107.7,32%,72%,40%
Oakland Athletics,0.347,103,0.3,0.163,2.9%,16.4%,9.4%,20.3%,41.1%,28.1%,0.71,29.5%,52.3%,18.1%,0.6,-2.0%,-16.4,30%,68%,37%
Seattle Mariners,0.328,91,0.308,0.127,2.1%,16.6%,7.7%,17.4%,46.8%,26.1%,0.91,24.5%,55.7%,19.8%,-15.4,-3.4%,-111.4,28%,72%,37%
Tampa Bay Devil Rays,0.326,90,0.286,0.147,2.4%,15.5%,7.7%,17.5%,44.1%,28.2%,0.81,29.1%,53.5%,17.3%,-6.4,-2.9%,-68.4,31%,76%,38%
Texas Rangers,0.346,94,0.291,0.191,3.6%,17.6%,8.0%,20.7%,38.5%,31.1%,0.64,28.3%,52.3%,19.4%,2.9,0.7%,36.4,34%,66%,44%
Toronto Blue Jays,0.332,87,0.298,0.143,2.4%,17.5%,8.3%,18.7%,45.8%,26.8%,0.86,26.7%,53.0%,20.3%,-11.5,-2.3%,-92.8,30%,65%,39%
League Average,0.344,100,0.3,0.163,3.0%,16.5%,8.5%,18.3%,43.2%,28.4%,0.79,28.9%,52.9%,18.2%,-1.0,0%,7.0,32%,69%,40%
,0.344,100,0.3,0.163,3.0%,16.5%,8.5%,18.3%,43.2%,28.4%,0.79,28.9%,52.9%,18.2%,-15.2,5.0%,103.3,32%,69%,40%
