Unnamed: 0_level_0,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning
Tm,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%
Arizona Diamondbacks,0.339,93,0.306,0.19,3.5%,23.4%,9.3%,88.2,40.3%,25.5%,44.8%,22.0%,0.84,27.4%,54.7%,17.9%,0.1,-0.6%,48.4,32%,77%,45%
Atlanta Braves,0.325,90,0.305,0.15,2.7%,19.1%,7.6%,86.8,33.6%,25.5%,46.1%,20.9%,0.9,27.6%,53.5%,19.0%,-1.9,0.1%,-11.8,30%,71%,45%
Chicago Cubs,0.341,100,0.302,0.182,3.6%,22.3%,9.9%,87.6,38.8%,24.6%,44.8%,21.8%,0.84,31.9%,51.2%,16.9%,1.8,2.5%,69.7,32%,67%,42%
Cincinnati Reds,0.334,96,0.294,0.179,3.5%,21.4%,9.1%,85.5,30.8%,25.1%,42.1%,23.0%,0.76,29.4%,52.3%,18.3%,-6.0,-1.2%,4.2,29%,75%,33%
Colorado Rockies,0.341,88,0.332,0.171,3.1%,22.7%,8.4%,86.9,35.4%,25.8%,45.5%,20.9%,0.87,25.8%,54.3%,19.9%,-2.5,-0.9%,30.2,33%,63%,44%
Los Angeles Dodgers,0.337,104,0.293,0.188,3.6%,22.3%,10.5%,88.5,40.1%,25.0%,42.8%,24.6%,0.77,29.4%,52.3%,18.3%,6.8,3.7%,47.6,30%,73%,38%
Miami Marlins,0.332,107,0.313,0.163,3.1%,20.5%,7.8%,87.2,35.9%,24.1%,48.7%,18.6%,1.0,26.6%,54.4%,19.0%,4.4,0.1%,65.4,31%,75%,39%
Milwaukee Brewers,0.33,93,0.308,0.18,3.7%,25.6%,8.9%,87.2,37.0%,25.2%,45.2%,21.7%,0.86,27.6%,52.7%,19.6%,-0.6,-3.2%,-15.9,29%,76%,35%
New York Mets,0.329,101,0.286,0.184,3.6%,20.9%,8.6%,87.3,37.0%,25.2%,40.2%,24.8%,0.69,29.1%,53.6%,17.3%,-2.1,-0.7%,13.9,29%,72%,35%
Philadelphia Phillies,0.32,90,0.304,0.159,2.8%,23.1%,8.1%,87.7,37.3%,25.4%,45.5%,20.7%,0.86,28.1%,51.9%,20.0%,-8.5,-1.3%,-49.8,29%,70%,37%
Pittsburgh Pirates,0.313,86,0.286,0.142,2.5%,19.8%,8.5%,86.3,33.7%,25.1%,46.6%,20.9%,0.9,26.5%,53.7%,19.9%,-5.1,-1.7%,-70.8,29%,65%,40%
San Diego Padres,0.306,82,0.287,0.16,3.2%,25.2%,7.7%,86.2,33.3%,24.4%,42.1%,21.4%,0.77,29.5%,52.1%,18.4%,-6.9,-2.0%,-129.6,26%,73%,43%
San Francisco Giants,0.305,79,0.294,0.132,2.1%,19.6%,7.6%,86.9,33.6%,24.0%,46.5%,20.7%,0.9,27.1%,53.7%,19.1%,-14.3,-2.9%,-116.1,29%,69%,41%
St. Louis Cardinals,0.334,99,0.304,0.17,3.2%,21.7%,9.5%,87.4,37.5%,25.8%,42.6%,23.1%,0.77,28.3%,54.4%,17.3%,-2.4,-2.0%,19.0,30%,72%,40%
Washington Nationals,0.341,98,0.311,0.183,3.5%,21.4%,8.7%,88.4,40.3%,25.4%,43.3%,22.9%,0.79,28.3%,53.0%,18.7%,3.4,4.6%,74.2,32%,78%,41%
League Average,0.329,94,0.302,0.169,3.2%,21.9%,8.7%,87.2,36.3%,25.1%,44.5%,21.8%,0.83,28.1%,53.2%,18.7%,-2.0,-0%,-1.0,30%,73%,40%
,0.329,94,0.302,0.169,3.2%,21.9%,8.7%,87.2,36.3%,25.1%,44.5%,21.8%,0.83,28.1%,53.2%,18.7%,-33.8,-5.4%,-21.4,30%,73%,40%
