Unnamed: 0_level_0,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning
Tm,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%
Arizona Diamondbacks,0.329,93,0.293,0.182,3.5%,21.5%,8.6%,88.1,37.5%,24.4%,43.0%,24.2%,0.78,29.8%,52.9%,17.3%,-1.8,-2.7%,38.0,32%,86%,44%
Atlanta Braves,0.342,98,0.305,0.195,4.0%,23.3%,9.8%,89.6,41.7%,27.4%,40.3%,25.0%,0.69,30.7%,50.5%,18.8%,7.1,6.5%,80.4,32%,76%,45%
Chicago Cubs,0.337,101,0.297,0.2,4.1%,23.6%,9.4%,89.2,40.2%,24.6%,45.3%,22.3%,0.85,28.6%,52.9%,18.5%,1.7,1.2%,52.6,31%,65%,44%
Cincinnati Reds,0.32,83,0.288,0.178,3.7%,23.5%,8.1%,87.6,35.8%,24.7%,41.5%,24.9%,0.73,28.7%,51.2%,20.1%,-13.3,-4.6%,-79.4,28%,68%,38%
Colorado Rockies,0.337,86,0.321,0.19,3.6%,23.9%,7.8%,88.5,38.6%,26.2%,41.9%,23.4%,0.75,27.0%,53.4%,19.6%,-2.1,0.3%,10.3,34%,70%,46%
Los Angeles Dodgers,0.347,111,0.291,0.215,4.4%,21.6%,9.7%,89.6,42.0%,25.3%,40.1%,25.7%,0.69,31.0%,51.6%,17.4%,11.9,5.2%,139.0,33%,85%,40%
Miami Marlins,0.297,76,0.3,0.134,2.4%,24.3%,6.5%,88.5,38.3%,23.8%,48.1%,21.3%,0.95,24.1%,55.8%,20.1%,-17.5,-3.1%,-147.7,28%,65%,36%
Milwaukee Brewers,0.332,96,0.296,0.192,4.0%,24.8%,10.0%,90.1,43.5%,24.5%,43.4%,24.4%,0.78,27.5%,52.8%,19.6%,1.0,-0.9%,-4.0,28%,80%,39%
New York Mets,0.334,106,0.299,0.185,3.9%,22.0%,8.2%,89.3,41.0%,25.3%,44.5%,22.5%,0.83,27.3%,54.0%,18.7%,3.6,0.1%,45.9,30%,67%,38%
Philadelphia Phillies,0.324,90,0.293,0.181,3.4%,23.2%,9.0%,89.1,40.5%,24.8%,42.0%,22.9%,0.75,28.4%,53.4%,18.3%,-1.7,-0.1%,0.2,31%,81%,40%
Pittsburgh Pirates,0.323,94,0.309,0.156,2.6%,19.5%,6.8%,88.5,37.6%,25.5%,46.1%,20.7%,0.88,27.0%,53.1%,19.9%,-0.5,-0.3%,-4.1,32%,69%,42%
San Diego Padres,0.312,89,0.293,0.172,3.6%,26.3%,8.4%,89.1,40.7%,22.4%,45.3%,22.4%,0.86,27.3%,54.7%,18.0%,-10.3,-2.7%,-62.4,28%,65%,45%
San Francisco Giants,0.304,83,0.29,0.153,2.7%,23.3%,7.7%,87.9,38.8%,25.6%,42.5%,23.7%,0.76,28.7%,52.2%,19.2%,-11.0,-4.0%,-84.6,30%,63%,41%
St. Louis Cardinals,0.327,96,0.292,0.17,3.4%,23.0%,9.1%,87.9,37.5%,24.9%,40.8%,24.5%,0.71,28.1%,54.6%,17.3%,0.7,2.0%,19.9,31%,80%,43%
Washington Nationals,0.346,104,0.306,0.19,3.7%,20.9%,9.3%,88.7,41.0%,25.0%,40.4%,24.5%,0.71,29.6%,52.4%,18.0%,8.9,4.9%,113.5,34%,80%,41%
League Average,0.327,94,0.298,0.179,3.5%,23.0%,8.6%,88.8,39.6%,25.0%,43.0%,23.5%,0.78,28.3%,53.0%,18.7%,-2.0,0%,8.0,31%,74%,41%
,0.327,94,0.298,0.179,3.5%,23.0%,8.6%,88.8,39.6%,25.0%,43.0%,23.5%,0.78,28.3%,53.0%,18.7%,-23.3,1.8%,117.6,31%,74%,41%
