Unnamed: 0_level_0,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning
Tm,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%
Arizona Diamondbacks,0.321,94,0.301,0.133,2.1%,18.0%,8.2%,23.9%,46.6%,21.5%,0.9,23.9%,57.7%,18.4%,0.5,0.6%,18.5,29%,60%,38%
Atlanta Braves,0.328,100,0.3,0.153,3.0%,22.6%,8.8%,22.6%,42.7%,24.0%,0.78,29.4%,52.7%,17.9%,5.6,3.8%,47.7,28%,67%,38%
Chicago Cubs,0.315,89,0.275,0.154,2.8%,20.2%,7.2%,22.5%,43.7%,24.5%,0.8,30.2%,52.5%,17.3%,-7.4,-1.0%,-53.1,26%,66%,43%
Cincinnati Reds,0.326,98,0.293,0.142,2.5%,19.8%,9.3%,25.4%,44.8%,20.5%,0.86,25.7%,56.1%,18.2%,0.7,1.0%,45.6,29%,66%,40%
Colorado Rockies,0.334,89,0.317,0.149,2.6%,19.6%,6.9%,26.4%,44.9%,20.5%,0.85,23.7%,57.8%,18.5%,-1.5,-1.4%,14.3,30%,78%,44%
Los Angeles Dodgers,0.328,104,0.308,0.133,2.3%,18.7%,7.8%,24.1%,43.3%,23.5%,0.8,25.3%,56.5%,18.2%,3.0,2.5%,19.2,28%,74%,38%
Miami Marlins,0.288,68,0.28,0.104,1.6%,20.5%,7.2%,22.9%,47.7%,20.2%,0.96,24.0%,57.9%,18.1%,-21.6,-2.7%,-147.7,25%,73%,40%
Milwaukee Brewers,0.322,92,0.294,0.145,2.6%,19.5%,6.7%,21.3%,46.4%,21.8%,0.93,24.8%,54.6%,20.6%,1.0,0.9%,-11.6,28%,74%,35%
New York Mets,0.307,90,0.291,0.129,2.1%,22.3%,8.3%,20.7%,43.9%,25.6%,0.82,24.9%,56.1%,19.0%,-3.8,-0.2%,-23.1,28%,77%,46%
Philadelphia Phillies,0.313,89,0.293,0.135,2.3%,20.0%,6.9%,24.1%,44.9%,22.2%,0.85,29.7%,53.5%,16.8%,-2.6,-0.7%,-31.2,27%,72%,41%
Pittsburgh Pirates,0.321,100,0.294,0.151,2.6%,21.7%,7.6%,22.6%,45.3%,23.1%,0.87,28.1%,56.6%,15.2%,-0.2,-1.2%,2.5,27%,69%,41%
San Diego Padres,0.312,97,0.294,0.133,2.4%,21.4%,7.6%,23.3%,46.1%,22.3%,0.9,29.5%,54.1%,16.4%,-0.3,-0.3%,-1.1,27%,78%,38%
San Francisco Giants,0.317,99,0.304,0.121,1.7%,17.5%,7.6%,23.3%,45.1%,22.3%,0.85,26.3%,56.0%,17.8%,3.1,2.2%,8.4,28%,72%,37%
St. Louis Cardinals,0.33,101,0.314,0.133,2.0%,17.9%,7.8%,25.9%,45.2%,20.8%,0.86,25.4%,56.6%,18.0%,8.6,6.8%,137.0,34%,67%,43%
Washington Nationals,0.322,92,0.292,0.146,2.7%,19.7%,7.7%,24.0%,44.5%,22.0%,0.84,26.6%,53.9%,19.5%,0.6,-2.5%,7.3,29%,76%,42%
League Average,0.319,94,0.297,0.137,2.3%,20.0%,7.7%,23.6%,45.0%,22.3%,0.86,26.5%,55.5%,18.0%,-1.0,1%,2.0,28%,72%,40%
,0.319,94,0.297,0.137,2.3%,20.0%,7.7%,23.6%,45.0%,22.3%,0.86,26.5%,55.5%,18.0%,-14.2,7.6%,32.8,28%,72%,40%
