Unnamed: 0_level_0,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning
Tm,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%
Baltimore Orioles,0.338,102,0.289,0.165,3.1%,14.7%,7.3%,19.3%,42.3%,27.5%,0.76,34.2%,45.7%,20.1%,-2.9,0.1%,-23.1,29%,69%,39%
Boston Red Sox,0.362,114,0.31,0.174,3.1%,16.3%,10.2%,18.4%,41.6%,31.6%,0.72,29.7%,51.7%,18.5%,16.6,16.6%,154.3,33%,79%,31%
Chicago White Sox,0.331,93,0.286,0.163,3.3%,16.3%,7.1%,16.7%,43.0%,27.5%,0.79,28.9%,51.6%,19.5%,0.5,3.6%,-36.1,30%,67%,45%
Cleveland Indians,0.348,113,0.302,0.181,3.3%,17.5%,8.0%,17.8%,44.3%,28.9%,0.82,29.5%,54.5%,16.0%,1.1,-1.5%,50.0,31%,63%,42%
Detroit Tigers,0.332,99,0.304,0.157,2.7%,16.9%,6.3%,18.2%,44.0%,27.9%,0.82,27.3%,52.8%,20.0%,-6.3,-1.3%,-25.3,31%,70%,36%
Kansas City Royals,0.32,90,0.298,0.134,2.1%,16.6%,7.0%,18.2%,44.1%,27.5%,0.82,25.4%,54.7%,19.9%,-7.5,-1.5%,-52.1,31%,62%,42%
Los Angeles Angels of Anaheim,0.329,96,0.294,0.139,2.4%,13.7%,7.2%,16.8%,42.2%,30.5%,0.76,27.4%,53.8%,18.8%,1.3,0.9%,7.9,33%,74%,43%
Minnesota Twins,0.32,86,0.291,0.132,2.2%,15.8%,7.8%,16.3%,49.1%,25.4%,1.01,24.7%,54.6%,20.7%,-8.1,-5.0%,-81.5,29%,70%,35%
New York Yankees,0.361,119,0.297,0.174,3.6%,15.4%,9.9%,16.5%,46.4%,28.4%,0.89,30.2%,53.5%,16.3%,15.0,16.2%,150.9,31%,76%,41%
Oakland Athletics,0.332,97,0.281,0.145,2.5%,13.1%,8.6%,18.7%,42.8%,29.1%,0.76,28.1%,53.0%,18.9%,-1.3,-4.7%,15.5,32%,58%,44%
Seattle Mariners,0.318,92,0.289,0.136,2.1%,16.2%,7.7%,18.5%,45.0%,26.7%,0.85,24.8%,55.5%,19.7%,-6.7,-1.4%,-37.1,31%,68%,41%
Tampa Bay Devil Rays,0.335,100,0.306,0.151,2.6%,16.2%,6.7%,18.5%,43.1%,28.5%,0.79,28.5%,52.5%,19.0%,0.8,-0.5%,4.1,32%,76%,44%
Texas Rangers,0.352,105,0.29,0.201,4.1%,17.7%,7.9%,19.5%,39.8%,31.1%,0.67,29.1%,52.6%,18.3%,4.4,1.8%,90.2,33%,82%,41%
Toronto Blue Jays,0.331,94,0.296,0.142,2.2%,15.3%,7.8%,19.3%,44.9%,26.4%,0.83,28.3%,52.5%,19.2%,-5.7,-3.8%,6.0,33%,67%,39%
League Average,0.337,100,0.295,0.157,2.8%,15.8%,7.8%,18.0%,43.8%,28.4%,0.8,28.3%,52.8%,18.9%,0.0,1%,16.0,32%,70%,40%
,0.337,100,0.295,0.157,2.8%,15.8%,7.8%,18.0%,43.8%,28.4%,0.8,28.3%,52.8%,18.9%,1.3,19.5%,223.6,32%,70%,40%
