Unnamed: 0_level_0,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning
Tm,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%
Arizona Diamondbacks,0.324,97,0.293,0.158,2.7%,20.4%,8.8%,88.0,38.3%,23.8%,44.3%,24.5%,0.82,30.7%,51.6%,17.7%,3.3,3.1%,-15.1,32%,86%,46%
Atlanta Braves,0.365,123,0.306,0.225,4.9%,20.6%,8.6%,90.9,46.2%,24.2%,43.1%,27.0%,0.76,31.0%,52.1%,17.0%,18.8,7.2%,183.9,34%,83%,51%
Chicago Cubs,0.332,100,0.303,0.167,3.2%,22.4%,9.2%,88.4,38.5%,24.9%,42.8%,24.9%,0.76,29.4%,52.4%,18.2%,-1.5,-2.4%,44.1,33%,80%,44%
Cincinnati Reds,0.334,101,0.306,0.17,3.2%,24.2%,9.0%,87.5,36.7%,23.7%,41.3%,26.3%,0.72,30.5%,51.9%,17.6%,-1.1,-2.3%,4.0,31%,80%,47%
Colorado Rockies,0.316,81,0.315,0.156,2.7%,25.5%,7.4%,87.5,36.6%,25.4%,42.1%,26.0%,0.74,30.1%,51.9%,18.0%,-7.2,-1.2%,-86.7,32%,75%,40%
Los Angeles Dodgers,0.348,113,0.294,0.197,3.9%,21.5%,10.2%,89.0,40.8%,24.6%,38.2%,30.2%,0.62,31.3%,51.3%,17.4%,10.8,6.8%,135.5,34%,81%,41%
Miami Marlins,0.319,93,0.308,0.146,2.8%,21.3%,7.1%,88.3,38.2%,24.2%,45.6%,23.5%,0.86,26.4%,53.3%,20.3%,-5.7,-3.2%,-98.9,28%,80%,38%
Milwaukee Brewers,0.315,93,0.292,0.146,2.7%,23.2%,9.7%,88.0,37.9%,22.2%,44.9%,25.3%,0.82,29.8%,52.2%,18.0%,-5.0,-3.4%,-32.2,31%,82%,42%
New York Mets,0.321,98,0.275,0.169,3.6%,22.0%,8.7%,89.0,40.2%,23.1%,41.8%,26.9%,0.73,30.9%,51.2%,17.9%,-7.1,-1.5%,-23.6,29%,89%,45%
Philadelphia Phillies,0.337,108,0.308,0.182,3.5%,23.9%,8.7%,88.9,40.8%,24.5%,41.5%,26.6%,0.72,30.8%,50.2%,19.1%,2.9,0.4%,35.8,32%,84%,43%
Pittsburgh Pirates,0.312,91,0.296,0.153,2.6%,24.0%,9.1%,88.4,40.6%,24.2%,42.7%,24.9%,0.76,30.1%,51.7%,18.2%,-6.5,-3.3%,-69.2,30%,74%,43%
San Diego Padres,0.33,108,0.283,0.17,3.3%,21.2%,10.6%,88.6,39.5%,22.4%,42.2%,26.2%,0.74,30.6%,51.9%,17.5%,-5.2,-3.4%,3.5,30%,81%,44%
San Francisco Giants,0.309,92,0.29,0.149,2.9%,24.5%,8.9%,87.9,39.2%,23.4%,41.2%,27.0%,0.72,31.1%,50.6%,18.3%,-5.7,-2.8%,-83.5,29%,78%,43%
St. Louis Cardinals,0.328,102,0.291,0.166,3.4%,21.4%,9.2%,89.0,41.6%,22.9%,43.0%,25.8%,0.76,29.0%,52.5%,18.5%,-4.0,-1.3%,-43.5,28%,78%,40%
Washington Nationals,0.317,96,0.293,0.142,2.5%,18.9%,7.0%,87.3,35.3%,24.4%,44.4%,23.1%,0.82,31.3%,51.1%,17.6%,-2.0,-1.1%,-49.1,31%,81%,40%
League Average,0.327,100,0.297,0.166,3.2%,22.3%,8.8%,88.5,39.4%,23.9%,42.6%,25.9%,0.76,30.2%,51.7%,18.1%,-1.0,-1%,-6.0,31%,81%,43%
,0.327,100,0.297,0.166,3.2%,22.3%,8.8%,88.5,39.4%,23.9%,42.6%,25.9%,0.76,30.2%,51.7%,18.1%,-15.4,-8.4%,-94.8,31%,81%,43%
