Unnamed: 0_level_0,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning
Tm,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%
Baltimore Orioles,0.308,90,0.29,0.163,3.3%,24.3%,7.5%,87.8,36.9%,23.9%,41.4%,25.6%,0.72,28.6%,53.1%,18.3%,-12.1,-2.6%,-94.3,28%,70%,39%
Boston Red Sox,0.337,105,0.309,0.188,3.6%,22.6%,8.4%,89.6,42.6%,25.0%,40.5%,26.4%,0.69,28.0%,52.8%,19.2%,6.3,5.2%,61.7,34%,66%,41%
Chicago White Sox,0.336,108,0.31,0.166,3.1%,22.8%,9.6%,88.6,39.9%,24.2%,45.9%,23.5%,0.86,27.2%,54.1%,18.7%,3.9,3.3%,57.7,32%,74%,44%
Cleveland Indians,0.314,94,0.282,0.169,3.4%,23.5%,7.7%,88.2,38.9%,23.6%,43.4%,24.2%,0.78,28.4%,54.2%,17.4%,-4.2,-2.0%,-25.1,32%,87%,43%
Detroit Tigers,0.311,96,0.3,0.158,3.0%,25.3%,8.2%,87.9,38.2%,24.8%,41.5%,26.5%,0.72,29.1%,51.9%,19.0%,-7.0,-2.6%,-49.3,31%,78%,41%
Houston Astros,0.341,113,0.303,0.177,3.5%,19.4%,9.0%,89.1,40.9%,25.2%,40.6%,26.6%,0.69,29.1%,54.2%,16.7%,4.6,4.2%,105.4,33%,77%,36%
Kansas City Royals,0.31,88,0.292,0.147,2.7%,21.0%,7.0%,88.2,39.2%,22.9%,42.8%,26.3%,0.77,29.0%,54.7%,16.3%,-3.8,-1.7%,-71.5,31%,79%,39%
Los Angeles Angels,0.312,90,0.294,0.162,3.2%,23.2%,7.7%,87.0,35.4%,24.3%,42.7%,24.6%,0.77,28.6%,53.0%,18.4%,-4.5,-1.1%,-34.3,32%,75%,41%
Minnesota Twins,0.322,102,0.282,0.182,3.8%,23.1%,8.6%,89.5,41.6%,24.3%,42.4%,26.5%,0.74,31.5%,52.6%,15.9%,-5.0,-1.6%,-24.3,29%,78%,37%
New York Yankees,0.321,100,0.285,0.169,3.7%,24.5%,10.3%,89.4,42.9%,23.2%,43.3%,25.5%,0.78,27.7%,53.7%,18.6%,1.1,1.4%,-41.0,28%,78%,36%
Oakland Athletics,0.32,104,0.278,0.168,3.3%,22.1%,8.9%,88.6,39.7%,23.3%,41.0%,27.7%,0.7,29.8%,54.2%,16.1%,2.3,0.7%,10.0,31%,81%,46%
Seattle Mariners,0.304,93,0.273,0.159,3.3%,24.8%,8.9%,87.5,37.3%,22.7%,41.7%,27.3%,0.72,29.1%,54.2%,16.7%,1.4,-0.1%,-43.4,31%,73%,34%
Tampa Bay Rays,0.328,112,0.294,0.186,3.6%,24.8%,9.4%,88.6,40.0%,22.9%,42.4%,26.2%,0.74,29.4%,52.9%,17.7%,7.3,5.6%,113.1,35%,68%,47%
Texas Rangers,0.297,82,0.28,0.143,2.8%,23.2%,7.3%,87.3,35.8%,22.5%,46.3%,23.3%,0.88,27.1%,54.4%,18.5%,-17.1,-3.0%,-141.9,29%,79%,41%
Toronto Blue Jays,0.345,113,0.296,0.2,4.3%,20.1%,8.2%,90.0,42.6%,24.5%,40.5%,27.1%,0.69,28.7%,53.8%,17.6%,3.1,2.5%,96.8,33%,80%,41%
League Average,0.321,99,0.291,0.169,3.4%,23.0%,8.5%,88.5,39.5%,23.8%,42.4%,25.8%,0.75,28.8%,53.6%,17.7%,-2.0,1%,-5.0,31%,77%,40%
,0.321,99,0.291,0.169,3.4%,23.0%,8.5%,88.5,39.5%,23.8%,42.4%,25.8%,0.75,28.8%,53.6%,17.7%,-23.8,8.1%,-80.4,31%,77%,40%
