Unnamed: 0_level_0,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning
Tm,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%
Baltimore Orioles,0.342,100,0.296,0.162,2.8%,15.9%,8.6%,18.6%,42.4%,29.4%,0.75,25.9%,57.2%,16.9%,-0.8,-0.5%,16.5,32%,69%,40%
Boston Red Sox,0.361,107,0.315,0.168,2.7%,16.7%,10.1%,18.8%,40.8%,31.2%,0.71,29.7%,54.8%,15.5%,4.5,4.6%,61.4,31%,77%,34%
Chicago White Sox,0.347,101,0.281,0.185,3.8%,16.3%,8.7%,18.0%,39.9%,30.9%,0.68,29.3%,55.5%,15.2%,-2.2,-4.5%,26.5,31%,66%,36%
Cleveland Indians,0.344,104,0.305,0.162,2.7%,19.3%,8.9%,18.1%,40.2%,32.5%,0.69,31.8%,52.9%,15.3%,0.6,-3.6%,48.1,32%,73%,42%
Detroit Tigers,0.35,105,0.301,0.173,3.2%,17.0%,9.0%,19.8%,43.1%,27.5%,0.77,28.0%,55.8%,16.2%,2.4,-0.3%,45.3,32%,67%,38%
Kansas City Royals,0.323,90,0.307,0.128,2.0%,16.4%,6.4%,18.9%,46.0%,26.1%,0.89,20.8%,62.1%,17.0%,-8.5,-4.0%,-74.0,31%,68%,42%
Los Angeles Angels of Anaheim,0.335,93,0.299,0.145,2.6%,16.0%,7.8%,16.1%,46.1%,28.2%,0.88,26.8%,56.5%,16.7%,4.5,0.4%,-0.2,32%,73%,42%
Minnesota Twins,0.337,102,0.316,0.129,1.8%,15.5%,8.4%,16.5%,45.1%,27.9%,0.88,23.4%,57.8%,18.8%,4.2,-3.4%,73.1,35%,71%,42%
New York Yankees,0.348,101,0.302,0.156,2.9%,16.2%,8.6%,20.8%,45.6%,25.9%,0.85,25.5%,58.4%,16.2%,-0.1,-1.7%,18.3,31%,75%,39%
Oakland Athletics,0.316,88,0.289,0.127,2.0%,20.0%,9.4%,18.7%,40.9%,28.6%,0.71,24.7%,57.7%,17.6%,-10.9,-5.8%,-96.6,28%,81%,39%
Seattle Mariners,0.322,91,0.294,0.124,2.0%,14.4%,6.8%,20.0%,45.6%,24.5%,0.86,26.1%,57.5%,16.4%,-9.3,-1.8%,-82.3,29%,74%,37%
Tampa Bay Rays,0.347,103,0.302,0.162,2.9%,19.4%,9.9%,21.6%,43.0%,26.9%,0.78,27.1%,55.4%,17.5%,2.4,0.3%,8.5,30%,74%,40%
Texas Rangers,0.364,115,0.325,0.179,3.0%,18.6%,9.2%,22.5%,40.7%,29.2%,0.71,25.7%,55.2%,19.1%,9.5,3.8%,133.6,34%,76%,44%
Toronto Blue Jays,0.332,96,0.295,0.135,2.0%,15.2%,8.4%,19.1%,43.6%,28.3%,0.79,24.3%,59.9%,15.8%,-7.6,-4.6%,-42.5,30%,75%,37%
League Average,0.341,100,0.302,0.152,2.6%,16.9%,8.6%,19.1%,43.1%,28.3%,0.78,26.3%,56.9%,16.7%,-1.0,-1%,10.0,31%,73%,40%
,0.341,100,0.302,0.152,2.6%,16.9%,8.6%,19.1%,43.1%,28.3%,0.78,26.3%,56.9%,16.7%,-11.3,-20.9%,135.8,31%,73%,40%
