Unnamed: 0_level_0,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning
Tm,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%
Arizona Diamondbacks,0.311,71,0.286,0.14,2.2%,16.7%,7.2%,18.4%,44.4%,26.6%,0.84,25.8%,54.5%,19.8%,-16.6,-1.0%,-164.8,27%,62%,42%
Atlanta Braves,0.347,99,0.309,0.164,2.8%,18.3%,9.3%,17.7%,45.0%,27.3%,0.87,27.7%,51.5%,20.8%,6.1,2.0%,53.2,31%,73%,38%
Chicago Cubs,0.348,99,0.292,0.19,3.7%,17.2%,7.8%,17.9%,41.9%,29.3%,0.76,29.1%,52.8%,18.1%,-1.3,-6.6%,25.5,31%,70%,41%
Cincinnati Reds,0.335,95,0.295,0.168,3.1%,21.3%,9.5%,20.7%,43.9%,26.1%,0.82,26.4%,55.0%,18.6%,5.8,5.1%,10.0,29%,75%,38%
Colorado Rockies,0.353,94,0.314,0.18,3.2%,18.7%,9.0%,18.8%,43.3%,26.8%,0.82,25.6%,54.4%,19.9%,2.0,0.5%,40.1,32%,57%,51%
Florida Marlins,0.331,95,0.295,0.143,2.4%,15.7%,8.1%,17.9%,44.0%,26.2%,0.84,25.8%,53.4%,20.8%,0.7,0.3%,-13.4,30%,69%,42%
Houston Astros,0.348,100,0.293,0.17,3.0%,15.9%,9.4%,18.0%,41.4%,29.0%,0.75,27.3%,53.4%,19.4%,4.8,3.3%,55.8,32%,75%,39%
Los Angeles Dodgers,0.339,100,0.291,0.161,3.3%,17.5%,8.6%,18.1%,44.6%,26.3%,0.85,26.7%,53.9%,19.4%,4.8,4.3%,23.5,30%,71%,42%
Milwaukee Brewers,0.321,81,0.3,0.139,2.2%,21.2%,8.7%,21.1%,44.6%,24.6%,0.85,26.9%,53.4%,19.7%,-13.2,-4.1%,-119.1,27%,78%,36%
Montreal Expos,0.316,74,0.273,0.143,2.5%,15.1%,8.1%,18.0%,44.7%,25.5%,0.86,27.9%,53.2%,18.9%,-14.1,-3.8%,-140.0,28%,74%,41%
New York Mets,0.326,86,0.282,0.16,3.0%,18.7%,8.3%,16.8%,42.4%,29.8%,0.77,26.3%,53.7%,20.0%,-11.5,-4.0%,-70.5,28%,82%,36%
Philadelphia Phillies,0.352,99,0.297,0.176,3.3%,17.6%,10.0%,20.0%,41.7%,28.1%,0.75,28.2%,52.7%,19.2%,5.1,-0.6%,60.4,31%,79%,40%
Pittsburgh Pirates,0.323,85,0.298,0.141,2.3%,17.4%,6.8%,17.0%,48.1%,25.3%,0.98,27.2%,54.0%,18.8%,-7.0,-1.5%,-66.4,30%,61%,37%
San Diego Padres,0.338,106,0.301,0.141,2.2%,14.4%,9.0%,19.0%,43.3%,28.3%,0.79,26.6%,53.2%,20.1%,4.3,1.9%,52.1,31%,68%,41%
San Francisco Giants,0.349,104,0.29,0.168,2.8%,13.5%,10.9%,19.6%,43.1%,25.7%,0.8,28.6%,54.8%,16.6%,12.3,13.2%,96.5,31%,65%,37%
St. Louis Cardinals,0.355,108,0.307,0.182,3.4%,17.2%,8.7%,20.1%,42.2%,27.9%,0.77,26.3%,53.4%,20.3%,11.3,5.2%,118.5,33%,70%,45%
League Average,0.337,94,0.295,0.16,2.8%,17.3%,8.7%,18.7%,43.7%,27.0%,0.82,27.0%,53.6%,19.4%,-0.0,1%,-2.0,30%,72%,40%
,0.337,94,0.295,0.16,2.8%,17.3%,8.7%,18.7%,43.7%,27.0%,0.82,27.0%,53.6%,19.4%,-6.5,14.4%,-38.7,30%,72%,40%
